image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
2156.png,2156,"株仙指标
作正径
予想PER
（倍）
<20.11>
126.2
<21.11>
实镇PER
高值平均
29.3
安值平均
17.3
PBR
0.81
株仙(2/27)
5556
万株
631月
信用成
最低購人额
6万3100月
单業特
6112
機
宿低",,,,,False
2158.png,2158,"株仙指标
予想PER
（倍）
<20.3>
14.8
<21.3>
13.2
实辕PER
高值平均
18.3
安值平均
12.7
PBR
0.83
株仙(2/27)
自万株
1025月
信用成
最低購人额
10万2500用
连板特
6113
[機
工发",6113,6113.T,アマダ,機械,True
2159.png,2159,"株仙指标
予想PER
（倍）
<20.3>
11.2
<21.3>
11.0
实镇PER
高值平均
18.0
安值平均
9.5
PBR
0.66
株仙(2/27)
十万株
835月
Hm
信用线
最低購人额
8万3500月
59速连特
6118
機
復
結8色",6118,6118.T,アイダエンジニアリング,機械,True
2160.png,2160,"株仙指标
作正径
予想PER
（倍）
<20.3>
8.1
<21.3>
9.2
实镇PER
高值平均
11.4
安值平均
6.5
PBR
0.47
株仙(2/27)
2
1236月
十万林
信用线
最低購人额
12万3600月
连等特
6121
[機
統
10
精七色",3600,3600.T,フジックス,繊維製品,True
2161.png,2161,"株仙指标
作正径
予想PER
（倍）
<20.3>
4.6
<21.3>
4.0
实镇PER
高值平均
11.0
安值平均
5.2
PBR
0.67
株仙(2/27)
十万株
2225F
信用成
最低購人额
22万2500用
海速置特
6125
機
置底
外結书色",6125,6125.T,岡本工作機械製作所,機械,True
2163.png,2163,"株仙指标
作正径
予想PER
（倍）
<20.3>
8.4
<21.3>
7.8
实镇PER
高值平均
50.4
安值平均
14.1
PBR
2.04
株仙(2/27)
十万件
680月
仁用成
最低購人额
6万8000月
品速研特
6131
[機埔
增
28精磨色",,,,,False
2165.png,2165,"株仙指标
作正径
予想PER
（倍）
<20.3>
11.6
<21.3>
11.7
实镇PER
高值平均
15.5
安值平均
8.4
PBR
0.97
株仙(2/27)
十万株
1812月
信用成
最低購人额
18万1200月
吴一
义连機特
6134
[機
装横
1精色",6134,6134.T,ＦＵＪＩ,機械,True
2166.png,2166,"株仙指标
作正径
予想PER
（倍）
<20.3>
57.8
<21.3>
30.8
实辕PER
高值平均
12.4
安值平均
6.7
PBR
0.59
株仙(2/27)
十万株
3785
信用线
最低購人额
37万8500用
减一
速二特
6135
機
少統
精色",6135,6135.T,牧野フライス製作所,機械,True
2168.png,2168,"株仙指标
予想PER
（倍）
<20.11>
13.4
<21.11>
13.0
实辕PER
高值平均
17.8
安值平均
13.6
PBR
1.26
株仙(2/27)
十万件
1677月
仁用成
最低購人额
16万7700用
一
海21速高特
6136
[機
石統
外他精之色",6136,6136.T,オーエスジー,機械,True
2169.png,2169,"株仙指标
作正径
予想PER
（倍）
<20.3>
17.7
<21.3>
10.0
实镇PER
高值平均
17.3
安值平均
12.5
PBR
0.33
株仙(2/27)
3
万株
2350月
信用线
最低購人额
23万5000用
機连装特
6137
[機
发
材秸置色",6137,6137.T,小池酸素工業,機械,True
2170.png,2170,"株仙指标
作正径
予想PER
（倍）
<20.3>
13.0
<21.3>
12.2
实镇PER
高值平均
16.9
安值平均
11.5
PBR
0.48
株仙(2/27)
十万株
1226月
信用线
最低購人额
12万2600用
15速动特
6138
[機
宿小
结車色",6138,6138.T,ダイジェット工業,機械,True
2171.png,2171,"株仙指标
予想PER
（倍）
<20.3>
45.0
<21.3>
44.2
实镇PER
高值平均
34.2
安值平均
18.7
PBR
0.53
株仙(2/27)
5252
百方株
544F
仁用线
最低購人额
5万4400用
连機特
6140
[機埔
停
結械色",6140,6140.T,旭ダイヤモンド工業,機械,True
2172.png,2172,"株仙指标
予想PER
（倍）
<20.12>
20.4
<21.12>
13.3
实镇PER
高值平均
18.0
安值平均
9.2
PBR
1.40
株仙(2/27)
自防林
1411月
信用线
最低購人额
14万1100月
连格特
6141
[機
利
箱色",6141,6141.T,ＤＭＧ森精機,機械,True
2174.png,2174,"株仙指标
作正径
予想PER
（倍）
<20.2>
6.3
<21.2>
6.6
实辕PER
高值平均
17.7
安值平均
12.4
PBR
0.30
株仙(2/27)
万株
1535月
信用成
最低購人额
15万3500月
装速特
6142
機
資結上色",,,,,False
2177.png,2177,"株仙指标
予想PER
（倍）
<20.3>
10.1
<21.3>
8.8
实镇PER
高值平均
17.3
安值平均
10.8
PBR
0.67
7
株仙(2/27)
万株
1004月
信用线
最低購人额
10万400月
機速过特
6144
機
械秸公色",6144,6144.T,西部電機,機械,True
2178.png,2178,"株仙指标
予想PER
（倍）
<20.3>
32.0
<21.3>
22.8
实辕PER
高值平均
26.7
安值平均
10.2
PBR
2.03
株仙(2/27)
十万株
3275月
仁用线
最低購人额
32万7500用
60夕速么特
6145
機
又結機色
1",6145,6145.T,ＮＩＴＴＯＫＵ,機械,True
2180.png,2180,"株仙指标
予想PER
（倍）
<20.3>
33.6
<21.3>
25.0
实镇PER
高值平均
28.0
安值平均
14.1
PBR
3.80
株仙(2/27)
十万株
2万2990月
信用线
最低購人额
229万9000用
連世特
6146
機
反
結界色",6146,6146.T,ディスコ,機械,True
2181.png,2181,"株仙指标
予想PER
（倍）
<20.3>
14.1
<21.3>
33.6
实镇PER
高值平均
57.1
安值平均
35.9
PBR
0.80
株仙(2/27)
万株
380月
信用成
最低購人额
3万8000月
女
速叶特
6147
[機
子連
精4色",6147,6147.T,ヤマザキ,機械,True
