image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
1770.png,1770,"株仙指标
修正径
予想PER
（倍）
<20.3>
<21.3>
15.8
实續PER
高值平均
10.2
安值平均
6.1
PBR
0.93
株仙(2/27)
8
十万性
2031月
最低購人额
20万3100月
连装特
5008
[石
事浮
結油色",2031,2031.T,ＮＥＸＴ ＮＯＴＥＳ 香港ハンセン・ダブル・ブル ＥＴＮ,-,True
1771.png,1771,"作正街
株仙指标
予想PER
（倍）
<20.3>
12.8
<21.3>
8.5
实镇PER
高值平均
7.9
安值平均
5.4
PBR
0.54
株仙(2/27)
10
十万标
622月
最低購人额
6万2200月
L速主特
5009
【卸壳
小
精力色",,,,,False
1773.png,1773,"株仙指标
予想PER
（倍）
<20.12>
52.7
<21.12>
35.4
实續PER
高值平均
10.8
安值平均
6.6
PBR
0.42
株仙(2/27)
十万件
216月
仁用成
最低購人额
2万1600月
速夕特
5010
石
浮
秸色",5010,5010.T,日本精蝋,石油・石炭製品,True
1774.png,1774,"株仙指标
予想PER
（倍）
<20.3>
22.5
<21.3>
9.6
实镇PER
高值平均
9.8
安值平均
6.2
PBR
0.73
株仙(2/27)
3
十万株
1335月
信用线
最低購人额
13万3500月
文
鋪速大特
5011
发
[石油
装結
色",5011,5011.T,ニチレキグループ,石油・石炭製品,True
1775.png,1775,"株仙指标
予想PER
（倍）
<20.3>
9.4
<21.3>
8.9
实續PER
高值平均
12.8
安值平均
8.8
PBR
0.57
株仙(2/27)
十万株
1252F
仁用线
最低購人额
12万5200用
速時特
5013
石
復
結仁色",5013,5013.T,ユシロ,石油・石炭製品,True
1776.png,1776,"株仙指标
予想PER
（倍）
<20.12>
21.0
<21.12>
20.1
实續PER
高值平均
26.2
安值平均
15.9
PBR
2.60
株仙(2/27)
2
十万株
1251月
信用线
最低購人额
12万5100用
单潤特
5015
石
店大
独滑
色
?",5015,5015.T,ビーピー・カストロール,石油・石炭製品,True
1778.png,1778,"株仙指标
予想PER
（倍）
<20.3>
<21.3>
15.1
实續PER
高值平均
7.5
安值平均
3.7
PBR
0.25
株仙(2/27)
2022
自万株
216月
仁用成
最低購人额
2万1600月
連了特
5017
石
浮
结石",5017,5017.T,富士石油,石油・石炭製品,True
1779.png,1779,"株仙指标
予想PER
（倍）
<20.2>
11.4
<21.2>
11.1
实續PER
高值平均
12.9
安值平均
8.2
PBR
0.73
株仙(2/27)
2
十万株
1187月
信用线
最低購人额
11万8700月
5018
38速殊特
石
結潤色",5018,5018.T,ＭＯＲＥＳＣＯ,石油・石炭製品,True
1780.png,1780,"株仙指标
作正径
予想PER
（倍）
<20.3>
8.1
<21.3>
10.2
实續PER
高值平均
9.6
安值平均
4.8
PBR
0.66
株仙(2/27)
自防株
2733月
信用成
最低購人额
27万3300月
資速书特
5019
石
源",5019,5019.T,出光興産,石油・石炭製品,True
1781.png,1781,"株仙指标
予想PER
（倍）
<20.3>
10.2
<21.3>
8.0
实镇PER
高值平均
8.6
安值平均
5.1
PBR
0.53
株仙(2/27)
10
百万林
444.6P
最低購人额
4万4460月
1速工特
5020
石油
好
精了色",5020,5020.T,ＥＮＥＯＳホールディングス,石油・石炭製品,True
1782.png,1782,"株仙指标
予想PER
（倍）
<20.3>
62.7
<21.3>
4.6
实镇PER
高值平均
5.7
安值平均
2.2
PBR
0.54
株仙(2/27)
十万株
1862月
信用成
最低購人额
18万6200月
2連夕特
5021
石油
精匕色",5021,5021.T,コスモエネルギーホールディングス,石油・石炭製品,True
1783.png,1783,"株仙指标
作正径
予想PER
（倍）
<20.12>
7.9
<21.12>
7.5
实镇PER
高值平均
11.9
安值平均
8.1
PBR
0.71
株仙(2/27)
十万件
1846月
仁用线
最低購人额
18万4600月
連十特
5101
純
7
結育色",5101,5101.T,横浜ゴム,ゴム製品,True
1784.png,1784,"株仙指标
予想PER
（倍）
<20.3>
<21.3>
实镇PER
高值平均
56.2
安值平均
14.7
PBR
0.65
株仙(2/27)
2
49月
最低購人额
4900月
速開特
5103
鞋色",5103,5103.T,昭和ホールディングス,ゴム製品,True
1785.png,1785,"株仙指标
作正径
予想PER
（倍）
<20.3>
10.4
<21.3>
9.9
实镇PER
高值平均
16.1
安值平均
9.2
PBR
0.70
株仙(2/27)
2
十万性
515月
最低購人额
5万1500用
单仁特
5104
微
独生色",,,,,False
1786.png,1786,"株仙指标
作正径
予想PER
（倍）
<20.12>
8.7
<21.12>
8.3
实續PER
高值平均
20.5
安值平均
10.9
PBR
1.06
株仙(2/27)
1540月
信用线
最低購人额
15万4000用
速特
5105
意復
S色",5105,5105.T,ＴＯＹＯ ＴＩＲＥ,ゴム製品,True
1787.png,1787,"株仙指标
予想PER
（倍）
<20.12>
11.6
<21.12>
11.2
实辕PER
高值平均
13.6
安值平均
10.1
PBR
1.14
株仙(2/27)
自万林
3715月
信用成
最低購人额
37万1500用
客
連特
5108
横
結色",5108,5108.T,ブリヂストン,ゴム製品,True
1789.png,1789,"株仙指标
予想PER
（倍）
<20.12>
8.8
<21.12>
8.4
实續PER
高值平均
20.5
安值平均
14.0
PBR
0.66
株仙(2/27)
自万林
1162月
信用成
最低購人额
11万6200月
他速特
5110
5精>色",5110,5110.T,住友ゴム工業,ゴム製品,True
1790.png,1790,"株仙指标
予想PER
（倍）
<20.3>
19.3
<21.3>
14.0
实續PER
高值平均
21.8
安值平均
10.6
PBR
0.40
株仙(2/27)
3
414P
信用成
最低購人额
4万1400月
又速特
5121
求結定色",5121,5121.T,藤倉コンポジット,ゴム製品,True
1792.png,1792,"株仙指标
作正径
予想PER
（倍）
<20.3>
16.8
<21.3>
10.3
实續PER
高值平均
18.8
安值平均
12.7
PBR
1.00
株仙(2/27)
十万株
3400月
信用成
最低購人额
34万月
速主特
5122",5122,5122.T,オカモト,ゴム製品,True
1793.png,1793,"株仙指标
作正径
予想PER
（倍）
<20.3>
14.4
<21.3>
16.9
实辕PER
高值平均
51.5
安值平均
35.8
PBR
0.62
株仙(2/27)
十万株
1620月
信用线
最低購人额
16万2000用
產速特
5142
化学
業結色",5142,5142.T,アキレス,化学,True
