ticker,company_name,market,simple_sector,sector,feature_summary,segment_summary,flags,headline_positive_count,headline_negative_count,headline_score_raw,shikiho_score_overall,score_growth,score_profitability,score_safety,score_undervalued,score_momentum,forecast_per,actual_pbr,forecast_yield,ytd_return_text_pct,ma200_gap_pct,equity_ratio_pct,sales_growth_pct,op_growth_pct,np_growth_pct,eps_growth_pct,div_growth_pct,annual_return_pct,quarter_return_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,persistence_20d_pct,year_end_close,sector_33,sector_adjusted_per_score,fundamental_score,price_score,valuation_score,promising_score,selected,selection_reason,ocr_per,avg_monthly_high_low_change_pct,end_to_trailing_high_pct
7551.T,ウェッズ,東証スタンダード,前号並み/輸送用機器,前号並み/輸送用機器,,,優待あり / 貸借 / 最新の四季報作成後に通期業績予想の変更はありません。 / 碧海信用金庫,1,0,1,3.0,3.0,3.0,4.0,5.0,3.0,8.64,0.62,3.84,,,,1.0302236894530248,-10.952804986642915,-8.391608391608397,-8.408071748878921,0.0,9.784411276948601,6.260032102728741,0.3723618107643314,8.227848101265822,58.333333333333336,85.0,662.0,輸送用機器,1.0,0.4521712949099686,0.5753355010345848,0.919319283232658,0.6010247853305837,False,score=0.601 | annual=8.9 | q4=7.1 | trend_r2=0.372 | per_score=1.0,8.64,,85.52971576227391
7483.T,ドウシシャ,東証プライム,卸売/他個人サービス・製品,卸売/他個人サービス・製品,,,業績予想更新あり / 優待あり / 貸借,2,0,2,4.0,3.0,4.0,5.0,3.0,5.0,15.01,1.3,2.92,,,,7.513669595134242,27.84880489160644,24.82446559525666,21.74851592012952,117670.58823529413,53.274500696702276,16.814159292035402,0.9430910336706466,10.058637798827242,83.33333333333334,100.0,3300.0,卸売業,1.0,0.678138741206665,0.9051610996157258,0.7838370407954873,0.8014384624085068,True,score=0.801 | annual=52.3 | q4=18.5 | trend_r2=0.943 | per_score=1.0,15.01,,99.84871406959152
8996.T,ハウスフリーダム,東証スタンダード,不動産/住宅建設,不動産/住宅建設,,,業績予想更新あり / 貸借,6,0,6,3.0,4.0,3.0,2.0,5.0,3.0,6.27,1.03,5.29,,,,,,,,,10.83333333333334,-1.4814814814814836,0.7727723459802017,12.426035502958577,66.66666666666666,85.0,931.0,不動産業,1.0,0.3836823290191364,0.6620573455512858,0.8850889958937533,0.609232419833527,False,score=0.609 | annual=20.4 | q4=0.8 | trend_r2=0.773 | per_score=1.0,6.27,,93.1931931931932
2384.T,SBSホールディングス,東証プライム,陸運/倉庫・運輸サービス,陸運/倉庫・運輸サービス,,,業績予想更新あり / 貸借,2,0,2,3.0,3.0,3.0,2.0,4.0,4.0,11.63,1.62,2.65,,,,,,,,,60.23738872403561,3.2786885245901676,0.8850598008439399,12.575655682582376,75.0,95.0,3780.0,陸運業,1.0,0.2976880963783674,0.8375347324859592,0.7435189749752702,0.6297852583461643,False,score=0.63 | annual=61.0 | q4=6.8 | trend_r2=0.885 | per_score=1.0,11.63,,98.30949284785436
9034.T,南総通運,東証スタンダード,前号並み/陸運,前号並み/陸運,,,信用 / 最新の四季報作成後に通期業績予想の変更はありません。,4,0,4,4.0,3.0,5.0,4.0,4.0,4.0,10.77,0.66,4.39,,,,5.550726437352549,6.541129831516357,8.029197080291972,13.23210412147504,20.0,56.39312977099236,13.03448275862069,0.9351673145178705,12.652705061082026,83.33333333333334,100.0,1639.0,陸運業,1.0,0.6807683371024266,0.88779190067987,0.9301821822338484,0.8238117097385605,True,score=0.824 | annual=53.9 | q4=14.2 | trend_r2=0.935 | per_score=1.0,10.77,,99.63525835866261
8699.T,HSホールディングス,東証スタンダード,証券先物/証券・先物,証券先物/証券・先物,,,業績予想更新あり / 貸借,2,1,1,3.0,1.0,5.0,,5.0,4.0,3.96,0.4,0.8,,,,3.2674892760684138,-18.62567811934901,5.785123966942152,5.769709027605074,0.0,35.57358053302433,15.956392467789883,0.7309521795808747,13.024085637823369,50.0,90.0,1170.0,証券、商品先物取引業,1.0,0.4220739003581343,0.7591959798994975,0.8213793589686778,0.6536399278738565,False,score=0.654 | annual=33.9 | q4=20.0 | trend_r2=0.731 | per_score=1.0,3.96,,88.77086494688923
9022.T,東海旅客鉄道,東証プライム,225/陸運,225/陸運,,,業績予想更新あり / 優待あり / 貸借,4,0,4,5.0,5.0,5.0,3.0,5.0,4.0,8.41,0.81,0.75,,,,5.740271976862688,6.147747419585259,4.706788271967155,6.782571367246204,3.2258064516129004,50.45967042497832,2.215413622436957,0.8921590077502808,13.540229885057474,75.0,60.0,4337.0,陸運業,1.0,0.7426721364210885,0.7631155778894474,0.7627538210940795,0.7558880220164483,False,score=0.756 | annual=48.1 | q4=2.2 | trend_r2=0.892 | per_score=1.0,8.41,,95.84530386740332
9446.T,サカイホールディングス,東証スタンダード,増額/情報通信,増額/情報通信,,,信用 / 最新の四季報作成後に通期業績予想の変更はありません。,4,2,2,3.0,3.0,4.0,2.0,5.0,5.0,8.25,1.12,5.05,,,,,,,,,48.222222222222236,27.533460803059274,0.6095715475193433,13.559322033898303,41.66666666666667,55.00000000000001,667.0,情報・通信業,1.0,0.3456500280505045,0.7226248891516407,0.8716419417532006,0.620487098286555,False,score=0.62 | annual=41.3 | q4=27.0 | trend_r2=0.61 | per_score=1.0,8.25,,93.81153305203938
9031.T,西日本鉄道,東証プライム,陸運/鉄道,陸運/鉄道,,,業績予想更新あり / 優待あり / 貸借,3,0,3,4.0,4.0,3.0,2.0,5.0,4.0,7.56,0.83,1.69,,,,7.442023021680066,1.294316263365225,20.134550696780384,23.914670658682645,25.0,29.414487387178887,19.614973262032077,0.3676592861791119,14.136353735569596,50.0,100.0,2796.0,陸運業,1.0,0.6122136798926582,0.6703754064439846,0.7897437211775185,0.6738924650977272,False,score=0.674 | annual=24.1 | q4=20.1 | trend_r2=0.368 | per_score=1.0,7.56,,98.2949551766567
3020.T,アプライド,東証スタンダード,増額/小売,増額/小売,,,優待あり / 信用 / 【増益幅拡大】	化粧品・雑貨の輸出には円高逆風。ただパソコン販売にウィンドウズ10サポート終了で駆け込み特需。前号より営業増益幅拡大。特配20円。27年3月期は特需一巡だが、名古屋生産工場と仙台店の寄与通期化や豊田店開業あり、落ち込み小。 / 最新の四季報作成後に通期業績予想の変更はありません。,4,0,4,3.0,3.0,3.0,3.0,5.0,4.0,5.6,0.83,2.97,,,,0.4483166976822827,8.736407949006363,10.356536502546687,10.304234826479131,20.0,66.6039156626506,12.0253164556962,0.9242760943683693,14.467353951890038,75.0,80.0,4425.0,小売業,1.0,0.5517332831688211,0.867035175879397,0.8472637449093489,0.7527252272366858,True,score=0.753 | annual=63.5 | q4=14.3 | trend_r2=0.924 | per_score=1.0,5.6,,95.57235421166307
