date,nikkei_phase,table_key,equity
2026-01-05,normal,core,3005220.0
2026-01-06,normal,core,2990637.5
2026-01-07,normal,core,3000592.5
2026-01-08,normal,core,2999892.5
2026-01-09,normal,core,3004724.5
2026-01-13,normal,core,3032624.5
2026-01-14,normal,core,3089224.5
2026-01-15,normal,core,3110137.0
2026-01-16,surge,core,3129437.0
2026-01-19,high_vol,defensive,3129437.0
2026-01-20,high_vol,defensive,3129437.0
2026-01-21,high_vol,defensive,3129437.0
2026-01-22,high_vol,defensive,3129437.0
2026-01-23,normal,core,3112441.0
2026-01-26,high_vol,defensive,3107141.0
2026-01-27,settling,recovery,3105810.0
2026-01-28,settling,recovery,3105610.0
2026-01-29,settling,recovery,3106210.0
2026-01-30,uptrend,core,3107327.0
2026-02-02,uptrend,core,3135706.5
2026-02-03,normal,core,3195206.5
2026-02-04,normal,core,3260027.5
2026-02-05,normal,core,3283827.5
2026-02-06,normal,core,3306627.5
2026-02-09,surge,core,3425627.5
2026-02-10,surge,core,3425627.5
2026-02-12,surge,core,3425627.5
2026-02-13,surge,core,3425627.5
2026-02-16,high_vol,defensive,3425627.5
2026-02-17,high_vol,defensive,3425627.5
2026-02-18,high_vol,defensive,3425627.5
2026-02-19,high_vol,defensive,3425627.5
2026-02-20,high_vol,defensive,3425627.5
2026-02-24,high_vol,defensive,3425627.5
2026-02-25,normal,core,3424906.5
2026-02-26,settling,recovery,3436316.0
2026-02-27,settling,recovery,3472016.0
2026-03-02,uptrend,core,3464716.0
2026-03-03,high_vol,defensive,3464716.0
2026-03-04,crash,defensive,3464716.0
2026-03-05,crash,defensive,3464716.0
2026-03-06,crash,defensive,3464716.0
2026-03-09,crash,defensive,3464716.0
2026-03-10,high_vol,defensive,3464716.0
