ticker,company_name,sector,best_variant,theme_text_regenerated_normalized
1420.T,サンヨーホームズ,建設業,theme_bodyleft,"ー7△1身東Sロ、4.8第→ー7f)OA)35【株式】&ー6飛【株主1均,名閉コ〉庸第1阪LーXーL幻5オリックス1ーま2生3>而関西電力1Ⅱ..3Ⅱ己資本,命保険5(o.3)スヾ高安日・1韻益(【役員田中戉典供舩岡戸年00、(0年満、0)、チ..福井江治いを高和則・田"
4375.T,セーフィー,情報・通信業,theme_bodyleft,"ー.11ー:都カー7Ⅱ己資本9,日本カストプれロ3【株式】&幻【株け約7,名くな肥〉庸東=0高値安ま比、0,0、物「関西電力1よ町Vにnⅳ「グローバル・プレ7ー4【指標等】く肥〉イン今同会社1認()・統安日・1肥)△1,4く信〉礪・定石コ、国人""い・灘嚆降を森"
4418.T,ＪＤＳＣ,情報・通信業,theme_wide,"2.G【株式】,俐【株ド4名くな貶ーSM信翳行特定く42ト町東翦ーⅱー3GT務)く2〉市託本3印3川爆正′き比事4奔第3イキン有中部電力【指標等】>日本マスタヨ既日"
