theme,source_count,count,avg_return_pct,median_return_pct,win_rate_pct
power_energy,3,3,9.545331520979913,11.79775280898876,66.66666666666666
finance,343,343,-2.42908318330344,-3.152492668621698,34.69387755102041
real_estate,5,5,-2.956980243677352,-1.2682926829268304,20.0
retail_consumer,6,6,-4.363916834498268,-1.1878432747366496,33.33333333333333
healthcare_bio,6,6,-6.305583144150963,-4.535415034774148,33.33333333333333
construction_infra,10,10,-7.417039068857891,-4.368602718076025,20.0
ai_datacenter,15,15,-8.10140142279343,-6.155303030303028,20.0
cyber_security,14,14,-10.912404350609693,-10.34063260340633,14.285714285714285
auto_battery,2,2,-23.948082580234807,-23.948082580234807,0.0
