ticker,company_name,sector,best_variant,theme_text_regenerated_normalized
3498.T,霞ヶ関キャピタル,不動産業,theme_bodyleft,"調7な1幻・1ー5(川)OAー7幻.0Ⅱ己資本,YM・BNYMクライアン1阪小川調2【株式】&9,ー【株7名閉2〉庸本比4住トM•IXBRD(幻)9,0モルガン・スタンレ—MUF1膩5響「JP・JPMSE(ルクス)ノム・ラン)プランチEC8()戸年チ1韻益(幻)2,JPMSE・Lux・tJBS(Uンド8(0.の調ー株益2俄ンアカウントー,2ーⅡ高安呂・1"
4262.T,ニフティライフスタイル,情報・通信業,theme_wide,"東⑥翦2ト加.3→2い2囹ーーーー76【株式】6,俐【株ド44く①ニンティ5ー新日本カストディ龜ー務)く2〉市木ドlå・郎資本5pRDßGFEACき比事ー自夜房【指標等】〉sBI券3)プランチEC3"
4060.T,ｒａｋｕｍｏ,情報・通信業,theme_bodyleft,ー5(12りOAー7幻.4ム2Ⅱ己資本14幻タル国83アイ・マーキュリーキャビ52ー.21匯ー【株式】&飛【株48名くな肥〉庸==00ま0、、0、・ゴールドマン・サックス・インタ1ー引【指標等】くーわーナショナル8(凵)高安日・調ー株益31.JPMSE・L・い(凵ンド韻益(な肥)ーン)プランチEC7(ー①国人・4・、年圏5年満ー)
1375.T,ユキグニファクトリー,水産・農林業,theme_bodyleft,"ー7..1幻.21ー5(5カ→ー3.高安17(37(8Ⅱ3例7高安日・2ⅡーI()M1国人・△【株式】&0飛【株1亨郵,1名閉コ〉1阪神明ホールディングス務く02生3〉而日本マスタヨ日'7」,儺ーIISBC'KンクM&GACSVPい一己資本チャイナEF(幻)物「閉ンク川四(【指標等】く02生3〉肝C・クライアント・オムニ4脇長谷川武男16調ー株益.JPMSE・Lux・[Ⅱド(ロンド韻益(,ン)プランチEC13(0コ)20チ・・=紗国=、0、0-効00"
2892.T,日本食品化工,食料品,theme_bodyleft,"ー細:18川)ト17.1証4三カー75fS【株式】&6,48飛【株ド&4名くコ〉庸1・菱商叮ー4く!3>もド・1なー10ーⅡ己資本24,小8ー2本比52鵯モルガン・スタンレ—MUF1,G証券6(ー①恥「7:2ン)プランチEC5(0.の・熱41・、年、(5年満肥44N2恥4訂0高師安呂・【指標等】く肥生3〉BNY{ロンGCMクライアルガン装券34調株益一円村証券韻益(な3)2,く国>圏ーく浮動株〉4、いく投信〉凹ロ疑株~、"
3446.T,ジェイテックコーポレーション,金属製品,theme_bodyleft,"ー.4ー励1躡東P高ー77査5Ⅷ11川0高安日・N・、年双5年満住幻)値6柵膃く投信〉聳疑株〉韻益(な6)く外国>よく浮動株〉間一円lnt・IEC4(0.7)調株益標等】く〉UBSuンドンIPBセグリゲイテッ物「黠内山孝教Ⅱ己資本2,四一BNYメロン(℃Mクライア1ー生3>而SB一証券匯津村【株式】&5,8飛【株ド向1名くな肥〉庸"
