ticker,company_name,sector,best_variant,theme_text_regenerated_normalized
4004.T,レゾナック・ホールディングス,化学,theme_bodyleft,"0.3ー7△1ム.【株式】&ーー飛【株川,4名くな肥〉庸第0→[コ体マスグこー)新]日本カスアイ信託ロ2い韶,1聞阜~3,恥ーコリア・セキュリティーズ・アポシ(OA)Ⅱ己資本気リー・サムスン(4.の東=0高安ま比、0旻00・券00(、?1幟缶腮当幇新は0)【指標等】く肥〉ス・アカウント5加高安呂・一ルマン・サックス証4网菖2)1Ⅱ印3券(BNYM)朝)人、0、;資ル0服第吽命保険00(0)"
3932.T,アカツキ,情報・通信業,theme_bodyleft,"ー丘1東P21ー54第→ー(OA)6【株式】&【株)爲,名く幻コ〉庸第1]香田り朗ーーソニー/ループー生3〉コーエーテクモⅡD1ロ7.Ⅱ己資本2タイ日Ⅱ0【指標等】く4・3〉ノボン・セキュリティーズ・ク高安日・く幻加1最純益(円37,圏員t)リ哲"
4884.T,クリングルファーマ,医薬品,theme_bodyleft,ー..ー57カ(0A24△1印【株式】&晴飛【株ド7名く幻①庸日本全薬匚業42備ーSB一証券41肥齠>THVP1号投資事業冾Ⅱ己資本サイバーダインよー53【指標等】4の高統安日・・ー予△脇リセル6幻調ー株益国人・ー価0を0
3454.T,ファーストブラザーズ,不動産業,theme_bodyleft,ー.17.東S燔、値3ー気響「57:日本マスロ16いー側自社し己ロ)Ⅱ己資本2ノイリップセキュリティーー→い一生ーナシ=ナル19.0OA)ー諸高安日・1最純益(なⅡ)く信〉02第・定、、、年00、年00)ぃチ・・【10原知紀生野、一スみ
3683.T,サイバーリンクス,情報・通信業,theme_bodyleft,"冊22.11東S値7製物出&3【株式】&乢9飛【株ド1朝,1名くな肥〉庸1,1いⅡ己資本7,2・般財法人サイバーリン例【指標等】く肥〉↑之儷最純益(肥)~、(。鞴。、)柵に役驟琵"
3646.T,駅探,情報・通信業,theme_bodyleft,"ー7幟.→ー(27D給3冊74【株式】&例8【株第角1名く幻コ〉庸11トれ、一靄ー「社0・己株ロ)Ⅱ7一7SB一証い一己資本1,6的・般社団、、VIP高安比00株07()四1JPモルガン・セキュリティ亠3山物「3ーズ7全室貴久1【指標等】く4・3〉吉43行最純益0&3)7戸年、(0年満、.0)00チ.10龠響之松)響"
4558.T,中京医薬品,医薬品,theme_bodyleft,"ー7.~ー52.0分1→1.1分1→1(蹶鑈2・取52ー1,11い高安日・2幻・、年1・(5年満0・)0.6調株益ガン・セキュリティ18ー5Ⅱ己資本早乙女修司幻圏阜マサユキコーポレーショ1【株式】&乢【株1均7,名く幻①"
4414.T,フレクト,情報・通信業,theme_bodyleft,ー.12・1幻.42トー5・57カー→ム2Ⅱ己資本日本カストディ信龜1肥1肥生3>セールスノオース・インク14新大「興16合同へ社クロ1側51【株式】&住【株1印加名く幻コ〉庸本比4JPモルガン・セキュリティーズ6(のー18期3響「ーナシ=ナル4(凵)高安呂・2幻国人・+鼠2国:&い(5年前一)【指標等】く43〉自社従業員持株へ3(い)11・予1&ンM・ILMFE2(の調ー株益6BNYメロンSANV・GCLB・韻益(幻30JPRD・LMGC2(0.7)
4398.T,ブロードバンドセキュリティ,情報・通信業,theme_bodyleft,"ー5(7りOA)会彬.1&1幻.高安和3興幻31ー1高安呂・2幻・、年1、(5年満1.)ー7く第、・足)、40.9最韻益(幻.6)6システムラザ国30.等】4〉ーナショナル10(ム2)「初ゴールドマン・サックス・インタⅡ己資本ー4,例8SⅢインキュペーション(幻.0)SBIFrnTechん[ioGセキュリティE1例(I)1【株式】&4,9飛【株1物名くな肥〉庸"
4745.T,東京個別指導学院,サービス業,theme_bodyleft,"値7分1→東S住5ー7住5幻.8.ー24石4四【株式】&ー【株丿,27名閉2〉庸1匯]ベネッセⅡLD一例・92一日本マスター信託日幻一生わ而MSIこクライノ・ン亨キ、Ⅱ己資本8,4日本カストディ信出」87((阜本比72石凛勲和2WUアセッツ0物「讐石原町0・4【指標等】く4・2〉ンク()A&-バス・アカウント19(3)調株益一円JPモルガン・セキュリティ韻益(2)1,27ーズ・く国>富0よ2第14(02))7ま0、"
