ticker,company_name,sector,best_variant,theme_text_regenerated_normalized
4275.T,カーリット,化学,theme_bodyleft,"&4ま5ー7日本カストアイ信託冂1阪日本マスヨ)【株式】&0飛【株第丿幻閉コ〉庸1よ川)18コ4励幻阜Ⅱ己資本:行5日本カスディ信託ロ(みOA)高安ま比,,す0銀)ム長、応,(3響「1'0四日・カストプイ信出」側例い【指標等】く'4.3〉芙総今リース52幻1幻高安日・(0年満、0)、0チ.1子洋文.書川.ⅱリ史岡・人"
1826.T,佐田建設,建設業,theme_bodyleft,"ー7三14劭東Sー丘1鬟5--可&ⅡSI℃(シンガポール)PBDG3(4・1)ま比、銀行1,四7自ム株会聞01【株式】&幻【株け約3,名く幻コ〉庸幻0響「10,82四7、-、制()高安日・・、年7・9、(5年満1住)ROー齊太興業引.3)13,7く外国>9.く浮動株月ま"
4685.T,菱友システムズ,情報・通信業,theme_bodyleft,"ー7住3住6行.11課出【株式】&行【株1第4.3〉7工スイエル8ー本比6一二菱UF銀行ム9Ⅱ己資本乢加眞人4.41ー齠〉、信社品株会,。。~11皿物「15”石塚明安田一ド命保険51【指標等】く4・3〉ダイヤモンドオフィスサー高師安呂・2訂3・、年5年満1・脇)勳橆&"
4886.T,あすか製薬ホールディングス,医薬品,theme_wide,"幻.一ー24ーー一ⅱ例(32ト【株式】俐【株ド圷名く①日本マスタ'託日自社1己・D務)く2〉川い4,セリア業業ー資本,叨日本カストデ日き比事=,ポン・アテイプ・,利会今=菱0月銀行00有ー19,山日【指標等】〉割ヤマグ"
3945.T,スーパーバッグ,パルプ・紙,theme_wide,30【株式】俐【株ド純冊名く①ⅷ応(7)社(自己株ロ)加務)く2〉市E7みほ血行資本認明田生命保険5第0→ー安き比事ー銀行53第いい村7引有3:4田髜衂ーー【指標等】〉田清3龕統一安統日・〉凹
4099.T,四国化成ホールディングス,化学,theme_wide,"象0.4.45.ー【株式】俐【株ド4名くな貶I,Iifi%HLD(4縣)皀本ー日々スター信1(安き」,一有ー制伊銀行ー材4【指標等】くーわ-プライベートバンク龕安統日・"
4182.T,三菱瓦斯化学,化学,theme_wide,.4・ー【株式】俐【株ド冖叫コ日本マスタヨー日本カストディ信託ーース・アカウントき比事日本'S5ー
2813.T,和弘食品,食料品,theme_wide,0引)ー0→ー→島復5安ー4師24ー【株式】材7俐【株ドー名く①割山龕店日オイリオG鴪務)く23〉市自社(自己株ロ)皀本号興矜5き比事脇北海道銀行43ー【指標等】〉秋5
9900.T,サガミホールディングス,小売業,theme_upperleft,.3.3例-【株式】&ー俐【株ド乢日本マスター昭和応務)く23〉市アサヒビール資3愛知銀行日本カストデ
2737.T,トーメンデバイス,卸売業,theme_bodyleft,"ー【株式】&例.11ー54.40別)(%)6,2飛【株阪豊田通處1繦j<コ〉庸靄ーNEXTYエレクト1な5一生3〉日本サムスン83一Ⅱ己資本45,日・カストディ信託日8ー2川3恥8響「禹'1JPRD・LMGC6(0.の【指標等】くh.3〉WUアセッツ5(の74最純益(.3)6,訂9く外国>79い動株月7.一円SM肬日興&32高安呂・・"
3583.T,オーベクス,繊維製品,theme_wide,"【株式】3,俐【株ド①昭和化学47(7)務)く2〉市築建・5:14骼→ー本6Ⅱ社取}ー措安き比事ーみすほ銀行0島・会5第30自社ーー【指標等】〉リH友信託15予7試ーく外〉く"
3199.T,綿半ホールディングス,小売業,theme_bodyleft,"ー7仕6仕5恠0東Pー→出出高値鼠3ー11安引1高安師呂・・、年1双5年I.4S)【株式】&9飛【株第丿34閉コ〉庸町0八十二銀行.0Ⅱ己資本,7咫昭和商事例よ0物「謐野凛勇2【指標等】く4・3〉ヤマウラ研凛勇第賀博"
3048.T,ビックカメラ,小売業,theme_bodyleft,"ー5.第働10.1→ー14.18.仕5ー7仕12ー阪自社(自己椥D(9①SMBC信~行管邸に託AⅡ己資本1みずほ信託,呂釁管理信阜東P高安【指標等】く〉三)日ド友信託銀行信-ロ日13物「高安呂・2ーー・、年よハ(5年満地ハ)立79調整ー株益17.Tテレビ6Ⅱよ2最高0&8)日本マスター信託リテール価一例呂例8る44例()"
1980.T,ダイダン,建設業,theme_wide,"【株式】45,俐【株ド~3名く①圏.5日本マスタ'託日3.5自社(自'・25例→れ一務)く23〉市東京大元↓幻7安き比事ー有ビ東島24ー14ー【指標等】〉日本生命保険"
2814.T,佐藤食品工業,食料品,theme_wide,【株式】俐【株ド74①例→ー自社(自己株ロ)5・8ョコレイ・8務)く3〉市プルドックソース9本彳黷.3第胼ーレイズネクスト9トィ'0名占屋銀行24ー【指標等】く〉い六銀行~ー
2923.T,サトウ食品,食料品,theme_bodyleft,"ー5ー2:0.4例.47.7ー7【株式】&,0石【株12,名くな10〉庸.仇1韻益(4)1,0調株益2高安呂・】く・わ藤段ボール0ト本比恥第四」銀行"
