mapping_name,mapping_ja,dataset,standard_count,intermediate_count,high_vol_count,initial_capital,final_capital,total_return_pct,num_buys,phase_pnl,max_drawdown_pct,table_assignment
practical_phase_adaptive_v2_monthly_3tables,実務向け局面切替v2_月次3テーブル,q2_2024,24,24,24,3000000.0,2967911.3740234375,-1.0696208658854123,22,"{'capitulation_end': 0.0, 'crash': -33364.0, 'high_vol': 3507.50390625, 'normal': -37303.3779296875, 'overheated_range': -23833.251953125, 'stable': -242.5, 'surge': 2100.0, 'uptrend': 57047.0}",-6.960465491736933,"{'high_vol': ['high_vol', 'crash'], 'intermediate': ['settling', 'reversal_up', 'capitulation_end'], 'standard': 'others'}"
practical_phase_adaptive_v2_monthly_3tables,実務向け局面切替v2_月次3テーブル,q3,13,13,13,3000000.0,3017112.385437013,0.5704128479004478,15,"{'high_vol': -83765.0, 'normal': -68433.2275390625, 'overheated_range': 113240.50000000047, 'settling': 21623.726745605934, 'stable': 34900.0, 'uptrend': -453.61376953078434}",-10.551889615307353,"{'high_vol': ['high_vol', 'crash'], 'intermediate': ['settling', 'reversal_up', 'capitulation_end'], 'standard': 'others'}"
practical_phase_adaptive_v2_monthly_3tables,実務向け局面切替v2_月次3テーブル,q4,60,60,60,3000000.0,3240860.0000000014,8.028666666666705,24,"{'high_vol': -27693.999999998603, 'normal': 279461.5, 'stable': -7100.0, 'surge': -27700.0, 'uptrend': 23892.5}",-8.237591268022182,"{'high_vol': ['high_vol', 'crash'], 'intermediate': ['settling', 'reversal_up', 'capitulation_end'], 'standard': 'others'}"
practical_phase_adaptive_v2_monthly_3tables,実務向け局面切替v2_月次3テーブル,4q2,75,75,75,3000000.0,3390005.000000001,13.0001666666667,59,"{'crash': -24540.0, 'high_vol': 26043.50000000093, 'normal': 250191.0, 'settling': -12578.0, 'surge': 138500.0, 'uptrend': 12388.5}",-3.143389800248564,"{'high_vol': ['high_vol', 'crash'], 'intermediate': ['settling', 'reversal_up', 'capitulation_end'], 'standard': 'others'}"
