ticker,name,method,final_capital,return_pct,max_dd_pct,num_buys
1306.T,TOPIX ETF,buy_hold,2771619.3656093488,-7.612687813021701,,
1306.T,TOPIX ETF,defensive_breakout,3105779.5,3.525983333333338,-2.673239160209473,4.0
1321.T,Nikkei225 ETF,buy_hold,2836376.741950985,-5.454108601633834,,
1321.T,Nikkei225 ETF,defensive_breakout,3000000.0,0.0,0.0,0.0
1489.T,Nikkei High Dividend 50,buy_hold,2784475.6399669694,-7.184145334434355,,
1489.T,Nikkei High Dividend 50,defensive_breakout,3126621.999999999,4.220733333333304,-3.802695190857064,4.0
1328.T,Gold Price ETF,buy_hold,3001311.7621337995,0.04372540445998219,,
1328.T,Gold Price ETF,defensive_breakout,3160389.0,5.346300000000004,-1.9237386372989107,3.0
1540.T,Physical Gold ETF,buy_hold,3006590.5096660806,0.2196836555360182,,
1540.T,Physical Gold ETF,defensive_breakout,3142440.0,4.747999999999997,-0.8502289077828684,2.0
