date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,macro_confirm_score,macro_corr_score,signal_basis_date,reason
2025-10-06,7242.T,輸送用機器,輸送用機器,BUY,4025.0,1400,365000.0,0.43222389411195067,0.0,0.0,2025-10-03,buy_breakout_up
2025-10-14,7242.T,輸送用機器,輸送用機器,SELL,3790.0,1400,5671000.0,0.36635000945910323,,,2025-10-10,stop_loss
2025-10-16,8393.T,銀行業,銀行業,BUY,4389.875,400,3915050.0,0.3205342650038539,0.0,0.0,2025-10-15,buy_breakout_up
2025-10-22,6331.T,機械,機械,BUY,3055.1499999999996,600,2081960.0000000002,0.6958345145698906,0.0,0.0,2025-10-21,buy_breakout_up
2025-10-22,8345.T,銀行業,銀行業,BUY,4024.4749999999995,500,69722.50000000047,0.33432283461313744,0.0,0.0,2025-10-21,buy_breakout_up
2025-10-24,6331.T,機械,機械,SELL,3315.0,600,2058722.5000000005,0.7334883410195167,,,2025-10-23,take_profit
2025-10-27,8345.T,銀行業,銀行業,SELL,4035.0,500,4076222.5000000005,0.30798951108210687,,,2025-10-24,sell_signal
2025-10-28,8393.T,銀行業,銀行業,SELL,4750.0,400,5976222.5,0.37211231021087254,,,2025-10-27,take_profit
2025-11-21,6745.T,電気機器,電気機器,BUY,4044.7749999999996,700,3144880.0000000005,0.4240609437737545,0.0,0.0,2025-11-20,buy_breakout_up
2025-11-27,8600.T,銀行業,銀行業,BUY,745.0099999999999,2100,1580359.0000000007,0.46454912634224915,0.0,0.0,2025-11-26,buy_breakout_up
2025-11-28,2981.T,不動産業,不動産業,BUY,2888.0,200,1002759.0000000007,0.5750514361287297,0.0,0.0,2025-11-27,buy_breakout_up
2025-12-03,2981.T,不動産業,不動産業,SELL,2703.0,200,1543359.0000000007,0.5696456773803524,,,2025-12-02,stop_loss
2025-12-03,7242.T,輸送用機器,輸送用機器,BUY,4600.0,100,1083359.0000000007,0.4747376208064949,0.0,0.0,2025-12-02,buy_breakout_up
2025-12-05,6745.T,電気機器,電気機器,SELL,4430.0,700,4184359.000000001,0.52604371221002,,,2025-12-04,take_profit
2025-12-08,7242.T,輸送用機器,輸送用機器,SELL,4555.0,100,4639859.000000001,0.45495326915604173,,,2025-12-05,sell_signal
2025-12-15,7242.T,輸送用機器,輸送用機器,BUY,4597.95,500,2340884.000000001,0.44903428085083535,0.0,0.0,2025-12-12,buy_breakout_up
2025-12-15,5105.T,ゴム製品,ゴム製品,BUY,4400.025,500,140871.50000000093,0.4463153306467908,0.0,0.0,2025-12-12,buy_breakout_up
2025-12-17,7242.T,輸送用機器,輸送用機器,SELL,4535.0,500,2408371.500000001,0.4347057143725018,,,2025-12-16,sell_signal
2025-12-17,5105.T,ゴム製品,ゴム製品,SELL,4420.0,500,4618371.500000001,0.4496892344290943,,,2025-12-16,sell_signal
2025-12-19,6745.T,電気機器,電気機器,BUY,4415.25,200,3735321.500000001,0.48365113675519816,0.0,0.0,2025-12-18,buy_breakout_up
2025-12-19,8343.T,銀行業,銀行業,BUY,3933.1249999999995,300,2555384.000000001,0.4672617960554368,0.0,0.0,2025-12-18,buy_breakout_up
2025-12-22,4495.T,情報・通信業,情報・通信業,BUY,2887.0,100,2266684.000000001,0.5498093269247571,0.0,0.0,2025-12-19,buy_breakout_up
2025-12-22,8515.T,その他金融業,その他金融業,BUY,570.0,700,1867684.000000001,0.48889024396531333,0.0,0.0,2025-12-19,buy_breakout_up
2025-12-24,2975.T,不動産業,不動産業,BUY,1303.2599999999998,1400,43120.000000001164,0.4705758004021291,0.0,0.0,2025-12-23,buy_breakout_up
2025-12-25,6745.T,電気機器,電気機器,SELL,4420.0,200,927120.0000000012,0.48571090941203005,,,2025-12-24,sell_signal
2025-12-26,4495.T,情報・通信業,情報・通信業,SELL,2887.0,100,1215820.0000000012,0.5266445832553432,,,2025-12-25,sell_signal
2025-12-30,6745.T,電気機器,電気機器,BUY,4460.924999999999,100,769727.5000000012,0.483869769598593,0.0,0.0,2025-12-29,buy_breakout_up
2025-12-30,8600.T,銀行業,銀行業,SELL_END,784.0,2100,2416127.500000001,,,,,end_of_backtest
2025-12-30,8343.T,銀行業,銀行業,SELL_END,4025.0,300,3623627.500000001,,,,,end_of_backtest
2025-12-30,8515.T,その他金融業,その他金融業,SELL_END,559.0,700,4014927.500000001,,,,,end_of_backtest
2025-12-30,2975.T,不動産業,不動産業,SELL_END,1361.0,1400,5920327.500000001,,,,,end_of_backtest
2025-12-30,6745.T,電気機器,電気機器,SELL_END,4440.0,100,6364327.500000001,,,,,end_of_backtest
