ticker,company_name,market,simple_sector,sector,feature_summary,segment_summary,flags,headline_positive_count,headline_negative_count,headline_score_raw,shikiho_score_overall,score_growth,score_profitability,score_safety,score_undervalued,score_momentum,forecast_per,actual_pbr,forecast_yield,ytd_return_text_pct,ma200_gap_pct,equity_ratio_pct,sales_growth_pct,op_growth_pct,np_growth_pct,eps_growth_pct,div_growth_pct,annual_return_pct,quarter_return_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,persistence_20d_pct,year_end_close,sector_33,sector_adjusted_per_score,fundamental_score,price_score,valuation_score,promising_score,selected,selection_reason,source_quarter,learning_date,training_cutoff_date,ocr_style_label,image_file,realized_return_pct
4495.T,アイキューブドシステムズ,,情報・通信業,情報・通信業,,,,0,0,0.0,3.0,4.735796966471527,3.7477714209685997,3.7477714209685997,3.434385382059801,4.539542309739224,16.4,16.4,16.4,80.6384455239417,,,,,,,,80.6384455239417,41.852861035422336,0.8706278366761138,-15.009041591320072,75.0,100.0,2603.0,情報・通信業,0.6868770764119602,0.7495542841937199,0.9471593932943054,0.6868770764119602,0.9079084619478448,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,1509.png,8.747044917257686
8550.T,栃木銀行,,銀行業,銀行業,,,,0,0,0.0,3.0,4.464642096860032,2.8424361362426827,2.8424361362426827,3.84375,4.534725918041511,8.5,8.5,8.5,78.79858657243817,,,,,,,,78.79858657243817,25.87064676616915,0.8501824456939503,-27.710843373493976,83.33333333333334,85.0,506.0,銀行業,0.76875,0.5684872272485365,0.8929284193720064,0.76875,0.9069451836083022,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,3413.png,47.86150712830957
2981.T,ランディックス,,不動産業,不動産業,,,,0,0,0.0,3.0,4.748935604044705,2.7949042043640233,2.7949042043640233,3.6363636363636367,4.525918041511443,8.3,8.3,8.3,86.36721828211189,,,,,,,,86.36721828211189,41.02564102564104,0.908190130993324,-16.78929765886288,83.33333333333334,95.0,2365.0,不動産業,0.7272727272727273,0.5589808408728046,0.949787120808941,0.7272727272727273,0.9051836083022886,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,650.png,14.266547406082283
9409.T,テレビ朝日ホールディングス,,情報・通信業,情報・通信業,,,,0,0,0.0,3.0,4.466637839276211,3.1246341138903673,3.1246341138903673,4.339700996677741,4.511575306013838,12.1,12.1,12.1,49.7099509147702,,,,,,,,49.7099509147702,20.078740157480325,0.9066907482101404,-16.858522094318605,100.0,100.0,3355.0,情報・通信業,0.8679401993355482,0.6249268227780734,0.8933275678552421,0.8679401993355482,0.9023150612027676,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,3717.png,2.4615384615384706
2975.T,スター・マイカ・ホールディングス,,不動産業,不動産業,,,,0,0,0.0,3.0,4.403173230441723,1.6819784459819054,1.6819784459819054,2.878787878787879,4.4961415646620555,10.3,10.3,10.3,52.38095238095237,,,,,,,,52.38095238095237,26.631016042780757,0.9323332079850588,-16.125654450261784,91.66666666666666,80.0,1184.0,不動産業,0.5757575757575758,0.3363956891963811,0.8806346460883447,0.5757575757575758,0.899228312932411,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,645.png,11.557377049180316
6542.T,ＦＣホールディングス,,サービス業,サービス業,,,,0,0,0.0,3.0,4.303120010643959,3.6053751995742416,3.6053751995742416,4.257009345794392,4.489648749334752,10.2,10.2,10.2,56.68508287292817,,,,,,,,56.68508287292817,26.49420160570919,0.8711340501543241,-11.259541984732824,83.33333333333334,70.0,1418.0,サービス業,0.8514018691588785,0.7210750399148483,0.8606240021287919,0.8514018691588785,0.8979297498669504,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,2405.png,-0.6346967559943573
8600.T,トモニホールディングス,,銀行業,銀行業,,,,0,0,0.0,3.0,4.47412187333688,2.8824175093134645,2.8824175093134645,4.4375,4.473948908994146,7.4,7.4,7.4,50.22321428571428,,,,,,,,50.22321428571428,23.260073260073263,0.9355342055428688,-23.1858407079646,83.33333333333334,95.0,673.0,銀行業,0.8875,0.5764835018626929,0.8948243746673761,0.8875,0.8947897817988291,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,3431.png,18.7878787878788
3449.T,テクノフレックス,,金属製品,金属製品,,,,0,0,0.0,3.0,4.493048163916978,1.907064928153273,1.907064928153273,3.3620689655172415,4.471793507184673,10.1,10.1,10.1,52.62189512419504,,,,,,,,52.62189512419504,28.60465116279069,0.7885460107981577,-9.745390693590872,83.33333333333334,100.0,1659.0,金属製品,0.6724137931034483,0.3814129856306546,0.8986096327833955,0.6724137931034483,0.8943587014369345,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,913.png,36.16489693941287
5105.T,ＴＯＹＯ ＴＩＲＥ,,ゴム製品,ゴム製品,,,,0,0,0.0,3.0,4.574973390101118,1.931512772751463,1.931512772751463,3.611111111111111,4.46953166577967,9.6,9.6,9.6,62.67328781295263,,,,,,,,62.67328781295263,27.216828478964405,0.897594629366311,-21.51628403630539,83.33333333333334,95.0,3931.0,ゴム製品,0.7222222222222222,0.3863025545502926,0.9149946780202236,0.7222222222222222,0.8939063331559342,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,1789.png,10.841217080030674
1980.T,ダイダン,,建設業,建設業,,,,0,0,0.0,3.0,4.517496008515167,2.956592602448111,2.956592602448111,3.6833333333333336,4.433209153805215,11.4,11.4,11.4,61.8300589767157,,,,,,,,61.8300589767157,37.55555013020832,0.8080618634638292,-23.425696587144785,83.33333333333334,90.0,2063.333251953125,建設業,0.7366666666666667,0.5913185204896222,0.9034992017030334,0.7366666666666667,0.8866418307610431,True,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025Q4_PRE,2025-09-30,2025-09-30,業績急伸型,198.png,23.594007473018475
