date,nikkei_phase,equity,pnl_day
2025-04-01,crash,2980302.0,-19698.0
2025-04-02,crash,2959598.0,-20704.0
2025-04-03,crash,2938598.0,-21000.0
2025-04-04,crash,2938598.0,0.0
2025-04-07,crash,2938598.0,0.0
2025-04-08,crash,2938598.0,0.0
2025-04-09,crash,2928087.0,-10511.0
2025-04-10,crash,2981687.0,53600.0
2025-04-11,crash,2987715.0,6028.0
2025-04-14,crash,3006215.0,18500.0
2025-04-15,capitulation_end,3010366.0,4151.0
2025-04-16,crash,3009488.0,-878.0
2025-04-17,capitulation_end,3022626.0,13138.0
2025-04-18,crash,3101636.0,79010.0
2025-04-21,crash,3101772.0,136.0
2025-04-22,crash,3072052.0,-29720.0
2025-04-23,crash,3070452.0,-1600.0
2025-04-24,downtrend,3069252.0,-1200.0
2025-04-25,downtrend,3069252.0,0.0
2025-04-28,settling,3089384.4,20132.399999999907
2025-04-30,normal,3059109.4,-30275.0
2025-05-01,normal,3070769.4,11660.0
2025-05-02,normal,3052269.4,-18500.0
2025-05-07,normal,3051584.0,-685.3999999999069
2025-05-08,normal,2994108.0,-57476.0
2025-05-09,normal,3014215.6,20107.600000000093
2025-05-12,normal,2979398.4000000004,-34817.19999999972
2025-05-13,normal,2943458.6000000006,-35939.799999999814
2025-05-14,normal,2936436.6000000006,-7022.0
2025-05-15,normal,2937625.0000000005,1188.3999999999069
2025-05-16,normal,2979820.656341553,42195.656341552734
2025-05-19,normal,2968553.9998474126,-11266.656494140625
2025-05-20,normal,2947353.9998474126,-21200.0
2025-05-21,uptrend,2911720.656341553,-35633.343505859375
2025-05-22,uptrend,2918053.9998474126,6333.343505859375
2025-05-23,uptrend,2933534.156341553,15480.156494140625
2025-05-26,uptrend,2960434.156341553,26900.0
2025-05-27,uptrend,2956640.312835694,-3793.843505859375
2025-05-28,uptrend,2953506.9998474126,-3133.31298828125
2025-05-29,uptrend,2962909.4998474126,9402.5
2025-05-30,uptrend,2954121.4998474126,-8788.0
2025-06-02,uptrend,2929371.4998474126,-24750.0
2025-06-03,normal,2931917.9998474126,2546.5
2025-06-04,normal,2984517.999847413,52600.000000000466
2025-06-05,normal,2968217.999847413,-16300.0
2025-06-06,normal,2983517.999847413,15300.0
2025-06-09,normal,2984164.999847413,647.0
2025-06-10,normal,3011072.499847413,26907.5
2025-06-11,normal,3024572.499847413,13500.0
2025-06-12,normal,3032022.499847413,7450.0
2025-06-13,stable,3032102.499847413,80.0
2025-06-16,stable,3075702.499847413,43600.0
2025-06-17,stable,3102752.499847413,27050.0
2025-06-18,stable,3095492.499847413,-7260.0
2025-06-19,uptrend,3115392.499847413,19900.0
2025-06-20,uptrend,3064092.499847413,-51300.0
2025-06-23,uptrend,3050012.499847413,-14080.0
2025-06-24,stable,3066208.499847413,16196.0
2025-06-25,stable,3064558.499847413,-1650.0
2025-06-26,uptrend,3057158.499847413,-7400.0
2025-06-27,stable,3057258.499847413,100.0
2025-06-30,uptrend,3039183.8497009287,-18074.650146484375
