date,phase_name,post_major_crash_mode,post_major_phase,post_major_active,stock_post_major_active,stock_gate_reason,sector_mode,sector_top_share,sector_hhi,sector_count
2025-04-01,crash,False,crash,False,False,not_post_major,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-02,crash,False,crash,False,False,not_post_major,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-03,crash,False,crash,False,False,not_post_major,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-04,crash,True,crash,False,False,phase_crash,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-07,crash,True,crash,False,False,phase_crash,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-08,crash,True,crash,False,False,phase_crash,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-09,crash,True,crash,False,False,phase_crash,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-10,crash,True,crash,False,False,phase_crash,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-11,crash,True,crash,False,False,phase_crash,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-14,crash,True,crash,False,False,phase_crash,dispersed,0.23684210526315788,0.11634349030470909,15
2025-04-15,capitulation_end,True,capitulation_end,True,True,capitulation_end,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-16,crash,True,crash,False,False,phase_crash,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-17,capitulation_end,True,capitulation_end,True,True,capitulation_end,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-18,crash,True,crash,False,False,phase_crash,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-21,crash,True,crash,False,False,phase_crash,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-22,crash,True,crash,False,False,phase_crash,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-23,crash,True,crash,False,False,phase_crash,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-24,downtrend,True,high_vol,True,False,current_downtrend,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-25,downtrend,True,high_vol,True,False,current_downtrend,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-28,settling,True,settling,True,True,settling,dispersed,0.3333333333333333,0.17013888888888887,11
2025-04-30,normal,True,normal,True,False,normal_continuity_1,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-01,normal,True,normal,True,False,normal_continuity_2,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-02,normal,True,normal,True,False,normal_continuity_3,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-07,normal,True,normal,True,True,normal_strong,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-08,normal,True,normal,True,True,normal_strong,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-09,normal,True,normal,True,True,normal_strong,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-12,normal,True,normal,True,True,normal_strong,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-13,normal,True,normal,True,True,normal_strong,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-14,normal,True,normal,True,True,normal_strong,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-15,normal,True,normal,True,True,normal_strong,dispersed,0.2608695652173913,0.14177693761814741,11
2025-05-16,normal,True,normal,True,False,normal_ret5_0.0224,dispersed,0.225,0.12125000000000001,13
2025-05-19,normal,True,normal,True,False,normal_ret5_0.0067,dispersed,0.225,0.12125000000000001,13
2025-05-20,normal,True,normal,True,False,normal_ret5_-0.0039,dispersed,0.225,0.12125000000000001,13
