date,ticker,action,price,shares,reason,signal_score,cash_after
2026-01-05,6743.T,BUY,827.0,100,entry_breakout,0.5808286404035349,2917300.0
2026-01-05,8600.T,BUY,795.7599999999999,200,entry_breakout,0.5227983399750034,2758148.0
2026-01-05,8399.T,BUY,1877.7499999999998,100,entry_breakout,0.5026597623834959,2570373.0
2026-01-05,6343.T,BUY,167.475,1100,entry_breakout,0.5008117367223045,2386150.5
2026-01-05,8344.T,BUY,1963.0099999999998,100,entry_breakout,0.4728592278442018,2189849.5
2026-01-05,3289.T,BUY,1450.435,200,entry_breakout,0.4681452944934523,1899762.5
2026-01-05,3388.T,BUY,2403.52,100,entry_breakout,0.4565211822362958,1659410.5
2026-01-05,7246.T,BUY,825.0,600,entry_breakout,0.4292508515324612,1164410.5
2026-01-05,5697.T,BUY,754.0,700,entry_breakout,0.4236233749443153,636610.5
2026-01-05,9531.T,BUY,6300.0,100,entry_breakout,0.416727123980995,6610.5
2026-01-06,6743.T,SELL,807.52,100,early_stop_top,,87362.5
2026-01-06,8600.T,SELL,810.0,200,early_take_profit_top,,249362.5
2026-01-06,8399.T,SELL,1903.85,100,early_take_profit_top,,439747.5
2026-01-06,8344.T,SELL,1985.66,100,early_take_profit_top,,638313.5
2026-01-06,9405.T,BUY,860.7199999999999,300,entry_breakout,0.4166600859644206,380097.5
2026-01-06,7241.T,BUY,1080.975,300,entry_breakout,0.4118235266703493,55805.0
2026-01-07,6343.T,SELL,162.68,1100,early_stop_top,,234753.0
2026-01-07,3388.T,SELL,2436.12,100,early_take_profit_top,,478365.0
2026-01-07,9405.T,SELL,879.71,300,early_take_profit_top,,742278.0
2026-01-08,3289.T,SELL,1465.51,200,early_take_profit_top,,1035380.0
2026-01-09,7246.T,SELL,847.0,600,early_take_profit_top,,1543580.0
2026-01-14,9531.T,SELL,6460.0,100,early_take_profit_top,,2189580.0
2026-01-14,7241.T,SELL,1093.83,300,early_take_profit_top,,2517729.0
2026-01-14,7241.T,BUY,1099.245,2200,entry_breakout,0.41262577529416605,99390.00000000047
2026-01-16,5697.T,SELL,814.32,700,take_profit_8pct,,669414.0000000005
2026-01-16,7241.T,SELL,1125.14,2200,early_take_profit_top,,3144722.0000000005
2026-01-16,5105.T,BUY,4562.424999999999,600,entry_breakout,0.4780050939661949,407267.00000000093
2026-01-19,5105.T,SELL,4440.0,600,early_stop_top,,3071267.000000001
2026-01-19,5714.T,BUY,8798.019999999999,300,entry_breakout,0.6929296189498545,431861.0000000014
2026-01-21,5714.T,SELL,9016.27,300,early_take_profit_top,,3136742.0000000014
2026-01-22,5105.T,BUY,4424.384999999999,700,entry_breakout,0.4609968284870733,39672.50000000186
