date,ticker,action,price,shares,reason,signal_score,cash_after
2026-01-23,5105.T,SELL,4469.25,700,early_take_profit_top,,3168147.500000002
2026-01-23,7184.T,BUY,2414.685,1300,entry_breakout,0.7708377612436234,29057.000000001863
2026-01-26,7184.T,SELL,2293.95075,1300,stop_loss_5pct,,3011192.975000002
2026-01-27,7184.T,BUY,2319.2749999999996,1200,entry_breakout,0.7283432207958643,228062.97500000242
2026-01-28,7184.T,SELL,2245.18,1200,early_stop_top,,2922278.9750000024
2026-02-02,5901.T,BUY,3933.1249999999995,100,entry_breakout,0.5046439159516405,2528966.4750000024
2026-02-02,1938.T,BUY,2328.0,200,entry_breakout,0.44208259857431664,2063366.4750000024
2026-02-02,3352.T,BUY,1650.0,400,entry_breakout,0.4148972146349676,1403366.4750000024
2026-02-02,7231.T,BUY,3176.95,200,entry_breakout,0.39953278231423134,767976.4750000024
2026-02-02,9405.T,BUY,842.4499999999999,900,entry_breakout,0.36608068921167747,9771.475000002538
2026-02-03,3352.T,SELL,1674.0,400,early_take_profit_top,,679371.4750000025
2026-02-03,7102.T,BUY,3950.0,100,entry_breakout,0.4453063241977773,284371.47500000254
2026-02-04,5901.T,SELL,4008.69,100,early_take_profit_top,,685240.4750000025
2026-02-04,1938.T,SELL,2368.45,200,early_take_profit_top,,1158930.4750000024
2026-02-04,7102.T,SELL,4080.4,100,early_take_profit_top,,1566970.4750000024
2026-02-04,7722.T,BUY,1011.9549999999999,500,entry_breakout,0.6251162967288684,1060992.9750000024
2026-02-04,8387.T,BUY,2146.725,200,entry_breakout,0.6175466037773396,631647.9750000024
2026-02-04,3289.T,BUY,1477.84,400,entry_breakout,0.4350569528654446,40511.97500000242
2026-02-05,7231.T,SELL,3265.0,200,early_take_profit_top,,693511.9750000024
2026-02-05,9405.T,SELL,857.0,900,early_take_profit_top,,1464811.9750000024
2026-02-05,7722.T,SELL,1058.0,500,early_take_profit_top,,1993811.9750000024
2026-02-05,8387.T,SELL,2231.0,200,early_take_profit_top,,2440011.9750000024
2026-02-05,3289.T,SELL,1509.5,400,early_take_profit_top,,3043811.9750000024
2026-02-05,7241.T,BUY,1084.0,2800,entry_breakout,0.3651726030277763,8611.975000002421
2026-02-09,7241.T,SELL,1116.0,2800,early_take_profit_top,,3133411.9750000024
2026-02-10,1718.T,BUY,9581.599999999999,300,entry_breakout,0.542462375103981,258931.9750000029
2026-02-12,1718.T,SELL,9797.0,300,early_take_profit_top,,3198031.975000003
2026-02-12,1768.T,BUY,1658.5099999999998,1900,entry_breakout,0.7244132145758443,46862.97500000335
2026-02-17,1768.T,SELL,1703.8700000000001,1900,early_take_profit_top,,3284215.9750000034
2026-02-17,7456.T,BUY,7104.999999999999,200,entry_breakout,0.7710017327698269,1863215.9750000036
2026-02-17,5714.T,BUY,9623.214999999998,100,entry_breakout,0.7319251048131492,900894.4750000037
2026-02-19,7456.T,SELL,7261.9,200,early_take_profit_top,,2353274.475000004
2026-02-19,5714.T,SELL,9733.37,100,early_take_profit_top,,3326611.475000004
2026-02-19,5901.T,BUY,4057.97,200,entry_breakout,0.48825498114498583,2515017.475000004
2026-02-19,6379.T,BUY,2576.0699999999997,400,entry_breakout,0.4657642677763784,1484589.4750000038
2026-02-19,9063.T,BUY,4506.599999999999,300,entry_breakout,0.4368791144525147,132609.47500000405
2026-02-20,5901.T,SELL,3962.14,200,early_stop_top,,925037.475000004
2026-02-20,9063.T,SELL,4762.15,300,early_take_profit_top,,2353682.4750000043
2026-02-26,8387.T,BUY,2338.0,500,entry_breakout,0.6772529414065078,1184682.4750000043
2026-02-26,8344.T,BUY,2657.2699999999995,400,entry_breakout,0.6541993932259994,121774.47500000452
2026-02-27,6379.T,SELL,2610.85,400,early_take_profit_top,,1166114.4750000045
2026-02-27,8387.T,SELL,2376.53,500,early_take_profit_top,,2354379.4750000043
2026-02-27,4619.T,BUY,2487.765,400,entry_breakout,0.464664583407579,1359273.4750000043
2026-02-27,1879.T,BUY,2175.145,600,entry_breakout,0.39548336051232824,54186.475000004284
2026-03-03,4619.T,SELL,2420.6,400,early_stop_top,,1022426.4750000043
2026-03-03,1879.T,SELL,2066.38775,600,stop_loss_5pct,,2262259.125000004
2026-03-04,8344.T,SELL,2524.4064999999996,400,stop_loss_5pct,,3272021.7250000043
2026-03-05,7456.T,BUY,8110.0,200,entry_breakout,0.7940609878159284,1650021.7250000043
2026-03-05,8393.T,BUY,9220.0,100,entry_breakout,0.7711566745272712,728021.7250000043
2026-03-06,7456.T,SELL,7704.5,200,stop_loss_5pct,,2268921.7250000043
2026-03-09,8393.T,SELL,8520.0,100,stop_loss_5pct,,3120921.7250000043
2026-03-10,8393.T,BUY,8880.0,100,entry_breakout,0.7795615672468316,2232921.7250000043
2026-03-10,5714.T,BUY,9811.0,200,entry_breakout,0.7109863971740973,270721.7250000043
2026-03-10,8393.T,SELL_END,9170.0,100,end_of_backtest,,1187721.7250000043
2026-03-10,5714.T,SELL_END,10055.0,200,end_of_backtest,,3198721.7250000043
