date,open,high,low,close,volume,ssa_40,price_to_ssa_gap,ssa_slope_3,ssa_slope_5,ssa_slope_20,ssa_curvature,trend_label_ja,trend_label_en,trend_score
2013-01-04,10604.5,10734.23046875,10602.240234375,10688.1103515625,219000000,10299.297662023226,0.037751379006449204,0.02119041772771757,0.02958164965261534,0.1192684015122758,0.002086362617159887,上昇トレンド,uptrend,4.0
2013-01-07,10743.6904296875,10743.6904296875,10589.7001953125,10599.009765625,187700000,10373.127102300761,0.021775753935776798,0.022493289093930002,0.03333339366248622,0.1231693347829641,0.008741909639514711,上昇トレンド,uptrend,4.0
2013-01-08,10544.2099609375,10602.1201171875,10463.4296875,10508.0595703125,211400000,10435.738115047707,0.006930171538179097,0.02200291366010232,0.034718688080829896,0.12655031334930267,0.010932264231102273,上昇トレンド,uptrend,4.0
2013-01-09,10405.669921875,10620.7001953125,10398.6103515625,10578.5703125,215000000,10503.064640945486,0.007188918104927167,0.019784550909098808,0.03530140953392191,0.12962773972550723,0.012807049547876925,上昇トレンド,uptrend,4.0
2013-01-10,10635.1103515625,10686.1201171875,10619.650390625,10652.6396484375,268500000,10570.683812104295,0.007753125321879217,0.0190450486006013,0.035218547672502654,0.13168870327835425,0.011437760585536472,上昇トレンド,uptrend,4.0
2013-01-11,10786.1396484375,10830.4296875,10748.0595703125,10801.5703125,236600000,10649.200706207532,0.014308079122187012,0.02045495860537394,0.03397348592754135,0.13437079328459123,0.004391836274926009,上昇トレンド,uptrend,4.0
2013-01-15,10914.650390625,10952.3095703125,10851.66015625,10879.080078125,215100000,10734.252232742332,0.013492122435962983,0.022011441393550824,0.034813526035121445,0.1365240685149549,0.0014801323726352233,上昇トレンド,uptrend,4.0
2013-01-16,10806.41015625,10806.41015625,10591.2998046875,10600.4404296875,226100000,10787.872274704843,-0.017374310730099096,0.020546302061542177,0.03374310046640394,0.13469945981794496,-0.0009755876144259545,上昇トレンド,uptrend,4.0
2013-01-17,10660.9404296875,10694.849609375,10432.9697265625,10609.6396484375,268500000,10839.090173509203,-0.02116879935480942,0.017831335190347408,0.031993093830323005,0.13167318324314414,-0.0033083157035989075,上昇トレンド,uptrend,4.0
2013-01-18,10791.9697265625,10913.2998046875,10787.1201171875,10913.2998046875,286600000,10911.156966248182,0.00019638966297952365,0.016480396553962384,0.03220918913060444,0.12918958488323518,-0.0030093585418982105,上昇トレンド,uptrend,4.0
2013-01-21,10941.4501953125,10941.4501953125,10747.740234375,10747.740234375,207300000,10957.45200926266,-0.01913873542045952,0.015719479267050973,0.028945956749171442,0.1254924843437757,-0.005027529178369905,上昇トレンド,uptrend,4.0
