strategy,label,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win
long,uptrend,2009-01-05,2009-01-14,7,9043.0,8438.0,-6.69,False
short,downtrend,2009-01-27,2009-03-16,34,8061.0,7704.0,4.43,True
long,uptrend,2009-03-25,2009-04-21,20,8480.0,8711.0,2.73,True
long,uptrend,2009-05-08,2009-06-26,36,9433.0,9877.0,4.71,True
long,uptrend,2009-07-01,2009-07-01,1,9940.0,9940.0,0.0,False
short,downtrend,2009-07-09,2009-07-23,10,9291.0,9793.0,-5.4,False
long,uptrend,2009-08-06,2009-08-28,17,10388.0,10534.0,1.41,True
short,downtrend,2009-09-11,2009-09-24,7,10444.0,10544.0,-0.96,False
short,downtrend,2009-09-28,2009-10-19,15,10010.0,10237.0,-2.27,False
long,uptrend,2009-11-05,2009-11-11,5,9717.0,9872.0,1.59,True
short,downtrend,2009-11-17,2009-12-03,12,9730.0,9978.0,-2.55,False
long,uptrend,2009-12-18,2010-01-25,23,10142.0,10513.0,3.65,True
short,downtrend,2010-02-03,2010-02-25,16,10404.0,10102.0,2.91,True
long,uptrend,2010-03-11,2010-04-16,26,10665.0,11102.0,4.1,True
short,downtrend,2010-05-06,2010-06-16,30,10696.0,10067.0,5.88,True
long,uptrend,2010-06-28,2010-06-30,3,9694.0,9383.0,-3.21,False
short,downtrend,2010-07-21,2010-07-29,7,9279.0,9696.0,-4.5,False
short,downtrend,2010-08-13,2010-08-18,4,9253.0,9241.0,0.14,True
short,downtrend,2010-08-25,2010-09-10,13,8845.0,9239.0,-4.45,False
long,uptrend,2010-09-27,2010-10-19,16,9603.0,9539.0,-0.66,False
short,downtrend,2010-11-01,2010-11-09,6,9155.0,9694.0,-5.9,False
long,uptrend,2010-11-19,2010-12-22,23,10022.0,10346.0,3.23,True
long,uptrend,2010-12-29,2011-01-21,15,10345.0,10275.0,-0.68,False
long,uptrend,2011-02-08,2011-02-09,2,10636.0,10618.0,-0.17,False
long,uptrend,2011-02-15,2011-03-08,16,10747.0,10525.0,-2.06,False
short,downtrend,2011-03-15,2011-04-12,20,8605.0,9555.0,-11.04,False
long,uptrend,2011-04-22,2011-05-16,13,9682.0,9558.0,-1.28,False
short,downtrend,2011-05-30,2011-06-22,18,9505.0,9629.0,-1.31,False
long,uptrend,2011-07-01,2011-08-01,21,9868.0,9965.0,0.98,True
short,downtrend,2011-08-09,2011-09-06,21,8944.0,8591.0,3.96,True
short,downtrend,2011-09-15,2011-09-15,1,8669.0,8669.0,-0.0,False
long,uptrend,2011-09-28,2011-09-29,2,8616.0,8701.0,0.99,True
short,downtrend,2011-10-11,2011-10-12,2,8774.0,8739.0,0.4,True
long,uptrend,2011-10-13,2011-11-10,20,8823.0,8501.0,-3.65,False
short,downtrend,2011-11-22,2011-12-07,11,8315.0,8722.0,-4.9,False
long,uptrend,2011-12-26,2012-01-04,6,8479.0,8560.0,0.95,True
short,downtrend,2012-01-16,2012-01-18,3,8378.0,8551.0,-2.06,False
long,uptrend,2012-01-19,2012-04-03,53,8640.0,10050.0,16.33,True
short,downtrend,2012-04-12,2012-06-13,42,9525.0,8588.0,9.84,True
long,uptrend,2012-06-26,2012-07-17,15,8664.0,8755.0,1.05,True
short,downtrend,2012-07-31,2012-08-09,8,8695.0,8979.0,-3.26,False
long,uptrend,2012-08-22,2012-09-04,10,9132.0,8776.0,-3.9,False
short,downtrend,2012-09-21,2012-10-04,10,9110.0,8825.0,3.13,True
short,downtrend,2012-10-11,2012-10-25,11,8547.0,9055.0,-5.95,False
long,uptrend,2012-11-08,2012-11-15,6,8837.0,8830.0,-0.08,False
long,uptrend,2012-11-21,2012-12-28,26,9223.0,10395.0,12.72,True
