strategy,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win,entry_slope5
long,2013-01-07,2013-05-28,96,10744.0,14312.0,33.21,True,0.02958
short,2013-05-30,2013-07-01,23,14073.0,13852.0,1.57,True,-0.00557
long,2013-07-03,2013-07-30,19,14150.0,13870.0,-1.98,False,0.014
short,2013-08-01,2013-09-05,26,13674.0,14065.0,-2.85,False,-0.00431
long,2013-09-09,2013-10-04,18,14142.0,14024.0,-0.83,False,0.00759
short,2013-10-08,2013-11-01,18,13795.0,14202.0,-2.95,False,-0.00049
long,2013-11-06,2013-12-16,29,14155.0,15153.0,7.05,True,7e-05
short,2013-12-18,2013-12-24,4,15273.0,15889.0,-4.03,False,-0.0036
long,2013-12-26,2014-01-17,12,16087.0,15734.0,-2.19,False,0.00107
long,2014-01-22,2014-01-24,3,15749.0,15392.0,-2.27,False,0.00263
short,2014-01-28,2014-02-26,21,15039.0,14971.0,0.45,True,-0.00491
long,2014-02-28,2014-03-18,13,14930.0,14411.0,-3.47,False,0.00397
short,2014-03-20,2014-04-02,9,14549.0,14946.0,-2.73,False,-0.00146
long,2014-04-04,2014-04-07,2,15006.0,14809.0,-1.31,False,0.00066
short,2014-04-09,2014-04-17,7,14436.0,14418.0,0.13,True,-0.00316
long,2014-04-21,2014-04-25,5,14549.0,14429.0,-0.83,False,0.00019
short,2014-04-30,2014-05-14,9,14394.0,14406.0,-0.09,False,-0.002
long,2014-05-16,2014-05-21,4,14088.0,14042.0,-0.32,False,0.00492
short,2014-05-23,2014-05-26,2,14411.0,14603.0,-1.33,False,-0.00329
long,2014-05-28,2014-07-02,26,14647.0,15370.0,4.94,True,0.002
short,2014-07-04,2014-07-15,8,15490.0,15395.0,0.61,True,-0.00134
long,2014-07-17,2014-07-17,1,15423.0,15370.0,-0.34,False,0.00015
short,2014-07-22,2014-07-28,5,15296.0,15529.0,-1.52,False,-0.00076
long,2014-07-30,2014-08-05,5,15617.0,15320.0,-1.9,False,0.002
short,2014-08-07,2014-08-19,9,15139.0,15450.0,-2.05,False,-0.00158
long,2014-08-21,2014-08-27,5,15531.0,15535.0,0.02,True,0.00067
short,2014-08-29,2014-09-02,3,15424.0,15669.0,-1.59,False,-0.00076
long,2014-09-04,2014-10-06,21,15702.0,15891.0,1.21,True,0.00301
short,2014-10-08,2014-10-31,17,15575.0,16414.0,-5.39,False,-0.00317
long,2014-11-05,2014-12-09,24,16785.0,17813.0,6.12,True,0.0057
short,2014-12-11,2014-12-25,10,17180.0,17809.0,-3.66,False,-0.00122
long,2014-12-29,2014-12-30,2,17915.0,17451.0,-2.59,False,0.00049
short,2015-01-06,2015-01-20,10,17102.0,17366.0,-1.55,False,-0.00191
long,2015-01-22,2015-01-29,6,17307.0,17606.0,1.73,True,0.00301
long,2015-02-03,2015-03-31,40,17655.0,19207.0,8.79,True,0.00086
short,2015-04-02,2015-04-06,3,19142.0,19398.0,-1.34,False,-0.0022
long,2015-04-08,2015-04-17,8,19730.0,19653.0,-0.39,False,0.00141
short,2015-04-21,2015-04-23,3,19732.0,20188.0,-2.31,False,-0.00231
long,2015-04-27,2015-05-08,6,20064.0,19379.0,-3.41,False,0.00183
short,2015-05-12,2015-05-20,7,19608.0,20197.0,-3.0,False,-0.003
long,2015-05-22,2015-06-17,19,20209.0,20219.0,0.05,True,0.00095
short,2015-06-19,2015-06-25,5,20152.0,20771.0,-3.07,False,-1e-05
short,2015-06-30,2015-07-16,13,20175.0,20600.0,-2.11,False,-0.00215
long,2015-07-21,2015-07-24,4,20763.0,20545.0,-1.05,False,0.00558
short,2015-07-28,2015-07-30,3,20189.0,20523.0,-1.66,False,-0.00121
long,2015-08-03,2015-08-17,11,20540.0,20620.0,0.39,True,0.00088
short,2015-08-19,2015-10-05,31,20467.0,18005.0,12.03,True,-0.00241
long,2015-10-07,2015-12-08,42,18168.0,19493.0,7.29,True,0.00506
short,2015-12-10,2016-02-19,47,19070.0,15967.0,16.27,True,-0.00602
long,2016-02-23,2016-02-24,2,16230.0,15916.0,-1.94,False,0.00274
short,2016-02-26,2016-03-07,7,16312.0,16911.0,-3.68,False,-0.00151
long,2016-03-09,2016-04-01,17,16626.0,16164.0,-2.78,False,0.00253
short,2016-04-05,2016-04-21,13,16044.0,17364.0,-8.22,False,-0.00596
long,2016-04-25,2016-05-20,16,17614.0,16736.0,-4.98,False,0.00474
short,2016-05-24,2016-06-02,8,16605.0,16563.0,0.26,True,-0.00094
long,2016-06-06,2016-06-13,6,16373.0,16019.0,-2.16,False,4e-05
short,2016-06-15,2016-07-13,21,15799.0,16231.0,-2.74,False,-0.00454
long,2016-07-15,2016-08-17,22,16396.0,16746.0,2.13,True,0.00899
short,2016-08-19,2016-08-31,9,16558.0,16887.0,-1.99,False,-0.00456
long,2016-09-02,2016-09-12,7,16904.0,16673.0,-1.37,False,0.00113
short,2016-09-14,2016-09-26,7,16632.0,16545.0,0.53,True,-0.00083
long,2016-09-28,2016-09-28,1,16505.0,16465.0,-0.24,False,0.0006
short,2016-09-30,2016-10-14,10,16474.0,16856.0,-2.32,False,-0.00129
long,2016-10-18,2016-11-08,15,16862.0,17171.0,1.83,True,0.00236
short,2016-11-10,2016-11-11,2,16563.0,17375.0,-4.9,False,-0.00317
long,2016-11-15,2016-12-30,32,17690.0,19114.0,8.05,True,0.00163
