strategy,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win,entry_slope5
long,2018-01-05,2018-02-01,19,23643.0,23486.0,-0.66,False,0.00403
short,2018-02-05,2018-03-09,24,22921.0,21469.0,6.33,True,-0.00062
long,2018-03-13,2018-03-22,7,21742.0,21592.0,-0.69,False,0.00727
short,2018-03-26,2018-04-03,7,20423.0,21292.0,-4.25,False,-0.00098
long,2018-04-05,2018-05-25,34,21541.0,22451.0,4.22,True,0.0002
short,2018-05-29,2018-06-26,21,22432.0,22342.0,0.4,True,-0.00189
long,2018-06-28,2018-06-29,2,22195.0,22305.0,0.49,True,0.00092
short,2018-07-03,2018-07-17,11,21889.0,22697.0,-3.69,False,-0.00054
long,2018-07-19,2018-08-10,17,22872.0,22298.0,-2.51,False,0.0021
short,2018-08-14,2018-08-28,11,22053.0,22813.0,-3.45,False,-0.00016
long,2018-08-30,2018-10-12,29,23020.0,22695.0,-1.41,False,0.0005
short,2018-10-16,2018-11-12,20,22298.0,22270.0,0.13,True,-0.00309
long,2018-11-14,2018-11-16,3,21851.0,21680.0,-0.78,False,0.00084
short,2018-11-20,2018-11-21,2,21583.0,21508.0,0.35,True,-0.00155
long,2018-11-26,2018-12-06,9,21648.0,21502.0,-0.67,False,0.00336
short,2018-12-10,2019-01-24,28,21319.0,20575.0,3.49,True,-0.00041
long,2019-01-28,2019-03-18,35,20746.0,21584.0,4.04,True,0.00283
short,2019-03-20,2019-04-05,12,21549.0,21808.0,-1.2,False,-0.00061
long,2019-04-09,2019-05-09,17,21750.0,21402.0,-1.6,False,0.00085
short,2019-05-13,2019-06-11,22,21181.0,21204.0,-0.11,False,-0.00108
long,2019-06-13,2019-07-19,26,21041.0,21467.0,2.03,True,0.0043
short,2019-07-23,2019-07-24,2,21425.0,21710.0,-1.33,False,-0.00172
long,2019-07-26,2019-07-31,4,21700.0,21522.0,-0.82,False,0.00135
short,2019-08-02,2019-09-04,23,21211.0,20649.0,2.65,True,-0.00288
long,2019-09-06,2019-10-08,21,21202.0,21588.0,1.82,True,0.00464
short,2019-10-10,2019-10-18,6,21456.0,22493.0,-4.83,False,-0.00192
long,2019-10-23,2019-11-22,22,22620.0,23113.0,2.18,True,0.00148
short,2019-11-26,2019-12-13,14,23451.0,24023.0,-2.44,False,-0.00119
long,2019-12-17,2020-01-07,12,24091.0,23576.0,-2.14,False,0.00197
short,2020-01-09,2020-01-10,2,23530.0,23851.0,-1.36,False,-0.00062
long,2020-01-15,2020-01-21,5,23923.0,23865.0,-0.25,False,0.00331
short,2020-01-23,2020-02-07,12,23844.0,23828.0,0.07,True,-0.001
long,2020-02-12,2020-02-14,3,23741.0,23688.0,-0.23,False,0.0019
short,2020-02-18,2020-04-08,35,23399.0,19353.0,17.29,True,-0.00285
long,2020-04-10,2020-06-25,51,19500.0,22260.0,14.15,True,0.00495
short,2020-06-29,2020-07-14,12,22255.0,22587.0,-1.49,False,-0.00093
long,2020-07-16,2020-08-04,12,22908.0,22574.0,-1.46,False,7e-05
short,2020-08-06,2020-08-12,4,22472.0,22844.0,-1.66,False,-0.00034
long,2020-08-14,2020-09-14,22,23324.0,23559.0,1.01,True,0.0022
long,2020-09-17,2020-09-24,4,23417.0,23088.0,-1.4,False,0.00052
short,2020-09-28,2020-10-08,8,23392.0,23647.0,-1.09,False,-0.00142
long,2020-10-12,2020-10-29,14,23589.0,23332.0,-1.09,False,0.00208
short,2020-11-02,2020-11-04,2,23111.0,23695.0,-2.53,False,-0.00125
long,2020-11-06,2020-12-15,27,24076.0,26688.0,10.85,True,0.00203
short,2020-12-17,2021-01-05,12,26744.0,27159.0,-1.55,False,-0.00175
long,2021-01-07,2021-03-08,40,27340.0,28743.0,5.13,True,0.00018
short,2021-03-10,2021-04-01,17,29118.0,29389.0,-0.93,False,-7e-05
long,2021-04-05,2021-04-14,8,30085.0,29621.0,-1.54,False,0.0037
short,2021-04-16,2021-04-21,4,29789.0,28509.0,4.3,True,-0.00165
long,2021-04-23,2021-04-26,2,28939.0,29126.0,0.65,True,0.00115
short,2021-04-28,2021-05-27,18,28936.0,28549.0,1.34,True,-0.00145
long,2021-05-31,2021-06-28,21,29019.0,29048.0,0.1,True,0.00048
short,2021-06-30,2021-08-11,28,28896.0,28071.0,2.86,True,-0.00046
long,2021-08-13,2021-08-13,1,28039.0,27977.0,-0.22,False,0.00049
short,2021-08-17,2021-08-23,5,27667.0,27494.0,0.62,True,-0.00053
long,2021-08-25,2021-10-04,27,27768.0,28445.0,2.44,True,0.00206
short,2021-10-06,2021-10-29,18,28034.0,28893.0,-3.06,False,-0.01033
long,2021-11-02,2021-11-26,17,29462.0,28752.0,-2.41,False,0.00349
short,2021-11-30,2021-12-27,20,28612.0,28676.0,-0.23,False,-0.00214
long,2021-12-29,2021-12-30,2,28996.0,28792.0,-0.7,False,0.0057
