strategy,label,entry_label,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win,entry_slope5
long,long_zone,uptrend,2018-01-04,2018-02-01,20,23506.0,23486.0,-0.09,False,0.00403
long,long_zone,transition_to_uptrend,2018-03-12,2018-03-22,8,21824.0,21592.0,-1.06,False,0.00727
long,long_zone,transition_to_uptrend,2018-07-18,2018-08-10,18,22794.0,22298.0,-2.18,False,0.0021
long,long_zone,transition_to_uptrend,2018-11-22,2018-12-06,10,21647.0,21502.0,-0.67,False,0.00336
long,long_zone,transition_to_uptrend,2019-01-25,2019-03-18,36,20774.0,21584.0,3.9,True,0.00283
long,long_zone,transition_to_uptrend,2019-06-12,2019-07-19,27,21130.0,21467.0,1.6,True,0.0043
long,long_zone,transition_to_uptrend,2019-09-05,2019-10-08,22,21086.0,21588.0,2.38,True,0.00464
long,long_zone,uptrend,2020-01-14,2020-01-21,6,24025.0,23865.0,-0.67,False,0.00331
long,long_zone,transition_to_uptrend,2020-04-09,2020-06-25,52,19346.0,22260.0,15.06,True,0.00495
long,long_zone,uptrend,2020-08-13,2020-09-14,23,23250.0,23559.0,1.33,True,0.0022
long,long_zone,uptrend,2020-10-09,2020-10-29,15,23620.0,23332.0,-1.22,False,0.00208
long,long_zone,uptrend,2020-11-05,2020-12-15,28,24105.0,26688.0,10.71,True,0.00203
long,long_zone,transition_to_uptrend,2021-04-02,2021-04-14,9,29854.0,29621.0,-0.78,False,0.0037
long,long_zone,transition_to_uptrend,2021-08-24,2021-10-04,28,27732.0,28445.0,2.57,True,0.00206
long,long_zone,transition_to_uptrend,2021-11-01,2021-11-26,18,29647.0,28752.0,-3.02,False,0.00349
long,long_zone,transition_to_uptrend,2021-12-28,2021-12-30,3,29069.0,28792.0,-0.95,False,0.0057
