strategy,label,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win
long,uptrend,2018-01-05,2018-02-01,19,23643.0,23486.0,-0.66,False
short,downtrend,2018-02-09,2018-03-09,20,21508.0,21469.0,0.18,True
short,downtrend,2018-03-26,2018-03-30,5,20423.0,21454.0,-5.05,False
long,uptrend,2018-04-05,2018-04-12,6,21541.0,21660.0,0.55,True
long,uptrend,2018-04-19,2018-05-25,24,22232.0,22451.0,0.98,True
short,downtrend,2018-06-12,2018-06-26,11,22977.0,22342.0,2.76,True
short,downtrend,2018-07-03,2018-07-17,11,21889.0,22697.0,-3.69,False
long,uptrend,2018-08-02,2018-08-10,7,22677.0,22298.0,-1.67,False
long,uptrend,2018-09-14,2018-10-12,18,23036.0,22695.0,-1.48,False
short,downtrend,2018-10-25,2018-11-12,13,21677.0,22270.0,-2.74,False
short,downtrend,2018-11-20,2018-11-21,2,21583.0,21508.0,0.35,True
long,uptrend,2018-12-03,2018-12-06,4,22629.0,21502.0,-4.98,False
short,downtrend,2018-12-25,2019-01-24,18,19785.0,20575.0,-3.99,False
long,uptrend,2019-02-05,2019-03-18,29,20960.0,21584.0,2.98,True
short,downtrend,2019-04-02,2019-04-05,4,21745.0,21808.0,-0.29,False
long,uptrend,2019-04-17,2019-05-09,11,22236.0,21402.0,-3.75,False
short,downtrend,2019-05-22,2019-06-11,15,21374.0,21204.0,0.79,True
long,uptrend,2019-06-28,2019-07-19,15,21282.0,21467.0,0.87,True
long,uptrend,2019-07-26,2019-07-31,4,21700.0,21522.0,-0.82,False
short,downtrend,2019-08-06,2019-09-04,21,20326.0,20649.0,-1.59,False
long,uptrend,2019-09-17,2019-10-08,15,21948.0,21588.0,-1.64,False
long,uptrend,2019-10-23,2019-11-22,22,22620.0,23113.0,2.18,True
short,downtrend,2019-12-11,2019-12-13,3,23421.0,24023.0,-2.57,False
long,uptrend,2019-12-23,2020-01-07,8,23921.0,23576.0,-1.44,False
long,uptrend,2020-01-15,2020-01-21,5,23923.0,23865.0,-0.25,False
short,downtrend,2020-01-29,2020-02-07,8,23309.0,23828.0,-2.23,False
short,downtrend,2020-02-18,2020-04-08,35,23399.0,19353.0,17.29,True
long,uptrend,2020-04-20,2020-06-25,45,19690.0,22260.0,13.05,True
short,downtrend,2020-07-09,2020-07-14,4,22442.0,22587.0,-0.64,False
long,uptrend,2020-08-14,2020-09-14,22,23324.0,23559.0,1.01,True
long,uptrend,2020-09-17,2020-09-24,4,23417.0,23088.0,-1.4,False
long,uptrend,2020-10-12,2020-10-29,14,23589.0,23332.0,-1.09,False
long,uptrend,2020-11-06,2020-12-15,27,24076.0,26688.0,10.85,True
long,uptrend,2021-01-14,2021-03-08,36,28443.0,28743.0,1.06,True
short,downtrend,2021-03-22,2021-04-01,9,29444.0,29389.0,0.19,True
short,downtrend,2021-04-16,2021-04-19,2,29789.0,29685.0,0.35,True
long,uptrend,2021-04-23,2021-04-26,2,28939.0,29126.0,0.65,True
short,downtrend,2021-05-10,2021-05-27,14,29377.0,28549.0,2.82,True
long,uptrend,2021-06-15,2021-06-28,10,29256.0,29048.0,-0.71,False
short,downtrend,2021-07-13,2021-08-11,19,28714.0,28071.0,2.24,True
short,downtrend,2021-08-17,2021-08-23,5,27667.0,27494.0,0.62,True
long,uptrend,2021-09-02,2021-10-04,21,28522.0,28445.0,-0.27,False
short,downtrend,2021-10-14,2021-10-29,12,28264.0,28893.0,-2.22,False
long,uptrend,2021-11-12,2021-11-26,10,29381.0,28752.0,-2.14,False
short,downtrend,2021-12-07,2021-12-27,15,28139.0,28676.0,-1.91,False
