strategy,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win,entry_slope5
long,2022-01-05,2022-01-13,6,29289.0,28489.0,-2.73,False,0.02284
short,2022-01-17,2022-02-28,29,28333.0,26527.0,6.37,True,-0.00149
long,2022-03-02,2022-03-04,3,26532.0,25985.0,-2.06,False,0.00179
short,2022-03-08,2022-03-22,10,24974.0,27224.0,-9.01,False,-0.00556
long,2022-03-24,2022-04-19,19,27694.0,26985.0,-2.56,False,0.00547
short,2022-04-21,2022-05-18,16,27259.0,26911.0,1.28,True,-0.00513
long,2022-05-20,2022-05-24,3,26448.0,26748.0,1.13,True,0.00046
long,2022-05-27,2022-06-16,15,26948.0,26431.0,-1.92,False,1e-05
short,2022-06-20,2022-07-14,19,26157.0,26643.0,-1.86,False,-0.00763
long,2022-07-19,2022-08-26,28,27004.0,28641.0,6.06,True,0.00659
short,2022-08-30,2022-10-21,36,28087.0,26891.0,4.26,True,-0.00261
long,2022-10-25,2022-12-05,28,27113.0,27820.0,2.61,True,0.00151
short,2022-12-07,2023-01-23,31,27670.0,26906.0,2.76,True,-0.00027
long,2023-01-25,2023-02-21,20,27176.0,27473.0,1.09,True,0.01004
short,2023-02-24,2023-03-06,7,27145.0,28238.0,-4.03,False,-2e-05
long,2023-03-08,2023-03-14,5,28237.0,27222.0,-3.6,False,0.00066
short,2023-03-16,2023-03-28,8,26797.0,27518.0,-2.69,False,-0.00135
long,2023-03-30,2023-04-05,5,27828.0,27813.0,-0.05,False,0.00133
short,2023-04-07,2023-04-13,5,27554.0,28157.0,-2.19,False,-0.00185
long,2023-04-17,2023-07-06,56,28538.0,32773.0,14.84,True,0.00802
short,2023-07-10,2023-08-09,22,32393.0,32204.0,0.58,True,-0.0017
long,2023-08-14,2023-08-16,3,32457.0,31767.0,-2.13,False,0.00214
short,2023-08-18,2023-09-01,11,31321.0,32711.0,-4.44,False,-0.0017
long,2023-09-05,2023-09-27,16,32941.0,32372.0,-1.73,False,0.0004
short,2023-09-29,2023-11-01,23,32019.0,31602.0,1.3,True,-0.00071
long,2023-11-06,2023-12-07,23,32451.0,32858.0,1.26,True,0.00331
short,2023-12-11,2024-01-04,16,32665.0,33288.0,-1.91,False,-0.00267
long,2024-01-09,2024-03-14,46,33705.0,38807.0,15.14,True,0.00112
short,2024-03-18,2024-03-19,2,38961.0,40004.0,-2.68,False,-0.00116
long,2024-03-22,2024-03-29,6,40943.0,40369.0,-1.4,False,0.00035
short,2024-04-02,2024-04-11,8,39893.0,39443.0,1.13,True,-0.00163
long,2024-04-15,2024-04-15,1,39057.0,39233.0,0.45,True,0.0005
short,2024-04-17,2024-05-17,20,38587.0,38787.0,-0.52,False,-0.00022
long,2024-05-21,2024-06-14,19,39232.0,38815.0,-1.06,False,0.00529
short,2024-06-18,2024-06-25,6,38433.0,39173.0,-1.92,False,-0.00216
long,2024-06-27,2024-07-24,19,39434.0,39155.0,-0.71,False,0.00052
short,2024-07-26,2024-08-23,20,37793.0,38364.0,-1.51,False,-0.00649
long,2024-08-27,2024-09-13,14,38066.0,36582.0,-3.9,False,0.00829
short,2024-09-18,2024-09-30,8,36546.0,37920.0,-3.76,False,-0.00648
short,2024-10-03,2024-10-04,2,38459.0,38636.0,-0.46,False,-0.00042
long,2024-10-08,2024-10-24,12,39021.0,38143.0,-2.25,False,0.00434
short,2024-10-28,2024-11-22,19,37758.0,38284.0,-1.39,False,-0.00209
long,2024-11-26,2024-11-27,2,38597.0,38135.0,-1.2,False,2e-05
short,2024-11-29,2024-12-04,4,38205.0,39276.0,-2.8,False,-0.0002
long,2024-12-06,2024-12-09,2,39372.0,39160.0,-0.54,False,0.00173
long,2024-12-12,2025-01-10,18,39850.0,39190.0,-1.66,False,0.00011
short,2025-01-15,2025-01-23,7,38722.0,39959.0,-3.2,False,-0.0017
long,2025-01-27,2025-01-30,4,40128.0,39514.0,-1.53,False,0.00211
short,2025-02-03,2025-02-13,8,38933.0,39461.0,-1.36,False,-3e-05
long,2025-02-17,2025-02-20,4,39094.0,38678.0,-1.06,False,0.00226
short,2025-02-25,2025-04-30,45,38360.0,36045.0,6.03,True,-0.00043
long,2025-05-02,2025-06-03,21,36637.0,37447.0,2.21,True,0.00733
short,2025-06-05,2025-06-18,10,37590.0,38885.0,-3.44,False,-0.00144
long,2025-06-20,2025-08-01,30,38472.0,40800.0,6.05,True,0.00246
long,2025-08-06,2025-11-18,70,40430.0,48703.0,20.46,True,0.00071
short,2025-11-20,2025-12-18,20,49129.0,49002.0,0.26,True,-0.00443
long,2025-12-22,2025-12-30,7,50085.0,50339.0,0.51,True,0.0006
