entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win
2018-01-05,2018-01-30,17,23715.0,23292.0,-1.78,False
2018-04-05,2018-04-11,5,21645.0,21687.0,0.19,True
2018-04-18,2018-05-23,23,22158.0,22690.0,2.4,True
2018-08-01,2018-08-10,8,22747.0,22298.0,-1.97,False
2018-09-13,2018-10-11,18,22821.0,22591.0,-1.01,False
2018-11-30,2018-12-06,5,22351.0,21502.0,-3.8,False
2019-02-04,2019-03-12,26,20884.0,21504.0,2.97,True
2019-04-16,2019-05-09,12,22222.0,21402.0,-3.69,False
2019-06-27,2019-07-17,14,21338.0,21469.0,0.61,True
2019-09-13,2019-10-07,15,21988.0,21375.0,-2.79,False
2019-10-28,2019-11-20,17,22867.0,23149.0,1.23,True
2019-12-20,2019-12-27,6,23817.0,23838.0,0.09,True
2020-01-16,2020-01-17,2,23933.0,24041.0,0.45,True
2020-04-17,2020-05-15,17,19897.0,20037.0,0.7,True
2020-05-21,2020-06-24,25,20552.0,22534.0,9.64,True
2020-08-14,2020-08-20,5,23289.0,22881.0,-1.76,False
2020-08-27,2020-09-10,11,23209.0,23235.0,0.11,True
2020-10-13,2020-10-14,2,23602.0,23627.0,0.11,True
2020-11-06,2020-12-11,25,24325.0,26653.0,9.57,True
2021-01-13,2021-02-02,15,28457.0,28362.0,-0.33,False
2021-02-05,2021-03-05,19,28779.0,28864.0,0.3,True
2021-06-14,2021-06-22,7,29162.0,28884.0,-0.95,False
2021-09-01,2021-10-01,21,28451.0,28771.0,1.12,True
2021-11-11,2021-11-25,10,29278.0,29499.0,0.76,True
