date,open,high,low,close,volume,ssa_40,price_to_ssa_gap,ssa_slope_3,ssa_slope_5,ssa_slope_20,ssa_curvature,trend_label_ja,trend_label_en,trend_score
2018-01-04,23073.73046875,23506.330078125,23065.19921875,23506.330078125,102200000,22976.551357160937,0.02305736455958396,0.0020350562297650754,0.0040274823788573055,0.0020202124954247225,-0.0018411546755345842,上昇トレンド,uptrend,4.0
2018-01-05,23643.0,23730.470703125,23520.51953125,23714.529296875,101900000,23065.636698266462,0.028132438184865105,0.005996076821277896,0.006855812786003224,0.007783672415167864,0.0014036247227722232,上昇トレンド,uptrend,4.0
2018-01-09,23948.970703125,23952.609375,23789.029296875,23849.990234375,94100000,23190.915760757613,0.028419510484904542,0.012014899053043315,0.011383745851313076,0.01771602415270035,0.0065518459576898724,上昇トレンド,uptrend,4.0
2018-01-10,23832.810546875,23864.759765625,23755.44921875,23788.19921875,88800000,23310.32355034478,0.020500602120477662,0.014526644490528318,0.016667970099603524,0.026496411025309863,0.012832504356000252,上昇トレンド,uptrend,4.0
2018-01-11,23656.390625,23734.970703125,23601.83984375,23710.4296875,83700000,23387.569252988436,0.013804787963174414,0.01395723685989414,0.02059654654560039,0.03167296278503051,0.01814279105785732,上昇トレンド,uptrend,4.0
2018-01-12,23719.66015625,23743.05078125,23588.0703125,23653.8203125,93700000,23435.76208925096,0.00930450746250977,0.010557855110993941,0.01998605991611968,0.03430737459214184,0.015958577537262375,上昇トレンド,uptrend,4.0
2018-01-15,23827.98046875,23833.26953125,23685.01953125,23714.880859375,75400000,23486.112090051847,0.00974059769645974,0.007541231220038913,0.01822951593688238,0.036158446111516085,0.011373703150879155,上昇トレンド,uptrend,4.0
2018-01-16,23721.169921875,23962.0703125,23701.830078125,23951.810546875,68500000,23567.394810369722,0.016311337744303156,0.007688937462293488,0.01623390182155582,0.03912346695514701,0.004850155970242742,上昇トレンド,uptrend,4.0
2018-01-17,23783.419921875,23891.630859375,23739.169921875,23868.33984375,82200000,23646.539669407037,0.009379815289842108,0.008993843654555356,0.014423485728806362,0.041430842064401174,-0.002244484370797162,上昇トレンド,uptrend,4.0
2018-01-18,24078.9296875,24084.419921875,23699.470703125,23763.369140625,99400000,23723.704198596795,0.0016719539957235074,0.010116280959315826,0.014372376281276411,0.04420706769990246,-0.0062241702643239805,上昇トレンド,uptrend,4.0
2018-01-19,23854.109375,23872.689453125,23735.609375,23808.060546875,71800000,23792.73018035045,0.0006443298607745618,0.009561318584164313,0.01523176800225401,0.045794378247738576,-0.004754291913865671,上昇トレンド,uptrend,4.0
2018-01-22,23797.83984375,23816.330078125,23697.810546875,23816.330078125,65200000,23846.33910601116,-0.001258433328183095,0.008449415406966088,0.015337873487877074,0.04661022543593396,-0.002891642449005305,上昇トレンド,uptrend,4.0
2018-01-23,23924.400390625,24129.33984375,23916.01953125,24124.150390625,73400000,23929.889961565674,0.008117898969503434,0.008691128554076055,0.015381214347733208,0.04865392541018765,-0.0008526874738226109,上昇トレンド,uptrend,4.0
2018-01-24,24026.4296875,24072.76953125,23917.140625,23940.779296875,79900000,23993.264848663828,-0.0021875118755150247,0.008428400893605525,0.014662829492357865,0.050467748248003375,0.00023934376355150278,上昇トレンド,uptrend,4.0
2018-01-25,23750.650390625,23828.400390625,23649.029296875,23669.490234375,81500000,24027.224806127724,-0.01488871788728141,0.007585470428497221,0.012793980442096453,0.051082891012332654,-0.001578395839179958,上昇トレンド,uptrend,4.0
2018-01-26,23757.33984375,23797.9609375,23592.279296875,23631.880859375,87200000,24052.845736518862,-0.01750166619597615,0.005138167168786456,0.01093256445127233,0.05105930709473072,-0.004299203550981678,上昇トレンド,uptrend,4.0
2018-01-29,23707.140625,23787.23046875,23580.169921875,23629.33984375,68800000,24077.998240618483,-0.01863354222327407,0.0035315490613347933,0.009714662430046817,0.05104718356376026,-0.005623211057830257,上昇トレンド,uptrend,4.0
2018-01-30,23559.330078125,23581.98046875,23233.369140625,23291.970703125,88800000,24070.318425227237,-0.032336411523599895,0.0017935329380411869,0.005868328850952009,0.04973555438178656,-0.009512885496781198,上昇トレンド,uptrend,4.0
2018-01-31,23205.23046875,23375.380859375,23092.849609375,23098.2890625,99800000,24048.706848902555,-0.03952053606765671,-0.00017207475829039698,0.0023107318069643945,0.048872184154327813,-0.01235209768539347,上昇トレンド,uptrend,4.0
2018-02-01,23276.099609375,23492.76953125,23211.119140625,23486.109375,101800000,24071.688424310523,-0.024326463478113736,-0.00026205734566897565,0.0018505515531472838,0.05045042559238255,-0.01094342888894917,上昇トレンド,uptrend,4.0
2018-02-02,23361.669921875,23367.9609375,23122.44921875,23274.529296875,98600000,24038.003462151253,-0.031761130514785574,-0.0013425232896842054,-0.0006170693700943142,0.04619718984326604,-0.011549633821366645,下降トレンドへの転換期,transition_to_downtrend,2.0
2018-02-05,22921.16015625,22967.689453125,22659.4296875,22682.080078125,107600000,23904.860568765573,-0.05115196079571682,-0.005981455927787094,-0.00719070041133385,0.0363841623570782,-0.016905362841380667,下降トレンドへの転換期,transition_to_downtrend,2.0
