Date,JP_RVOL
2001-02-12,151.55125085056468
2001-02-13,151.52354073618056
2001-02-14,151.4949704723409
2001-02-15,151.40665325489795
2001-02-16,151.39808057734336
2001-02-19,151.44849633696873
2001-02-20,151.15685003367497
2001-02-21,151.0605138838607
2001-02-22,7.977241860274449
2001-02-23,8.349859678748588
2001-02-26,8.160611539493992
2001-02-27,7.9530053981669155
2001-02-28,8.452765443915562
2001-03-01,7.731431869302689
2001-03-02,8.475502169961672
2001-03-05,8.908627524431957
2001-03-06,9.575682253976103
2001-03-07,9.607998149962166
2001-03-08,9.5394760472241
2001-03-09,9.493661150167245
2001-03-12,147.61333860303117
2001-03-13,147.959686859128
2001-03-14,147.9992951911486
2001-03-15,148.0019412777092
2001-03-16,148.00022689059892
2001-03-19,147.9029698157002
2001-03-20,147.9000860625716
2001-03-21,147.89112413723458
2001-03-22,147.8517186214625
2001-03-23,147.81343842859755
2001-03-26,147.77245714441736
2001-03-27,147.88523934201936
2001-03-28,147.88163506249515
2001-03-29,148.10829030530152
2001-03-30,148.18052210085014
2001-04-02,148.16833697320646
2001-04-03,148.13588036806368
2001-04-04,148.07152068803828
2001-04-05,147.88736180865075
2001-04-06,147.9735654418389
2001-04-09,216.02455942143
2001-04-10,216.14784145716075
2001-04-11,215.92556570036737
2001-04-12,215.74993266548898
2001-04-13,215.4779745840579
2001-04-16,215.2344879559688
2001-04-17,215.4297017399744
2001-04-18,215.34773090639897
2001-04-19,215.30164797888145
2001-04-20,215.33645225404658
2001-04-23,162.91454848168473
2001-04-24,162.53363872525463
2001-04-25,162.44700365166267
2001-04-26,162.4748759398259
2001-04-27,162.4158549561164
2001-04-30,162.46336019951218
2001-05-01,162.32166097739787
2001-05-02,162.4238525568185
2001-05-03,162.4228615519993
2001-05-04,162.54951764372228
2001-05-07,229.5776301742812
2001-05-08,229.56737046780472
2001-05-09,229.73974035940526
2001-05-10,229.51760285506424
2001-05-11,229.4401223908161
2001-05-14,229.48270275427225
2001-05-15,229.5945613951836
2001-05-16,229.726908036885
2001-05-17,229.7870424521058
2001-05-18,229.78015252584493
2001-05-21,168.1401099074984
2001-05-22,168.09514176220966
2001-05-23,168.15754833529513
2001-05-24,168.25887173031214
2001-05-25,231.26252545292894
2001-05-28,231.39985711134656
2001-05-29,231.40154662083415
2001-05-30,231.67104423008595
2001-05-31,231.9038427684022
2001-06-01,231.90556023203666
2001-06-04,231.92064409960742
2001-06-05,232.0359502287052
2001-06-06,232.1624077163943
2001-06-07,232.11531179813014
2001-06-08,232.18253934873147
2001-06-11,232.17096871735507
2001-06-12,232.60980026579924
2001-06-13,232.65995315707838
2001-06-14,232.70576050509706
2001-06-15,232.80869730042068
2001-06-18,165.8538608717181
2001-06-19,165.81548897659096
