date,ticker,action,price,shares,reason
2024-07-01,8622.T,BUY,585.0,100,entry
2024-07-01,3143.T,BUY,579.066646118164,200,entry
2024-07-01,3766.T,BUY,1069.59,100,entry
2024-07-01,9709.T,BUY,877.69,100,entry
2024-07-01,2415.T,BUY,1505.91,100,entry
2024-07-01,8927.T,BUY,400.0,400,entry
2024-07-01,7599.T,BUY,1415.0,100,entry
2024-07-01,9340.T,BUY,563.075,400,entry
2024-07-01,4112.T,BUY,2780.0,100,entry
2024-07-01,5290.T,BUY,1017.5,300,entry
2024-07-01,6349.T,BUY,1378.0,200,entry
2024-07-01,3139.T,BUY,2810.0,100,entry
2024-07-01,8059.T,BUY,2455.31,100,entry
2024-07-01,6420.T,BUY,3358.25,100,entry
2024-07-02,3139.T,SELL,2790.0,100,sell_signal
2024-07-03,2415.T,SELL,1585.0,100,take_profit
2024-07-03,4112.T,SELL,2880.0,100,sell_signal
2024-07-03,6349.T,SELL,1356.0,200,sell_signal
2024-07-03,6420.T,SELL,3295.0,100,sell_signal
2024-07-03,3139.T,BUY,2817.9,500,entry
2024-07-08,3766.T,SELL,1021.0,100,stop_loss
2024-07-08,3139.T,SELL,2838.0,500,sell_signal
2024-07-08,4109.T,BUY,4322.8,300,entry
2024-07-12,8081.T,BUY,1675.59,200,entry
2024-07-16,8927.T,SELL,425.0,400,take_profit
2024-07-16,7599.T,SELL,1229.0,100,stop_loss
2024-07-16,7510.T,BUY,2422.9900000000002,100,entry
2024-07-22,8622.T,SELL,549.0,100,stop_loss
2024-07-22,8059.T,SELL,2327.0,100,stop_loss
2024-07-22,8081.T,SELL,1673.0,200,sell_signal
2024-07-24,9340.T,SELL,528.0,400,stop_loss
2024-07-24,4109.T,SELL,4145.0,300,stop_loss
2024-07-29,7460.T,BUY,2228.0,300,entry
2024-07-29,6345.T,BUY,1196.85,600,entry
2024-07-29,3817.T,BUY,4320.0,100,entry
2024-07-30,7460.T,SELL,2150.0,300,sell_signal
2024-07-31,6345.T,SELL,1266.0,600,take_profit
2024-07-31,3817.T,SELL,4370.0,100,sell_signal
2024-08-01,9709.T,SELL,924.0,100,take_profit
2024-08-01,8522.T,BUY,2767.4,800,entry
2024-08-02,3143.T,SELL,534.3333129882812,200,stop_loss
2024-08-02,5290.T,SELL,963.0,300,stop_loss
2024-08-02,8522.T,SELL,2493.333251953125,800,stop_loss
2024-08-05,7510.T,SELL,2002.0,100,stop_loss
2024-08-13,5889.T,BUY,2950.0,900,entry
2024-08-16,5889.T,SELL,3180.0,900,take_profit
2024-08-23,4914.T,BUY,937.28,3000,entry
2024-09-04,4914.T,SELL,985.0,3000,take_profit
2024-09-04,3139.T,BUY,3186.55,900,entry
2024-09-05,3139.T,SELL,3090.0,900,sell_signal
2024-09-05,9340.T,BUY,656.5,4400,entry
2024-09-12,9340.T,SELL,711.0,4400,take_profit
2024-09-12,4549.T,BUY,2339.0,1300,entry
2024-09-18,4549.T,SELL,2385.0,1300,sell_signal
2024-09-19,8152.T,BUY,5430.0,100,entry
2024-09-19,5393.T,BUY,5312.6,100,entry
2024-09-19,4549.T,BUY,2408.85,400,entry
2024-09-19,9799.T,BUY,807.495,1400,entry
2024-09-20,5393.T,SELL,5370.0,100,sell_signal
2024-09-20,7456.T,BUY,3260.0,100,entry
2024-09-24,9799.T,SELL,841.5,1400,sell_signal
2024-09-24,5805.T,BUY,5560.0,200,entry
2024-09-25,4549.T,SELL,2361.0,400,sell_signal
2024-09-26,8152.T,SELL,5180.0,100,stop_loss
2024-09-26,5805.T,SELL,5960.0,200,take_profit
2024-09-30,7456.T,SELL,3205.0,100,sell_signal
