ticker,name,final_capital,return_pct,num_buys,max_dd_pct
1321.T,Nikkei225 ETF,3000000.0,0.0,0,0.0
1672.T,WisdomTree Gold,3000000.0,0.0,0,0.0
1326.T,SPDR Gold,3000000.0,0.0,0,0.0
1489.T,Nikkei High Dividend 50,2987010.9999999995,-0.4329666666666787,2,-3.220224209434952
1328.T,Gold Price ETF,2928600.0,-2.3800000000000043,3,-3.4994068801898037
1399.T,Japan High Dividend Low Vol,2926153.5,-2.4615500000000012,4,-3.3618950114764123
1306.T,TOPIX ETF,2924315.0,-2.5228333333333297,2,-4.770720476485879
1478.T,MSCI Japan High Dividend,2923855.0,-2.5381666666666636,3,-5.031100284206258
1540.T,Physical Gold ETF,2914920.0,-2.836000000000005,3,-2.869333333333335
