ticker,name,date,action,price,shares,reason
1306.T,TOPIX ETF,2024-07-01,BUY,2998.185,1000,etf_dedicated_entry
1306.T,TOPIX ETF,2024-07-09,SELL,3005.0,1000,sell_signal
1306.T,TOPIX ETF,2024-09-27,BUY,2849.5,1000,etf_dedicated_entry
1306.T,TOPIX ETF,2024-09-30,SELL,2767.0,1000,end_of_backtest
1478.T,MSCI Japan High Dividend,2024-07-01,BUY,3787.5,700,etf_dedicated_entry
1478.T,MSCI Japan High Dividend,2024-07-09,SELL,3865.0,700,sell_signal
1478.T,MSCI Japan High Dividend,2024-07-11,BUY,3923.85,700,etf_dedicated_entry
1478.T,MSCI Japan High Dividend,2024-07-16,SELL,3865.0,700,sell_signal
1478.T,MSCI Japan High Dividend,2024-09-27,BUY,3686.5,800,etf_dedicated_entry
1478.T,MSCI Japan High Dividend,2024-09-30,SELL,3575.0,800,end_of_backtest
1489.T,Nikkei High Dividend 50,2024-07-01,BUY,2422.0,1200,etf_dedicated_entry
1489.T,Nikkei High Dividend 50,2024-07-08,SELL,2441.0,1200,sell_signal
1489.T,Nikkei High Dividend 50,2024-09-27,BUY,2275.53,1300,etf_dedicated_entry
1489.T,Nikkei High Dividend 50,2024-09-30,SELL,2248.0,1300,end_of_backtest
1399.T,Japan High Dividend Low Vol,2024-07-01,BUY,2225.5,1300,etf_dedicated_entry
1399.T,Japan High Dividend Low Vol,2024-07-08,SELL,2217.5,1300,sell_signal
1399.T,Japan High Dividend Low Vol,2024-07-17,BUY,2275.025,1300,etf_dedicated_entry
1399.T,Japan High Dividend Low Vol,2024-07-23,SELL,2256.0,1300,sell_signal
1399.T,Japan High Dividend Low Vol,2024-08-29,BUY,2236.14,1300,etf_dedicated_entry
1399.T,Japan High Dividend Low Vol,2024-09-03,SELL,2228.0,1300,sell_signal
1399.T,Japan High Dividend Low Vol,2024-09-26,BUY,2236.14,1300,etf_dedicated_entry
1399.T,Japan High Dividend Low Vol,2024-09-30,SELL,2214.5,1300,end_of_backtest
1328.T,Gold Price ETF,2024-07-04,BUY,9320.0,300,etf_dedicated_entry
1328.T,Gold Price ETF,2024-07-16,SELL,9436.0,300,sell_signal
1328.T,Gold Price ETF,2024-07-17,BUY,9550.0,300,etf_dedicated_entry
1328.T,Gold Price ETF,2024-07-22,SELL,9234.0,300,sell_signal
1328.T,Gold Price ETF,2024-09-24,BUY,9190.0,300,etf_dedicated_entry
1328.T,Gold Price ETF,2024-09-30,SELL,9152.0,300,end_of_backtest
1540.T,Physical Gold ETF,2024-07-17,BUY,11870.0,200,etf_dedicated_entry
1540.T,Physical Gold ETF,2024-07-19,SELL,11595.0,200,sell_signal
1540.T,Physical Gold ETF,2024-08-20,BUY,11150.4,200,etf_dedicated_entry
1540.T,Physical Gold ETF,2024-08-23,SELL,10995.0,200,sell_signal
1540.T,Physical Gold ETF,2024-09-24,BUY,11400.0,200,etf_dedicated_entry
1540.T,Physical Gold ETF,2024-09-30,SELL,11405.0,200,end_of_backtest
