image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
3048.png,3048,"株佃指標
作正龄
予想PER
(倍)
<22.2>
8.4
<23.2>
8.0
实PER
高值平均
9.7
安值平均
7.2
PBR
0.31
株仙(8/27)
2
1787F
最低購人额
.7
17万8700用
連整特
7975
增
結理色",7975,7975.T,リヒトラブ,その他製品,True
3049.png,3049,"株佃指標
作正格
予想PER
(倍)
<21.12>
18.8
<22.12>
18.5
实續PER
高值平均
27.3
安值平均
17.3
PBR
0.88
株仙(8/30)
2
十万株
1472F
信用残
最低購人额
21
14万7200用
連名特
7976
2
結色",7976,7976.T,三菱鉛筆,その他製品,True
3050.png,3050,"株指標
140
予想PER
(倍)
<22.3>
21.6
<23.3>
24.7
实續PER
高值平均
29.3
安值平均
17.6
PBR
1.14
株仙(8/30)
7
十万株
1945F
信用残
最低購人额
21
.2
19万4500用
連之特
7979
增
9
結工色",7979,7979.T,松風,精密機器,True
3051.png,3051,"株指標
予想PER
(倍)
<22.3>
14.5
<23.3>
19.5
实PER
高值平均
81.2
安值平均
38.0
PBR
1.23
株仙(8/30)
十万株
960F
信用残
最低購人额
21
2.4
9万6000用
又单防特
7980
夕独厘色",7980,7980.T,重松製作所,その他製品,True
3052.png,3052,"株佃指標
作正龄
予想PER
(倍)
<22.3>
14.1
<23.3>
13.8
实PER
高值平均
17.6
安值平均
11.7
PBR
0.69
株仙(8/30)
5
十万株
1662F
信用残
最低購人额
21
.4
16万6200用
連特
7981
增
結
色",7981,7981.T,タカラスタンダード,その他製品,True
3053.png,3053,"株佃指標
作正龄
予想PER
(倍)
<21.10>
11.0
<22.10>
8.9
实續PER
高值平均
10.3
安值平均
7.1
PBR
0.33
株仙(8/30)
3
万株
1600F
信用残
最低購人额
16万用
連速供特
7983
29結給色",7983,7983.T,ミロク,その他製品,True
3054.png,3054,"株佃指標
予想PER
(倍)
<21.12>
18.5
<22.12>
14.3
实續PER
高值平均
18.7
安值平均
12.6
PBR
1.01
株仙(8/30)
百万林
1944F
信用残
最低購人额
21
19万4400用
連特
7984
結家色",7984,7984.T,コクヨ,その他製品,True
3055.png,3055,"株佃指標
作正龄
予想PER
(倍)
<22.3>
11.2
<23.3>
9.9
实PER
高值平均
30.8
安值平均
15.3
PBR
0.73
株仙(8/30)
万株
1400F
信用残
最低購人额
21
.8
14万用
49速産特
7985
金
善足
結物色",7985,7985.T,ネポン,金属製品,True
3056.png,3056,"株佃指標
作正龄
予想PER
(倍)
<21.12>
6.2
<22.12>
7.9
实續PER
高值平均
15.9
安值平均
7.5
PBR
0.67
株仙(8/30)
2
十万株
1378F
信用残
最低購人额
21
13万7800用
义速M特
7986
81
力主色",7986,7986.T,日本アイ・エス・ケイ,その他製品,True
3057.png,3057,"株佃指標
作正龄
予想PER
(倍)
<22.3>
9.5
<23.3>
8.9
实續PER
高值平均
11.5
安值平均
7.7
PBR
0.59
株仙(8/30)
2
十万株
586用
信用残
最低購人额
21
.2
5万8600用
連房特
7987
着
具色",7987,7987.T,ナカバヤシ,その他製品,True
3058.png,3058,"株指標
4370格正龄
予想PER
(倍)
<22.3>
16.9
<23.3>
15.4
实PER
高值平均
20.7
安值平均
10.4
PBR
1.91
株仙(8/30)
十万株
3490F
信用残
最低購人额
21
0.7
34万9000用
連部特
7988
化
品色",7988,7988.T,ニフコ,化学,True
3059.png,3059,"株佃指標
予想PER
(倍)
<21.12>
8.2
<22.12>
8.1
实續PER
高值平均
11.3
安值平均
6.9
PBR
0.60
株仙(8/30)
2
十万株
1284F
H
信用残
最低購人额
1
12万8400用
7連家特
7989
金
申連
結庭色",7989,7989.T,立川ブラインド工業,金属製品,True
3060.png,3060,"株佃指標
8300在正龄
予想PER
(倍)
<22.3>
8.9
<23.3>
8.9
实續PER
高值平均
22.0
安值平均
9.0
PBR
2.66
株仙(8/30)
百万株
7370F
信用残
最低購人额
21
9.1
73万7000用
4速特
7990
秸之色",7990,7990.T,グローブライド,その他製品,True
