image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
401.png,401,"株指標
予想PER
(倍)
<22.3>
17.8
<23.3>
18.1
实續PER
高值平均
26.1
安值平均
17.3
PBR
1.28
株仙(8/30)
2
十万株
2483F
信用残
最低購人额
21
.0
24万8300用
海45連展特
2607
食
外秸開色",2607,2607.T,不二製油,食料品,True
402.png,402,"株佃指標
予想PER
(倍)
<22.3>
18.6
<23.3>
16.9
实續PER
高值平均
19.8
安值平均
13.6
PBR
1.28
株仙(8/30)
3
万株
4045F
一信用残
最低購人额
1
.4
40万4500用
連業特
2612
食
号色",2612,2612.T,かどや製油,食料品,True
403.png,403,"株佃指標
作正龄
予想PER
(倍)
<22.3>
12.0
<23.3>
13.3
实續PER
高值平均
14.5
安值平均
11.2
PBR
0.64
株仙(8/30)
1820F
士万楼
最低購人额
信角残
21
.7
18万2000用
7連特
2613
食
了秸工色",2613,2613.T,Ｊ－オイルミルズ,食料品,True
404.png,404,"株佃指標
予想PER
(倍)
<22.2>
39.4
<23.2>
39.4
实續PER
高值平均
45.6
安值平均
34.2
PBR
2.01
株仙(8/30)
3
十万株
5390F
信用残
最低購人额
21
.2
53万9000用
又速
2651
成
卜結",,,,,False
405.png,405,"株佃指標
作正龄
予想PER
(倍)
<21.9>
11.7
<22.9>
9.5
实續PER
高值平均
17.1
安值平均
12.1
PBR
0.54
株仙(8/30)
634月
十万株
信用残
最低購人额
21
6万3400用
单販特
2652
独壳色",2652,2652.T,まんだらけ,小売業,True
406.png,406,"株指標
予想PER
(倍)
<22.2>
45.8
<23.2>
42.9
实續PER
高值平均
136.9
安值平均
114.0
PBR
1.72
株仙(8/30)
2
1983F
万株
信用残
最低購人额
21
.4
19万8300用
|单開特
2653
么独_色",2653,2653.T,イオン九州,小売業,True
407.png,407,"株指標
作正龄
予想PER
(倍)
<22.3>
13.9
<23.3>
13.7
实續PER
高值平均
16.4
安值平均
8.5
PBR
1.20
株仙(8/30)
2
529F
十万株
信用残
最低購人额
21
.7
5万2900F
連合特
2654
結饼色",2654,2654.T,アスモ,小売業,True
408.png,408,"株佃指標
作正龄
予想PER
(倍)
<22.3>
<23.3>
实續PER
高值平均
170.8
安值平均
51.4
PBR
4.63
株仙(8/30)
2
百万林
323月
信用残
最低購人额
21
5.6
3万2300用
单独
2656",2656,2656.T,ベクターホールディングス,小売業,True
409.png,409,"株佃指標
作正龄
予想PER
(倍)
<22.2>
17.9
<23.2>
16.0
实續PER
高值平均
23.0
安值平均
15.8
PBR
1.01
7
株仙(8/30)
十万株
4055F
信用残
最低購人额
21
4.8
40万5500用
連口特
2659
秸1色",2659,2659.T,サンエー,小売業,True
410.png,410,"株佃指標
予想PER
(倍)
<22.3>
9.3
<23.3>
9.0
实續PER
高值平均
18.5
安值平均
11.4
PBR
0.52
株仙(8/30)
10
2348F
十万林
信用残
最低購人额
23万4800用
連北特
2664
秸色",2664,2664.T,カワチ薬品,小売業,True
