dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct
q2_2024,3184483.493652344,6.149449788411476,24,-7.837973894987382
q3,3447369.251342775,14.912308378092497,27,-2.9293496069461855
q4,3354116.0,11.803866666666663,22,-1.6541483600067353
4q2,3342272.5000000005,11.409083333333347,46,-6.6426023192610035
TOTAL,13328241.244995119,11.068677041625996,119,
