date,ticker,name,dataset,signal,exit_variant,action,price,shares,reason
2024-08-14,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl3,BUY,2670.0,1100,entry
2024-09-03,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl3,SELL,2834.0,1100,take_profit
2024-09-03,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl3,BUY,2844.177,1100,entry
2024-09-04,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl3,SELL,2730.0,1100,stop_loss
2024-09-12,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl3,BUY,2687.0,1100,entry
2024-09-27,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl3,SELL,2861.5,1100,take_profit
2024-08-14,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl4,BUY,2670.0,1100,entry
2024-09-03,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl4,SELL,2834.0,1100,take_profit
2024-09-03,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl4,BUY,2844.177,1100,entry
2024-09-04,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl4,SELL,2730.0,1100,stop_loss
2024-09-12,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl4,BUY,2687.0,1100,entry
2024-09-27,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp6_sl4,SELL,2861.5,1100,take_profit
2024-08-14,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp5_sl4,BUY,2670.0,1100,entry
2024-08-30,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp5_sl4,SELL,2811.0,1100,take_profit
2024-08-30,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp5_sl4,BUY,2803.596,1100,entry
2024-09-09,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp5_sl4,SELL,2681.5,1100,stop_loss
2024-09-12,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp5_sl4,BUY,2687.0,1100,entry
2024-09-27,1306.T,TOPIX ETF,q2_2024,prev_high_break,tp5_sl4,SELL,2861.5,1100,take_profit
2024-08-14,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl3,BUY,2670.0,1100,entry
2024-08-16,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl3,SELL,2783.0,1100,sell_signal
2024-08-19,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl3,BUY,2769.5,1100,entry
2024-08-20,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl3,SELL,2770.5,1100,sell_signal
2024-09-20,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl3,BUY,2763.0,1100,entry
2024-09-25,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl3,SELL,2751.5,1100,sell_signal
2024-08-14,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl4,BUY,2670.0,1100,entry
2024-08-16,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl4,SELL,2783.0,1100,sell_signal
2024-08-19,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl4,BUY,2769.5,1100,entry
2024-08-20,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl4,SELL,2770.5,1100,sell_signal
2024-09-20,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl4,BUY,2763.0,1100,entry
2024-09-25,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp6_sl4,SELL,2751.5,1100,sell_signal
2024-08-14,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp5_sl4,BUY,2670.0,1100,entry
2024-08-16,1306.T,TOPIX ETF,q2_2024,reclaim_3d_low,tp5_sl4,SELL,2783.0,1100,sell_signal
