date,nikkei_phase,table_key,equity
2025-07-01,uptrend,standard,3000000.0
2025-07-02,settling,intermediate,2987736.612976074
2025-07-03,uptrend,standard,2953069.999206543
2025-07-04,uptrend,standard,3002069.999206543
2025-07-07,uptrend,standard,3061569.999206543
2025-07-08,uptrend,standard,3089569.999206543
2025-07-09,uptrend,standard,2991569.999206543
2025-07-10,uptrend,standard,3002069.999206543
2025-07-11,uptrend,standard,3194569.999206543
2025-07-14,stable,standard,3194569.999206543
2025-07-15,stable,standard,3194569.999206543
2025-07-16,stable,standard,3194569.999206543
2025-07-17,uptrend,standard,3194569.999206543
2025-07-18,uptrend,standard,3194569.999206543
2025-07-22,uptrend,standard,3194569.999206543
2025-07-23,uptrend,standard,3138854.9992065434
2025-07-24,normal,standard,3042054.9992065434
2025-07-25,normal,standard,3042054.9992065434
2025-07-28,normal,standard,3042054.9992065434
2025-07-29,high_vol,high_vol,3022819.9992065434
2025-07-30,high_vol,high_vol,3001319.9992065434
2025-07-31,high_vol,high_vol,3126819.9992065434
2025-08-01,high_vol,high_vol,3084789.9992065434
2025-08-04,high_vol,high_vol,3059789.9992065434
2025-08-05,high_vol,high_vol,2958289.9992065434
2025-08-06,settling,intermediate,2964289.9992065434
2025-08-07,uptrend,standard,2989482.4992065434
2025-08-08,uptrend,standard,2857482.4992065434
2025-08-12,uptrend,standard,2857482.4992065434
2025-08-13,uptrend,standard,2857482.4992065434
2025-08-14,normal,standard,2857482.4992065434
2025-08-15,overheated_range,standard,2877119.999206544
2025-08-18,overheated_range,standard,2970722.999206544
2025-08-19,settling,intermediate,2998610.1129760756
2025-08-20,normal,standard,3042476.885437013
2025-08-21,normal,standard,3042476.885437013
2025-08-22,normal,standard,3042476.885437013
2025-08-25,normal,standard,3042476.885437013
2025-08-26,settling,intermediate,3042476.885437013
2025-08-27,settling,intermediate,3042476.885437013
2025-08-28,uptrend,standard,3057211.885437013
2025-08-29,uptrend,standard,3032711.885437013
2025-09-01,uptrend,standard,3043211.885437013
2025-09-02,uptrend,standard,3011711.885437013
2025-09-03,uptrend,standard,3043211.885437013
2025-09-04,uptrend,standard,2987211.885437013
2025-09-05,uptrend,standard,2989011.885437013
2025-09-08,uptrend,standard,3030311.885437013
2025-09-09,stable,standard,2980911.885437013
2025-09-10,normal,standard,2965411.885437013
2025-09-11,uptrend,standard,2946411.885437013
2025-09-12,uptrend,standard,2969611.885437013
2025-09-16,stable,standard,3015411.885437013
2025-09-17,stable,standard,3053911.885437013
2025-09-18,uptrend,standard,2964812.385437013
2025-09-19,uptrend,standard,2991612.385437013
2025-09-22,uptrend,standard,3027612.385437013
2025-09-24,uptrend,standard,3047512.385437013
2025-09-25,uptrend,standard,3047212.385437013
2025-09-26,uptrend,standard,3033912.385437013
2025-09-29,uptrend,standard,3012912.385437013
2025-09-30,uptrend,standard,3017112.385437013
