dataset,candidate_return_pct,candidate_num_buys,candidate_max_drawdown_pct,v35_return_pct,v35_num_buys,v35_max_drawdown_pct,return_diff_pt
q2_2024,7.245213205973311,43,-3.2451917515989526,3.8899298726399634,47,-7.171855821565842,3.3552833333333476
q3,12.96695433603925,74,-3.140068470187818,29.06162283732099,80,-3.62153171739128,-16.09466850128174
q4,-5.704816670735646,37,-10.672570405113014,7.150233329264344,43,-8.395131930715804,-12.85504999999999
4q2,1.7486582519531169,84,-8.992134180147094,4.316150000000008,82,-7.05801292641004,-2.5674917480468915
