group,symbol
group4,TYO:5834
group4,TYO:5929
group4,TYO:6036
group4,TYO:6062
group4,TYO:6078
group4,TYO:6080
group4,TYO:6088
group4,TYO:6227
group4,TYO:6298
group4,TYO:6479
group4,TYO:6532
group4,TYO:6594
group4,TYO:6728
group4,TYO:6787
group4,TYO:6871
group4,TYO:6914
group4,TYO:7011
group4,TYO:7012
group4,TYO:7163
group4,TYO:7167
group4,TYO:6481
group4,TYO:6544
group4,TYO:7318
group4,TYO:7508
group4,TYO:7561
group4,TYO:7649
group4,TYO:7751
group4,TYO:7818
group4,TYO:7915
group4,TYO:8020
group4,TYO:8136
group4,TYO:8306
group4,TYO:8331
group4,TYO:9020
group4,TYO:7552
group4,TYO:7649
group4,TYO:7984
group4,TYO:9279
group4,TYO:9418
group4,TYO:9697
group4,TYO:9766
group4,TYO:9823
group4,TYO:8306
group4,TYO:8308
group4,TYO:8316
group4,TYO:9983
group4,TYO:9989
group4,TYO:8341
group4,TYO:8923
group3,TYO:1417
group3,TYO:1860
group3,TYO:1925
group3,TYO:1945
group3,TYO:1963
group3,TYO:2146
group3,TYO:2157
group3,TYO:2395
group3,TYO:2492
group3,TYO:2607
group3,TYO:2674
group3,TYO:2676
group3,TYO:2751
group3,TYO:2752
group3,TYO:2928
group3,TYO:2970
group3,TYO:2980
group3,TYO:3093
group3,TYO:3141
group3,TYO:3186
group3,TYO:3222
group3,TYO:3271
group3,TYO:3391
group3,TYO:3479
group3,TYO:3486
group3,TYO:3491
group3,TYO:3496
group3,TYO:3498
group3,TYO:3547
group3,TYO:3608
group3,TYO:3661
group3,TYO:3663
group3,TYO:3673
group3,TYO:3683
group3,TYO:3687
group3,TYO:3695
group3,TYO:3697
group3,TYO:3769
group3,TYO:3773
group3,TYO:3854
group3,TYO:3905
group3,TYO:4071
group3,TYO:4180
group3,TYO:4183
group3,TYO:4343
group3,TYO:4369
group3,TYO:4377
group3,TYO:4385
group3,TYO:4413
group3,TYO:4431
group3,TYO:4443
group3,TYO:4475
group3,TYO:4480
group3,TYO:4493
group3,TYO:4503
group3,TYO:4751
group3,TYO:4776
group3,TYO:4917
group3,TYO:5032
group3,TYO:5201
group3,TYO:6036
group3,TYO:6080
group3,TYO:6088
group3,TYO:6134
group3,TYO:6196
group3,TYO:6273
group3,TYO:6524
group3,TYO:6871
group3,TYO:6920
group3,TYO:7059
group3,TYO:7094
group3,TYO:7163
group3,TYO:7199
group3,TYO:7318
group3,TYO:7352
group3,TYO:7649
group3,TYO:7679
group3,TYO:7752
group3,TYO:7803
group3,TYO:7818
group3,TYO:7914
group3,TYO:8086
group3,TYO:8136
group3,TYO:8309
group3,TYO:8331
group3,TYO:9449
group3,TYO:9627
group3,TYO:9697
group3,TYO:9766
group3,TYO:135A
group3,TYO:247A
group5,TYO:1434
group5,TYO:1911
group5,TYO:1928
group5,TYO:1964
group5,TYO:2146
group5,TYO:2160
group5,TYO:2170
group5,TYO:2212
group5,TYO:2226
group5,TYO:2353
group5,TYO:2395
group5,TYO:2780
group5,TYO:2820
group5,TYO:2980
group5,TYO:2981
group5,TYO:3093
group5,TYO:3186
group5,TYO:3193
group5,TYO:3196
group5,TYO:3391
group5,TYO:3491
group5,TYO:3496
group5,TYO:3498
group5,TYO:3543
group5,TYO:3547
group5,TYO:3563
group5,TYO:3836
group5,TYO:3854
group5,TYO:3923
group5,TYO:3993
group5,TYO:4043
group5,TYO:4088
group5,TYO:4180
group5,TYO:4385
group5,TYO:4398
group5,TYO:4417
group5,TYO:4442
group5,TYO:4475
group5,TYO:4477
group5,TYO:4481
group5,TYO:4755
