step,phase,method,objective_total_pnl,objective_total_return_pct,q3_final_capital,q3_return_pct,q3_num_buys,q4_final_capital,q4_return_pct,q4_num_buys,4q2_final_capital,4q2_return_pct,4q2_num_buys
1,crash,condition2,505004.5001220703,5.611161112467444,3155912.1749267583,5.197072497558608,30,3089500.8251953125,2.9833608398437406,12,3259591.5,8.653050000000007,30
1,crash,breakout_1p5,505004.5001220703,5.611161112467444,3155912.1749267583,5.197072497558608,30,3089500.8251953125,2.9833608398437406,12,3259591.5,8.653050000000007,30
1,crash,q3_post_high_vol,531229.0001220703,5.902544445800784,3155912.1749267583,5.197072497558608,30,3089500.8251953125,2.9833608398437406,12,3285816.0,9.527200000000002,29
1,crash,no_trade,542004.5001220703,6.022272223578562,3155912.1749267583,5.197072497558608,30,3089500.8251953125,2.9833608398437406,12,3296591.5,9.886383333333338,28
1,high_vol,condition2,915130.6749267597,10.168118610297338,3306380.1749267583,10.212672497558618,31,3352354.000000001,11.745133333333357,23,3256396.5000000005,8.54655000000002,37
1,high_vol,breakout_1p5,915130.6749267597,10.168118610297338,3306380.1749267583,10.212672497558618,31,3352354.000000001,11.745133333333357,23,3256396.5000000005,8.54655000000002,37
1,high_vol,q3_post_high_vol,1006013.6749267597,11.17792972140843,3334665.6749267587,11.155522497558623,30,3354116.0,11.803866666666663,22,3317232.0000000005,10.574400000000006,45
1,high_vol,no_trade,542004.5001220703,6.022272223578562,3155912.1749267583,5.197072497558608,30,3089500.8251953125,2.9833608398437406,12,3296591.5,9.886383333333338,28
1,normal,condition2,542004.5001220703,6.022272223578562,3155912.1749267583,5.197072497558608,30,3089500.8251953125,2.9833608398437406,12,3296591.5,9.886383333333338,28
1,normal,breakout_1p5,542004.5001220703,6.022272223578562,3155912.1749267583,5.197072497558608,30,3089500.8251953125,2.9833608398437406,12,3296591.5,9.886383333333338,28
1,normal,q3_post_high_vol,562783.8252563477,6.253153613959417,3110008.5000610356,3.666950002034519,31,3159555.3251953125,5.31851083984376,10,3293220.0,9.773999999999994,28
1,normal,no_trade,297946.5,3.310516666666663,3262616.500000001,8.753883333333356,35,3023885.0,0.7961666666666645,8,3011445.0,0.3814999999999902,6
1,overheated_range,condition2,542004.5001220703,6.022272223578562,3155912.1749267583,5.197072497558608,30,3089500.8251953125,2.9833608398437406,12,3296591.5,9.886383333333338,28
1,overheated_range,breakout_1p5,542004.5001220703,6.022272223578562,3155912.1749267583,5.197072497558608,30,3089500.8251953125,2.9833608398437406,12,3296591.5,9.886383333333338,28
1,overheated_range,q3_post_high_vol,556887.5001220703,6.187638890245228,3170795.1749267583,5.693172497558607,32,3089500.8251953125,2.9833608398437406,12,3296591.5,9.886383333333338,28
1,overheated_range,no_trade,509487.83752441406,5.660975972493487,3123395.512329102,4.113183744303406,30,3089500.8251953125,2.9833608398437406,12,3296591.5,9.886383333333338,28
1,settling,condition2,411086.0123901367,4.567622359890411,3117837.187194824,3.9279062398274833,24,3089500.8251953125,2.9833608398437406,12,3203748.0,6.791600000000009,33
1,settling,breakout_1p5,411086.0123901367,4.567622359890411,3117837.187194824,3.9279062398274833,24,3089500.8251953125,2.9833608398437406,12,3203748.0,6.791600000000009,33
1,settling,q3_post_high_vol,557835.7760009766,6.198175288899743,3257037.4508056645,8.567915026855477,31,3089500.8251953125,2.9833608398437406,12,3211297.5,7.04324999999999,34
