date,nikkei_phase,equity
2020-01-06,stable,3051958.2629699707
2020-01-07,stable,3157588.624786377
2020-01-08,normal,3165146.943878174
2020-01-09,normal,3219700.943878174
2020-01-10,normal,3224511.943878174
2020-01-14,normal,3207724.443878174
2020-01-15,normal,3209986.943878174
2020-01-16,normal,3182157.4316711426
2020-01-17,normal,3170083.143585205
2020-01-20,normal,3177858.131378174
2020-01-21,normal,3216538.131378174
2020-01-22,normal,3161638.131378174
2020-01-23,normal,3166538.131378174
2020-01-24,normal,3183038.131378174
2020-01-27,stable,3148138.131378174
2020-01-28,normal,3146902.7687683105
2020-01-29,normal,3118573.7565612793
2020-01-30,normal,3062273.7565612793
2020-01-31,normal,3064140.3815612793
2020-02-03,normal,3052415.3815612793
2020-02-04,normal,3050460.3815612793
2020-02-05,normal,3058118.5065612793
2020-02-06,normal,3119133.2539367676
2020-02-07,normal,3014914.39553833
2020-02-10,normal,3024545.39553833
2020-02-12,reversal_up,3033312.39553833
2020-02-13,reversal_up,3009105.39553833
2020-02-14,normal,2949605.39553833
2020-02-17,normal,2952605.39553833
2020-02-18,normal,2931155.39553833
2020-02-19,normal,2957034.2453918457
2020-02-20,normal,2951400.8957824707
2020-02-21,normal,2953192.5950012207
2020-02-25,stable,2881767.5950012207
2020-02-26,normal,2863684.2453918457
2020-02-27,normal,2863684.2453918457
2020-02-28,normal,2863684.2453918457
2020-03-02,crash,2863684.2453918457
2020-03-03,crash,2846649.2453918457
2020-03-04,crash,2851649.2453918457
2020-03-05,crash,2847649.2453918457
2020-03-06,crash,2838409.2453918457
2020-03-09,crash,2826409.2453918457
2020-03-10,crash,2826409.2453918457
2020-03-11,crash,2826409.2453918457
2020-03-12,crash,2826409.2453918457
2020-03-13,crash,2826409.2453918457
2020-03-16,crash,2826409.2453918457
2020-03-17,crash,2826409.2453918457
2020-03-18,crash,2826409.2453918457
2020-03-19,crash,2826409.2453918457
2020-03-23,crash,2826409.2453918457
2020-03-24,crash,2826409.2453918457
2020-03-25,capitulation_end,2809609.2453918457
2020-03-26,capitulation_end,2630409.2453918457
2020-03-27,capitulation_end,2630409.2453918457
2020-03-30,crash,2630409.2453918457
2020-03-31,capitulation_end,2606409.2453918457
