date,phase,equity,pnl_day
2025-07-01,uptrend,3028677.0,28677.0
2025-07-02,settling,3005911.975341797,-22765.024658203125
2025-07-03,uptrend,2992911.9997558594,-12999.9755859375
2025-07-04,uptrend,3004911.9997558594,12000.0
2025-07-07,uptrend,3014911.975341797,9999.9755859375
2025-07-08,uptrend,3015911.9509277344,999.9755859375
2025-07-09,uptrend,3056911.975341797,41000.0244140625
2025-07-10,uptrend,3073631.975341797,16720.0
2025-07-11,uptrend,3096031.975341797,22400.0
2025-07-14,stable,3124591.975341797,28560.0
2025-07-15,stable,3219891.975341797,95300.0
2025-07-16,stable,2909891.975341797,-310000.0
2025-07-17,uptrend,2909891.975341797,0.0
2025-07-18,uptrend,2909891.975341797,0.0
2025-07-22,uptrend,2909891.975341797,0.0
2025-07-23,uptrend,2904382.9753417973,-5508.999999999534
2025-07-24,normal,2906912.9753417973,2530.0
2025-07-25,normal,2905412.9753417973,-1500.0
2025-07-28,normal,2912979.975341798,7567.000000000466
2025-07-29,high_vol,2923539.975341798,10560.0
2025-07-30,high_vol,2916039.975341798,-7500.0
2025-07-31,high_vol,2914239.975341798,-1800.0
2025-08-01,high_vol,2925939.975341798,11700.0
2025-08-04,high_vol,2903439.975341798,-22500.0
2025-08-05,high_vol,2936929.975341798,33490.0
2025-08-06,settling,2948929.975341798,12000.0
2025-08-07,uptrend,2953481.9753417983,4552.000000000466
2025-08-08,uptrend,2862481.9753417983,-91000.0
2025-08-12,uptrend,2905881.9753417983,43400.0
2025-08-13,uptrend,2939581.9753417987,33700.000000000466
2025-08-14,normal,2952863.9753417987,13282.0
2025-08-15,overheated_range,2971853.975341799,18990.000000000466
2025-08-18,overheated_range,2981253.975341799,9400.0
2025-08-19,settling,2980953.975341799,-300.0
2025-08-20,normal,2986484.975341799,5531.0
2025-08-21,normal,2991684.975341799,5200.0
2025-08-22,normal,2989084.975341799,-2600.0
2025-08-25,normal,2996984.975341799,7900.0
2025-08-26,settling,2953284.975341799,-43700.0
2025-08-27,settling,2973784.975341799,20500.0
2025-08-28,uptrend,2958668.9753417997,-15115.999999999534
2025-08-29,uptrend,2984668.9753417997,26000.0
2025-09-01,uptrend,3008668.9753417997,24000.0
2025-09-02,uptrend,3028668.9753417997,20000.0
2025-09-03,uptrend,3068898.9753417997,40230.0
2025-09-04,uptrend,3100898.9753417997,32000.0
2025-09-05,uptrend,3262898.9753417997,162000.0
2025-09-08,uptrend,3262898.9753417997,0.0
2025-09-09,stable,3225533.9753418,-37364.999999999534
2025-09-10,normal,3254733.9753418,29200.0
2025-09-11,uptrend,3244933.9753418,-9800.0
2025-09-12,uptrend,3244933.9753418,0.0
2025-09-16,stable,3242540.4753418,-2393.5
2025-09-17,stable,3226240.4753418,-16300.0
2025-09-18,uptrend,3227440.4753418,1200.0
2025-09-19,uptrend,3227440.4753418,0.0
2025-09-22,uptrend,3227440.4753418,0.0
2025-09-24,uptrend,3227440.4753418,0.0
2025-09-25,uptrend,3227440.4753418,0.0
2025-09-26,uptrend,3227440.4753418,0.0
2025-09-29,uptrend,3227440.4753418,0.0
2025-09-30,uptrend,3227440.4753418,0.0
