dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct
q2_2024,3184483.493652344,6.149449788411476,24,-7.837973894987382
q3,3380452.377014161,12.681745900472041,7,-7.730046798640222
q4,3354116.0,11.803866666666663,22,-1.6541483600067353
4q2,3342272.5000000005,11.409083333333347,46,-6.6426023192610035
TOTAL,13261324.370666506,10.511036422220887,99,
