window_label,Date,close,ret5,ret20,dd20,vol10,phase,episode_id
2025-03,2025-03-03,37785.46875,-0.025568614240683685,-0.04374402406743816,-0.04515812901501859,0.01237302935810757,normal,
2025-03,2025-03-04,37331.1796875,-0.023709774995571475,-0.05663805060274574,-0.053984028724222255,0.012552579993289115,normal,
2025-03,2025-03-05,37418.23828125,-0.018984997307067153,-0.02860459482232436,-0.05177786163243103,0.0125448520086885,normal,
2025-03,2025-03-06,37704.9296875,-0.014409235437909285,-0.028182662710449224,-0.04451276442922569,0.013146298071359645,normal,
2025-03,2025-03-07,36887.171875,-0.007221760573804636,-0.05007042147967289,-0.06523570856698024,0.014118876898687223,high_vol_continuation,E032
2025-03,2025-03-10,37028.26953125,-0.020039429013302912,-0.05217411563126684,-0.06166012811547972,0.014196172309253272,high_vol_continuation,E032
2025-03,2025-03-11,36793.109375,-0.014413429122899335,-0.05140663501209586,-0.06761936287533643,0.013837372004780742,high_vol_continuation,E032
2025-03,2025-03-12,36819.08984375,-0.016012203273616632,-0.05108304557489607,-0.06696098726051603,0.013906670090901744,high_vol_continuation,E032
2025-03,2025-03-13,36790.03125,-0.0242646901899225,-0.0557870020643213,-0.06769736618077604,0.013763571442533257,settling,E032
2025-03,2025-03-14,37053.1015625,0.004498303314287355,-0.06103085525674967,-0.05646229636627942,0.010920259980202055,settling,E032
2025-03,2025-03-17,37396.51953125,0.00994510423149042,-0.04477485803093795,-0.047717338779547536,0.009788755431351256,settling,E032
2025-03,2025-03-18,37845.421875,0.02860080373405527,-0.03392095892071956,-0.036286277175615944,0.009728542414096085,settling,E032
2025-03,2025-03-19,37751.87890625,0.02533438676671529,-0.0386682995759966,-0.03607160881455873,0.009796424222904795,settling,E032
2025-03,2025-03-21,37677.05859375,0.024110535207822137,-0.037982015012756665,-0.02836435192185438,0.0095313592402022,settling,E032
2025-03,2025-03-24,37608.48828125,0.014988940070595369,-0.027652663040173997,-0.03013267892272886,0.00589139820544166,settling,E032
2025-03,2025-03-25,37780.5390625,0.010268857531757769,-0.02569574359439808,-0.012432838655527356,0.005922540313524081,settling,E032
2025-03,2025-03-26,38027.2890625,0.004805526758314249,-0.0055050253992441345,-0.005982899001182429,0.005261406552777616,settling,E032
2025-03,2025-03-27,37799.96875,0.0012738397436964366,-0.008976954864929887,-0.011924954919447228,0.006002348877330946,settling,E032
2025-03,2025-03-28,37120.328125,-0.014776378239949817,-0.029690470696109084,-0.023850265424110506,0.008872091729483604,settling,E032
2025-03,2025-03-31,35617.55859375,-0.052938306709142346,-0.04139202557494848,-0.06336845271272085,0.015484399137456558,high_vol_continuation,E033
2026-03,2026-03-02,58057.23828125,0.021672220129825392,0.08771117480086943,-0.013475405572762833,0.010533117350296203,normal,
2026-03,2026-03-03,56279.05078125,-0.01817898203506718,0.055439631079838625,-0.043690857671172756,0.014771004860131215,normal,
2026-03,2026-03-04,54245.5390625,-0.07404149779436653,0.030203284547475118,-0.07824484926623565,0.01854833111914661,crash_initial,E037
2026-03,2026-03-05,55278.05859375,-0.059151173988096994,0.010186252064730228,-0.06069999281147087,0.019487172417097694,crash_initial,E037
2026-03,2026-03-06,55620.83984375,-0.054875359335187834,0.024450144253944428,-0.054875359335187834,0.01951457196378903,crash_initial,E037
2026-03,2026-03-09,52728.71875,-0.09178045130973589,-0.02024080273967155,-0.10401907807744881,0.024916286715618078,high_vol_continuation,E037
2026-03,2026-03-10,54248.390625,-0.036081990155500954,-9.748762720729331e-05,-0.07819639473029705,0.027059428370170575,high_vol_continuation,E037
2026-03,2026-03-11,55025.37109375,0.014375966111268568,-0.023748699595936507,-0.06499372845639972,0.0262995071450039,high_vol_continuation,E037
2026-03,2026-03-12,54452.9609375,-0.014926313934319091,-0.05546484346891267,-0.07472027959727512,0.026138915969254526,high_vol_continuation,E037
2026-03,2026-03-13,53819.609375,-0.032384093332822994,-0.06627760380850944,-0.08548236390962793,0.02597277604776643,high_vol_continuation,E037
2026-03,2026-03-16,53751.1484375,0.01939037609367289,-0.05603635389758099,-0.08664567102861476,0.02600434020942526,high_vol_continuation,E037
