Date,Adj Close,Close,High,Low,Open,Volume,close,ret1,ret5,ret20,dd20,vol10,prior_runup_15d,stress_highvol,settle_ready,phase,episode_id
2021-03-16,29921.08984375,29921.08984375,30026.400390625,29755.470703125,29770.390625,83800000,29921.08984375,,,,,,False,False,False,normal,
2021-03-17,29914.330078125,29914.330078125,29984.970703125,29825.16015625,29836.830078125,74600000,29914.330078125,-0.00022591976630192967,,,,,False,False,False,normal,
2021-03-18,30216.75,30216.75,30485.0,30041.5,30148.48046875,95400000,30216.75,0.010109533493987355,,,,,False,False,False,normal,
2021-03-19,29792.05078125,29792.05078125,30049.76953125,29621.220703125,29904.5703125,128500000,29792.05078125,-0.014055092581101492,,,,,False,False,False,normal,
2021-03-22,29174.150390625,29174.150390625,29472.98046875,29107.630859375,29444.099609375,78800000,29174.150390625,-0.020740444998633145,,,,,False,False,False,normal,
2021-03-23,28995.919921875,28995.919921875,29496.830078125,28995.919921875,29381.490234375,79200000,28995.919921875,-0.006109191402786318,-0.03092032832715319,,,,False,False,False,normal,
2021-03-24,28405.51953125,28405.51953125,28867.669921875,28379.060546875,28765.55078125,96000000,28405.51953125,-0.020361498866590222,-0.05043771807473385,,,,False,False,False,normal,
2021-03-25,28729.880859375,28729.880859375,28821.830078125,28414.919921875,28457.330078125,72800000,28729.880859375,0.011418954255286717,-0.049206785661098595,,,,False,False,False,normal,
2021-03-26,29176.69921875,29176.69921875,29240.740234375,28953.220703125,29068.51953125,73700000,29176.69921875,0.015552391656688647,-0.020654891031780864,,,,False,False,False,normal,
2021-03-29,29384.51953125,29384.51953125,29578.369140625,29200.880859375,29478.119140625,107900000,29384.51953125,0.007122817798609793,0.007210806066612951,,,,False,False,False,normal,
2021-03-30,29432.69921875,29432.69921875,29478.19921875,29283.890625,29365.0390625,79900000,29432.69921875,0.0016396282215458413,0.015063474380252018,,,0.013262654343576874,False,False,False,normal,
2021-03-31,29178.80078125,29178.80078125,29348.990234375,29165.51953125,29278.330078125,82000000,29178.80078125,-0.008626406827758948,0.027222922261614713,,,0.013433364322542312,False,False,False,normal,
2021-04-01,29388.869140625,29388.869140625,29585.4609375,29318.8203125,29441.91015625,75600000,29388.869140625,0.007199348628130986,0.02293738301511139,,,0.013160888781386309,False,False,False,normal,
2021-04-02,29854.0,29854.0,29869.669921875,29694.08984375,29704.66015625,57200000,29854.0,0.015826769555145503,0.023213756161106103,,,0.013677432172705555,False,False,False,normal,
2021-04-05,30089.25,30089.25,30195.0,30024.25,30084.609375,55400000,30089.25,0.00788001607824751,0.023983052300737162,,,0.011628207891663743,False,False,True,normal,
2021-04-06,29696.630859375,29696.630859375,30208.890625,29665.859375,30208.890625,65500000,29696.630859375,-0.013048485443306168,0.008967293100214935,,,0.01242237826008681,False,False,False,normal,
2021-04-07,29730.7890625,29730.7890625,29867.939453125,29523.55078125,29743.48046875,61500000,29730.7890625,0.0011502383313026776,0.01891744233727044,,,0.009565233964001885,False,False,True,normal,
2021-04-08,29708.98046875,29708.98046875,29744.7890625,29516.419921875,29675.880859375,62600000,29708.98046875,-0.0007335356523553438,0.010892264230830895,,,0.009374336363942354,False,False,True,normal,
2021-04-09,29768.060546875,29768.060546875,30064.349609375,29768.060546875,29865.529296875,64900000,29768.060546875,0.0019886269132374235,-0.0028786579059757456,,,0.00834476853876426,False,False,True,normal,
2021-04-12,29538.73046875,29538.73046875,29876.0390625,29538.73046875,29874.4296875,50200000,29538.73046875,-0.007703897194238807,-0.01829621978779794,,-0.022438532643318743,0.008652802324201753,False,False,True,normal,
2021-04-13,29751.609375,29751.609375,29897.109375,29573.7890625,29605.689453125,54900000,29751.609375,0.007206772358589131,0.0018513384863536597,-0.005664247847756876,-0.015393469681550753,0.008905581320683809,False,False,True,normal,
2021-04-14,29620.990234375,29620.990234375,29722.400390625,29567.1796875,29718.060546875,57200000,29620.990234375,-0.004390321847084988,-0.0036931017166810243,-0.009805997426113433,-0.01971620924239037,0.008481433768262795,False,False,True,normal,
2021-04-15,29642.689453125,29642.689453125,29787.66015625,29558.55078125,29573.900390625,50600000,29642.689453125,0.0007325622330078829,-0.0022313460300238397,-0.0189980903596515,-0.014841198995488414,0.008245016130268921,False,False,True,normal,
