episode_id,phase,start,end,days,start_close,end_close,period_return_pct,ret20_start_pct,ret5_min_pct,min_dd20_pct,avg_vol10_pct,max_vol10_pct,prior_runup_any
E031,high_vol_continuation,2024-10-02,2024-10-02,1,37808.76,37808.76,0.0,-2.31,-0.16,-5.07,2.36,2.36,False
E031,settling,2024-10-23,2024-10-29,5,38104.86,38903.68,2.1,0.43,-2.74,-5.0,0.95,1.06,True
E032,high_vol_continuation,2025-03-07,2025-03-12,4,36887.17,36819.09,-0.18,-5.01,-2.0,-6.76,1.4,1.42,False
E032,settling,2025-03-13,2025-03-28,11,36790.03,37120.33,0.9,-5.58,-2.43,-6.77,0.87,1.38,False
E033,high_vol_continuation,2025-03-31,2025-04-24,19,35617.56,35039.15,-1.62,-4.14,-12.58,-18.12,3.39,5.04,False
E033,settling,2025-04-30,2025-04-30,1,36045.38,36045.38,0.0,1.18,5.33,0.0,1.1,1.1,False
E034,crash_initial,2025-11-18,2025-11-19,2,48702.98,48537.7,-0.34,-0.98,-4.95,-7.39,1.48,1.56,True
E035,crash_initial,2025-11-21,2025-11-26,3,48625.88,49559.07,1.92,-0.03,-3.48,-7.22,1.74,1.81,True
E036,crash_initial,2025-12-01,2025-12-01,1,49303.28,49303.28,0.0,-3.94,1.39,-5.93,1.87,1.87,True
E036,settling,2025-12-23,2025-12-23,1,50412.87,50412.87,0.0,3.6,2.08,-1.21,1.17,1.17,False
E037,crash_initial,2026-03-04,2026-03-06,3,54245.54,55620.84,2.54,3.02,-7.4,-7.82,1.92,1.95,True
E037,high_vol_continuation,2026-03-09,2026-03-16,6,52728.72,53751.15,1.94,-2.02,-9.18,-10.4,2.61,2.71,True
