episode_id,phase,start,end,days,start_close,end_close,period_return_pct,ret20_start_pct,ret5_min_pct,min_dd20_pct,avg_vol10_pct,max_vol10_pct,prior_runup_any
E001,high_vol_continuation,2021-05-13,2021-05-17,3,27448.01,27824.83,1.37,-7.79,-6.42,-7.74,1.65,1.74,False
E002,high_vol_continuation,2021-05-19,2021-05-20,2,28044.45,28098.25,0.19,-5.39,-0.37,-5.53,1.86,1.93,False
E002,settling,2021-05-21,2021-05-21,1,28317.83,28317.83,0.0,-4.61,0.83,-4.07,1.83,1.83,False
E003,crash_initial,2021-10-05,2021-10-05,1,27822.12,27822.12,0.0,-4.48,-7.82,-9.29,1.38,1.38,True
E004,crash_initial,2021-10-07,2021-10-07,1,27678.21,27678.21,0.0,-7.48,-6.02,-9.76,1.38,1.38,True
E005,crash_initial,2021-10-11,2021-10-12,2,28498.2,28230.61,-0.94,-5.03,0.19,-7.95,1.43,1.43,True
E006,crash_initial,2021-10-14,2021-10-14,1,28550.93,28550.93,0.0,-6.91,3.15,-6.43,1.47,1.47,True
E006,settling,2021-10-27,2021-10-29,3,29098.24,28892.69,-0.71,-1.51,-0.54,-1.49,1.09,1.15,False
E007,high_vol_continuation,2021-12-20,2021-12-20,1,27937.81,27937.81,0.0,-6.08,-2.45,-6.17,1.5,1.5,False
E008,crash_initial,2022-01-19,2022-01-20,2,27467.23,27772.93,1.11,-3.78,-4.51,-6.36,1.53,1.57,True
E009,crash_initial,2022-01-25,2022-01-25,1,27131.34,27131.34,0.0,-5.79,-3.98,-7.5,1.42,1.42,True
E010,high_vol_continuation,2022-01-27,2022-02-03,6,26170.3,27241.31,4.09,-8.74,-5.77,-10.78,1.61,1.71,False
E011,high_vol_continuation,2022-02-07,2022-02-08,2,27248.87,27284.52,0.13,-4.32,0.76,-5.27,1.55,1.6,False
E012,high_vol_continuation,2022-02-24,2022-02-24,1,25970.82,25970.82,0.0,-4.28,-5.42,-6.23,1.38,1.38,False
E013,high_vol_continuation,2022-03-04,2022-03-16,9,25985.47,25762.01,-0.86,-5.62,-7.65,-10.75,1.86,2.12,False
E014,crash_initial,2022-04-25,2022-04-25,1,26590.78,26590.78,0.0,-4.84,-0.78,-5.88,1.44,1.44,True
E015,crash_initial,2022-05-10,2022-05-10,1,26167.1,26167.1,0.0,-4.33,-0.83,-5.03,1.42,1.42,True
E015,settling,2022-05-31,2022-05-31,1,27279.8,27279.8,0.0,3.38,1.99,-0.33,1.2,1.2,False
E016,crash_initial,2022-06-21,2022-06-21,1,26246.31,26246.31,0.0,-1.88,-1.44,-7.08,1.45,1.45,True
E017,crash_initial,2022-06-24,2022-06-24,1,26491.97,26491.97,0.0,-1.08,2.04,-6.21,1.44,1.44,True
E017,settling,2022-07-21,2022-07-21,1,27803.0,27803.0,0.0,6.32,5.0,0.0,1.11,1.11,True
E018,high_vol_continuation,2022-09-21,2022-09-22,2,27313.13,27153.83,-0.58,-4.01,-4.55,-5.19,1.43,1.43,False
E019,high_vol_continuation,2022-10-04,2022-10-05,2,26992.21,27120.53,0.48,-2.38,1.58,-5.67,1.69,1.69,False
E020,high_vol_continuation,2022-10-07,2022-10-13,4,27116.11,26237.42,-3.24,-1.15,-3.26,-8.31,1.64,1.67,False
E020,settling,2022-10-14,2022-10-14,1,27090.76,27090.76,0.0,-5.33,-0.81,-2.82,1.88,1.88,False
E021,crash_initial,2023-10-10,2023-10-10,1,31746.53,31746.53,0.0,-2.64,-0.04,-5.33,1.49,1.49,True
E022,high_vol_continuation,2023-10-16,2023-10-16,1,31659.03,31659.03,0.0,-4.55,2.14,-5.59,1.67,1.67,False
E023,high_vol_continuation,2023-10-23,2023-10-23,1,30999.55,30999.55,0.0,-4.33,-2.08,-5.14,1.48,1.48,False
E023,settling,2023-11-02,2023-11-02,1,31949.89,31949.89,0.0,4.66,4.41,-1.68,1.31,1.31,False
E024,high_vol_continuation,2024-04-25,2024-04-25,1,37628.48,37628.48,0.0,-6.32,-1.18,-6.79,1.59,1.59,False
E024,settling,2024-04-26,2024-04-26,1,37934.76,37934.76,0.0,-6.03,2.34,-4.78,1.63,1.63,False
E025,crash_initial,2024-07-18,2024-07-18,1,40126.35,40126.35,0.0,4.03,-4.08,-4.97,1.4,1.4,True
E026,crash_initial,2024-07-22,2024-07-23,2,39599.0,39594.39,-0.01,2.6,-4.07,-6.23,1.39,1.39,True
E027,crash_initial,2024-07-29,2024-07-31,3,38468.63,39101.82,1.65,-2.82,-2.85,-8.89,1.52,1.62,True
E027,high_vol_continuation,2024-08-01,2024-08-15,10,38126.33,36726.64,-3.67,-6.05,-18.22,-25.5,4.92,5.9,True
E028,high_vol_continuation,2024-08-19,2024-08-19,1,37388.62,37388.62,0.0,-6.68,6.75,-5.58,5.64,5.64,False
E028,settling,2024-08-20,2024-08-20,1,38062.92,38062.92,0.0,-3.88,5.05,-3.87,3.34,3.34,False
E029,crash_initial,2024-09-05,2024-09-09,3,36657.09,36215.75,-1.2,4.47,-6.42,-6.42,1.43,1.45,True
E029,high_vol_continuation,2024-09-10,2024-09-11,2,36159.16,35619.77,-1.49,-0.2,-6.53,-7.96,1.39,1.39,True
E030,crash_initial,2024-09-13,2024-09-18,3,36581.76,36380.17,-0.55,-3.89,-0.03,-6.45,1.87,1.88,True
