post_table_name,other_table_name,post_rule_name,other_rule_name,total_final_capital,total_return_pct,avg_max_drawdown_pct,q2_2024_return_pct,q2_2024_final_capital,q3_return_pct,q3_final_capital,q4_return_pct,q4_final_capital,4q2_return_pct,4q2_final_capital
defensive_top5,momentum_top20,defensive,defensive,12898478.024414062,7.487316870117189,-6.257270450916341,13.203167480468746,3396095.0244140625,25.187699999999992,3755631.0,-6.703599999999998,2798892.0,-1.737999999999995,2947860.0
defensive_top10,momentum_top20,defensive,defensive,12833733.024414062,6.9477752034505125,-5.927947002310674,12.810900813802073,3384327.0244140625,21.571833333333323,3647155.0,-5.505099999999996,2834847.0,-1.0865333333333282,2967404.0
defensive_top10,momentum_top20,defensive,normal,12801000.024414064,6.675000203450532,-6.454273635080721,10.935434147135425,3328063.024414063,20.59891666666669,3617967.500000001,-1.3909999999999978,2958270.0,-3.4433499999999895,2896699.5000000005
defensive_top5,momentum_top20,defensive,normal,12781830.024414064,6.51525020345054,-6.53188472960543,11.3277008138021,3339831.024414063,21.488116666666702,3644643.500000001,-2.6599999999999957,2920200.0,-4.094816666666656,2877155.5000000005
post_high_vol_top20,momentum_top20,defensive,defensive,12727968.99975586,6.066408331298834,-6.7607698244319145,10.476867480468744,3314306.0244140625,21.43013251139323,3642903.975341797,-6.199066666666663,2814028.0,-1.4422999999999964,2956731.0
defensive_top10,momentum_top20,normal,defensive,12716665.524414062,5.972212703450519,-6.469211562149551,11.481734147135425,3344452.024414063,19.72736666666668,3591821.0000000005,-5.7275166666666655,2828174.5,-1.5927333333333293,2952218.0
post_high_vol_top20,momentum_top20,defensive,normal,12676384.499755861,5.63653749796551,-7.083152280372293,7.7981008138021,3233943.024414063,20.58534917805992,3617560.475341798,-2.1096000000000004,2936712.0,-3.7276999999999894,2888169.0000000005
defensive_top5,momentum_top20,normal,defensive,12674509.024414062,5.620908536783853,-6.972496546835824,11.878467480468768,3356354.024414063,19.75203333333335,3592561.0000000005,-6.703599999999998,2798892.0,-2.4432666666666547,2926702.0000000005
post_high_vol_top20,regular_top20,normal,defensive,12668830.99963379,5.57359166361493,-6.645220647053153,2.666650000000037,3079999.500000001,15.377399987792995,3461321.9996337895,-5.68143333333333,2829557.0,9.931749999999994,3297952.5
defensive_top10,momentum_top20,normal,normal,12665883.524414066,5.549029370117209,-6.976143554364988,9.009600813802109,3270288.0244140634,18.70811666666672,3561243.500000002,-1.6264999999999974,2951205.0,-3.8950999999999847,2883147.0000000005
defensive_top5,momentum_top20,normal,normal,12633979.024414066,5.283158536783894,-7.1770259273103925,9.406334147135453,3282190.0244140634,18.897183333333388,3566915.500000002,-2.6599999999999957,2920200.0,-4.510883333333304,2864673.500000001
defensive_top10,regular_top20,normal,defensive,12622561.0,5.188008333333327,-6.8638264615241,4.925366666666675,3147761.0000000005,12.752066666666684,3382562.0000000005,-4.863899999999999,2854083.0,7.938500000000004,3238155.0
post_high_vol_top20,regular_top20,defensive,defensive,12606085.975341797,5.050716461181648,-6.479314522158735,-1.9788666666666677,2940634.0,16.720899178059902,3501626.975341797,-5.347000000000001,2839590.0,10.807833333333328,3324235.0
post_high_vol_top20,momentum_top20,normal,defensive,12574945.024047852,4.791208533732094,-7.579105431143956,7.677100813802107,3230313.0244140634,20.646949987792972,3619408.499633789,-6.643466666666664,2800696.0,-2.5157499999999833,2924527.5000000005
defensive_top5,regular_top20,normal,defensive,12568025.0,4.733541666666663,-6.881415868667586,5.203133333333354,3156094.0000000005,12.107399999999991,3363222.0,-5.747033333333329,2827589.0,7.370666666666681,3221120.0000000005
post_high_vol_top20,momentum_top20,normal,normal,12554623.024047855,4.621858533732137,-7.670107873373947,6.622667480468802,3198680.0244140644,19.04253332112633,3571275.99963379,-2.5943999999999967,2922168.0,-4.583366666666633,2862499.000000001
defensive_top10,regular_top20,defensive,defensive,12547767.0,4.564725000000003,-6.634540001389055,-0.15089999999999826,2995473.0,14.66253333333334,3439876.0,-4.628399999999999,2861148.0,8.375666666666671,3251270.0
defensive_top5,regular_top20,defensive,defensive,12532125.0,4.43437499999999,-6.724197037557511,0.24136666666667583,3007241.0,15.436133333333334,3463084.0,-5.747033333333329,2827589.0,7.807033333333324,3234211.0
none,regular_top30,defensive,defensive,12498704.5,4.1558708333333305,-7.2255230988783135,2.5170499999999985,3075511.5,14.35293333333334,3430588.0,-6.8272333333333375,2795183.0,6.580733333333333,3197422.0
none,regular_top30,normal,defensive,12498704.5,4.1558708333333305,-7.2255230988783135,2.5170499999999985,3075511.5,14.35293333333334,3430588.0,-6.8272333333333375,2795183.0,6.580733333333333,3197422.0
defensive_top5,regular_top30,normal,defensive,12475019.0,3.9584916666666636,-8.968067497569423,12.610516666666683,3378315.5000000005,5.49440000000001,3164832.0,-6.8272333333333375,2795183.0,4.556283333333333,3136688.5
none,momentum_top20,defensive,defensive,12434823.024414062,3.6235252034505283,-4.3227682719706735,1.7127008138020816,3051381.0244140625,19.626033333333325,3588781.0,-6.703599999999998,2798892.0,-0.14103333333332913,2995769.0
none,momentum_top20,normal,defensive,12434823.024414062,3.6235252034505283,-4.3227682719706735,1.7127008138020816,3051381.0244140625,19.626033333333325,3588781.0,-6.703599999999998,2798892.0,-0.14103333333332913,2995769.0
none,momentum_top20,defensive,normal,12417159.024414066,3.4763252034505587,-4.529334315967851,-0.1627658528645659,2995117.024414063,18.77118333333336,3563135.500000001,-2.6599999999999957,2920200.0,-2.0431166666666334,2938706.500000001
none,momentum_top20,normal,normal,12417159.024414066,3.4763252034505587,-4.529334315967851,-0.1627658528645659,2995117.024414063,18.77118333333336,3563135.500000001,-2.6599999999999957,2920200.0,-2.0431166666666334,2938706.500000001
none,regular_top20,defensive,defensive,12392731.0,3.2727583333333365,-5.066082838498385,-3.447,2896590.0,12.268400000000002,3368052.0,-5.747033333333329,2827589.0,10.016666666666673,3300500.0
none,regular_top20,normal,defensive,12392731.0,3.2727583333333365,-5.066082838498385,-3.447,2896590.0,12.268400000000002,3368052.0,-5.747033333333329,2827589.0,10.016666666666673,3300500.0
defensive_top5,regular_top30,defensive,defensive,12369890.5,3.0824208333333436,-8.738363794349832,7.18875000000001,3215662.5,6.918099999999994,3207543.0,-6.8272333333333375,2795183.0,5.050066666666675,3151502.0
defensive_top10,regular_top30,normal,defensive,12350050.5,2.917087499999993,-10.060344353455923,11.861400000000021,3355842.0000000005,5.64420000000001,3169326.0000000005,-11.073166666666667,2667805.0,5.235916666666673,3157077.5
post_high_vol_top20,regular_top20,normal,normal,12282067.499450687,2.3505624954224036,-7.749918537012411,1.482050000000057,3044461.5000000014,16.20651664835617,3486195.499450685,-6.608283333333331,2801751.5,-1.6780333333333064,2949659.000000001
none,regular_top30,defensive,normal,12277522.500000002,2.3126875000000213,-8.986828572238503,1.8956000000000417,3056868.000000001,17.32495000000005,3519748.5000000014,-10.676416666666654,2679707.5000000005,0.7066166666666929,3021198.5000000005
none,regular_top30,normal,normal,12277522.500000002,2.3126875000000213,-8.986828572238503,1.8956000000000417,3056868.000000001,17.32495000000005,3519748.5000000014,-10.676416666666654,2679707.5000000005,0.7066166666666929,3021198.5000000005
defensive_top5,regular_top30,normal,normal,12267771.500000004,2.2314291666666985,-10.355407182589087,12.10803333333339,3363241.0000000014,8.76318333333339,3262895.5000000014,-10.676416666666654,2679707.5000000005,-1.2690833333332985,2961927.500000001
