quarter,style,count,score_threshold_top20_min,score_threshold_top20_median,annual_return_pct_min,annual_return_pct_median,quarter_return_pct_min,quarter_return_pct_median,trend_r2_min,trend_r2_median,max_drawdown_pct_max,max_drawdown_pct_median,earnings_score_raw_min,surge_type_score_raw_min,ocr_positive_count_median,finance_score_raw_min,stable_type_score_raw_min,ocr_roe_median,ocr_pbr_max
Q2,業績急伸型,41,0.6907216494845361,0.8711340206185567,43.98794850725829,82.42239924655654,12.416851441241691,39.151054448713694,0.3966075757356124,0.7526116524181518,41.78486997635934,27.595050142837863,1.0,8.651794871794873,3.0,,,,
Q2,安定進捗型,40,0.7319587628865979,0.8711340206185567,30.407209612817088,87.6256411299481,16.29515757109916,30.84863701578192,0.7100841742072774,0.8524432538106002,35.18080432578574,19.065714695894094,,,,5.925176736539251,29.31582482141094,14.649999999999999,7.75
Q3,業績急伸型,40,0.7333333333333333,0.8777777777777778,34.48275862068966,110.99019410533688,18.32061068702291,36.68107378603108,0.4845363145413895,0.8106856101987935,38.53448275862069,22.7570250003997,0.0,7.465648854961833,1.0,,,,
Q3,安定進捗型,40,0.6888888888888889,0.8833333333333333,48.59437751004017,92.47341541760338,17.725752508361214,29.849619284718035,0.7910489334216275,0.9062275352527938,30.17952450266861,16.128461779071728,,,,7.081095723191353,31.49498041191945,16.5,5.0
