ticker,company_name,overall_shikiho_rank,ocr_style_rank_within_label,stable_type_score,annual_return_pct,quarter_return_pct,trend_r2,max_drawdown_pct,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield
4495.T,アイキューブドシステムズ,14,3,1.0,91.53365718251214,41.852861035422336,0.8706278366761138,15.009041591320072,16.4,3.0,20.0,12.8,1.85
343A.T,ＩＡＣＥトラベル,48,17,0.9888888888888888,81.76470588235294,48.08429118773947,0.8359102899450075,7.849829351535831,11.2,1.37,14.8,8.1,2.42
9691.T,両毛システムズ,19,6,0.9777777777777776,78.44660194174757,44.16,0.8956124739009153,15.46762589928058,7.1,0.79,11.0,6.31,4.8826
7110.T,クラシコム,41,14,0.9666666666666668,99.48805460750852,40.56603773584906,0.8578949014984563,12.023898431665426,20.6,2.07,16.6,14.0,1.79
6101.T,ツガミ,15,4,0.9555555555555556,84.64010282776349,30.845225027442385,0.8406303155643482,30.17952450266861,9.0,1.43,18.21,8.6,3.37
7419.T,ノジマ,9,2,0.9444444444444444,62.7906976744186,25.9316684535561,0.9078188101768184,12.704915849152007,7.5,1.3,17.21,5.2,1.67
3486.T,グローバル・リンク・マネジメント,6,1,0.9333333333333332,56.28214548126378,43.18407960199004,0.9502748627122244,22.391857506361323,7.9,2.81,33.31,9.4,
2981.T,ランディックス,33,10,0.9222222222222224,101.33963750985026,41.02564102564104,0.908190130993324,16.78929765886288,6.5,1.17,17.9,6.4,2.33
4221.T,大倉工業,37,12,0.9111111111111112,61.09271523178808,28.018757327080905,0.9479026230053248,14.720812182741115,9.2,0.79,7.1,4.2,4.65
9709.T,ＮＣＳ＆Ａ,25,8,0.8888888888888888,93.4131736526946,49.43231441048035,0.8308177535840658,11.501597444089462,12.3,1.35,15.9,9.9,3.72
1909.T,日本ドライケミカル,23,7,0.8777777777777778,115.962441314554,55.078125,0.7910489334216275,24.746906636670417,7.9,1.23,16.5,7.8,1.92
1893.T,五洋建設,18,5,0.8444444444444444,139.5469014381078,28.854013541993684,0.9057643222954472,8.589042768086475,8.0,1.44,7.2,1.9,3.87
6675.T,サクサ,53,18,0.8222222222222222,104.0885860306644,23.357664233576635,0.9212794036952672,17.21139430284857,15.0,0.73,11.8,7.7,6.19
1384.T,ホクリヨウ,38,13,0.8111111111111111,145.1219512195122,50.5521472392638,0.8786491911096682,21.14137483787289,8.3,5.0,16.5,11.31,3.46
5105.T,ＴＯＹＯ ＴＩＲＥ,56,19,0.7888888888888889,79.39168218497828,27.216828478964405,0.897594629366311,21.51628403630539,8.7,0.94,17.23,2.587,4.43
1942.T,関電工,57,20,0.7666666666666667,115.14762516046213,19.8581560283688,0.9418639763385472,10.557661072008662,13.2,1.65,12.1,1.0,2.0
1803.T,清水建設,46,16,0.7444444444444445,114.68222043443284,28.6421280544386,0.9371194935192564,18.25262444971216,14.3,1.25,7.6,13.0,5.0
5592.T,くすりの窓口,59,21,0.7222222222222222,90.07142857142858,25.78796561604584,0.9487203539071356,15.377176015473893,13.0,3.44,27.5,16.7,
1723.T,日本電技,63,23,0.7,128.9435600578871,17.725752508361214,0.9407140491441894,19.211195928753177,9.9,1.61,17.31,12.1,3.31
9409.T,テレビ朝日ホールディングス,27,9,0.6888888888888889,48.59437751004017,20.078740157480325,0.9066907482101404,16.858522094318605,10.2,5.0,15.8,4.6,2.29
