ティッカー,銘柄名,四季報総合順位,型内順位,業績急伸型スコア,年間上昇率,四半期上昇率,上昇トレンド滑らかさ,最大下落率,OCR予想PER,OCRPBR,OCRROE,OCRROA,OCR総利回り
6745.T,ホーチキ,10,5,1.0,74.11764705882354,23.36633663366337,0.586187670994515,22.942430703624737,9.1,1.11,11.4,6.61,2.84
3542.T,ベガコーポレーション,8,4,0.9896907216494846,143.90625,121.35678391959802,0.4636111518765353,34.88888888888889,14.1,1.3,33.0,5.5,
3692.T,ＦＦＲＩセキュリティ,3,1,0.979381443298969,216.35872014420912,93.53846153846156,0.6573296691977026,38.97895826146948,50.2,9.49,22.0,12.8,0.37
6580.T,ライトアップ,24,14,0.9690721649484536,90.72715143428954,118.69918699186992,0.718198802524771,41.78486997635934,22.1,2.8,8.5,6.7,
3565.T,アセンテック,22,13,0.9587628865979382,72.29800629590765,55.35055350553506,0.9149133840076624,33.17460317460318,17.6,3.76,15.4,10.0,1.4
7273.T,イクヨ,19,11,0.9484536082474226,179.64204543773604,112.56684491978608,0.8576891117657046,32.23703794126157,1.3,2.0,7.0,1.0,
6507.T,シンフォニアテクノロジー,5,2,0.9278350515463918,49.917355371900825,73.04964539007092,0.7640306157957363,38.13920454545454,16.6,2.14,11.0,5.5,1.62
3626.T,ＴＩＳ,7,3,0.9072164948453608,43.98794850725829,17.42718446601941,0.805566371321813,15.38849646821393,21.1,3.0,16.0,9.3,
300A.T,ＭＩＣ,14,7,0.8865979381443299,210.8651911468813,29.772727272727263,0.9096431182739392,16.53116531165312,18.9,1.33,5.5,4.23,1.58
3106.T,倉敷紡績,21,12,0.8762886597938144,51.97132616487454,25.125628140703515,0.8095969156314552,28.346456692913392,13.2,2.0,2.0,3.5,
1776.T,三井住建道路,57,25,0.865979381443299,53.46441947565543,12.416851441241691,0.7780271721565317,21.84724689165186,16.0,2.0,4.4,2.0,3.32
7013.T,ＩＨＩ,16,9,0.8556701030927835,119.08304962724588,53.55915082689005,0.9088338165323088,30.24752847655113,14.0,2.97,16.9,3.31,1.36
1965.T,テクノ菱和,11,6,0.8247422680412371,145.92592592592592,40.46887009992312,0.7777724725311761,38.52071005917159,9.4,1.29,9.7,5.9,3.23
7564.T,ワークマン,28,15,0.8144329896907216,51.61290322580645,48.645465253239095,0.3966075757356124,23.7603305785124,20.7,2.53,13.3,10.8,1.65
1950.T,日本電設工業,17,10,0.7938144329896907,65.91478696741855,21.93732193732194,0.6404605339379077,23.21340561853129,11.8,2.0,5.5,3.6,4.0
1967.T,ヤマト,15,8,0.7835051546391752,53.440702781844806,24.244505494505496,0.8766784363273641,22.040549378678875,11.9,0.91,4.1,2.8,2.42
7322.T,三十三フィナンシャルグループ,41,17,0.7731958762886598,93.28652917946468,26.345004269854822,0.5788294887555511,27.949326999208235,7.5,2.0,3.3,0.2,
1801.T,大成建設,54,23,0.7525773195876289,125.28473804100229,27.27272727272727,0.638180618548873,23.866421568627448,13.9,1.37,9.7,1.6,1.9
7981.T,タカラスタンダード,49,21,0.7319587628865979,73.2620320855615,37.833238797504265,0.5260084189908059,21.21212121212121,11.2,2.0,5.2,3.5,3.3
7115.T,アルファパーチェス,47,20,0.6907216494845361,98.68073878627968,41.89743589743591,0.7411926890405672,27.24077328646749,13.2,2.12,15.1,4.7,
