ティッカー,銘柄名,四季報総合順位,型内順位,安定進捗型スコア,年間上昇率,四半期上昇率,上昇トレンド滑らかさ,最大下落率,OCR予想PER,OCRPBR,OCRROE,OCRROA,OCR総利回り
6554.T,エスユーエス,25,6,1.0,42.94631710362047,33.04347826086958,0.7821295119475389,19.650067294751004,9.6,2.21,17.6,10.7,3.93
9069.T,センコーグループホールディングス,36,13,0.9896907216494846,30.407209612817088,29.72258916776751,0.8818576780439835,11.528662420382163,12.6,1.14,9.1,2.33,3.23
6226.T,守谷輸送機工業,1,1,0.979381443298969,91.2685982772122,44.05516213194185,0.8697539087259211,30.875,15.4,3.0,20.6,11.4,1.43
2216.T,カンロ,9,2,0.9690721649484536,41.2215860116582,33.96778437672347,0.7596541201097964,20.879487712817845,15.8,3.0,20.8,11.21,2.54
3495.T,香陵住販,23,5,0.9587628865979382,50.49140049140048,30.76470588235294,0.7788998448202384,11.465798045602604,4.7,2.0,14.6,4.4,
1723.T,日本電技,56,23,0.9484536082474226,128.9435600578871,20.37037037037037,0.9156070561244368,19.211195928753177,9.9,1.64,14.31,10.23,3.07
4626.T,太陽ホールディングス,37,14,0.9175257731958762,138.39799749687108,47.23670490093848,0.8040748757441155,16.388888888888886,14.7,2.03,13.0,7.5,3.0
3763.T,プロシップ,42,17,0.9072164948453608,117.45730550284632,60.94444444444444,0.7628078638865277,20.01299545159194,13.4,2.55,19.6,13.9,3.27
9302.T,三井倉庫ホールディングス,76,31,0.8969072164948454,52.61937752531927,49.4303843648136,0.9131488519417088,9.102401741812129,17.9,1.59,11.9,4.6,1.94
1942.T,関電工,20,4,0.8762886597938144,115.14762516046213,22.69464384318056,0.9361029541381324,18.92023346303501,12.2,1.45,8.6,7.4,3.29
6269.T,三井海洋開発,18,3,0.865979381443299,242.44604316546764,50.97560975609756,0.7693500844063007,35.18080432578574,6.9,1.49,21.31,4.9,2.94
9766.T,コナミグループ,32,10,0.845360824742268,47.25578184328616,30.932568149210905,0.9063786390187124,17.09823263460748,32.2,5.22,14.7,9.8,0.93
6772.T,東京コスモス電機,39,16,0.8350515463917526,36.51877133105803,55.27638190954774,0.8629035031209138,28.825622775800703,11.5,1.03,14.9,7.7,2.81
1885.T,東亜建設工業,26,7,0.8247422680412371,133.96694214876032,16.29515757109916,0.8419830045002864,23.394055608820707,7.2,1.01,11.4,3.9,5.38
276A.T,ククレブ・アドバイザーズ,29,8,0.8144329896907216,114.3478260869565,75.01670006680025,0.9019689339600204,25.98870056497176,31.5,7.75,34.21,19.1,0.63
261A.T,日水コン,35,12,0.8041237113402062,71.55835080363381,21.880650994575035,0.8662730661325364,16.41727233860624,16.9,1.78,10.9,6.5,6.3316725
1909.T,日本ドライケミカル,31,9,0.7938144329896907,115.962441314554,28.838951310861425,0.8121091406078782,26.37768817204301,8.4,1.12,15.9,6.1,1.34
7501.T,ティムコ,66,27,0.7835051546391752,95.32828282828282,26.75675675675675,0.7100841742072774,16.188289322617678,30.4,0.47,24.0,2.0,
1997.T,暁飯島工業,48,19,0.7731958762886598,83.98268398268398,20.55837563451777,0.7708107056274279,17.677286742034948,9.0,0.7,8.5,5.4,2.74
9072.T,ニッコンホールディングス,91,37,0.7319587628865979,68.48874598070739,17.97794117647058,0.8828775740253813,10.208388288050651,16.2,1.16,7.0,4.3,2.37
