variant,dataset,total_return_pct,num_buys,max_drawdown_pct
monthly,q2_2024,1.6672850219726645,46,-7.906336220285592
monthly,q3,18.31381999104822,79,-3.2104134092463266
monthly,q4,9.649983333333378,49,-6.364159514395096
monthly,4q2,4.882133251953169,59,-6.798072149200807
every_10d,q2_2024,3.8899298726399634,47,-7.171855821565842
every_10d,q3,29.06162283732099,80,-3.62153171739128
every_10d,q4,7.150233329264344,43,-8.395131930715804
every_10d,4q2,4.316150000000008,82,-7.05801292641004
every_5d,q2_2024,-4.909750414021796,38,-10.413505832904535
every_5d,q3,20.332467832438184,79,-3.247994192250592
every_5d,q4,6.526783333333341,53,-5.441106751406021
every_5d,4q2,4.723008333333389,72,-6.188162670221686
