ティッカー,銘柄名,元ランキング順位,元ランキングスコア,sector,年間上昇率,四半期上昇率,上昇トレンド滑らかさ,最大下落率,月間高安騰落率平均,20日移動平均維持率,画像有無,OCR好材料語数,OCR悪材料語数,OCRテーマ語数,OCR株主還元語数,OCR予想PER,OCRPBR,OCRROE,OCRROA,OCR総利回り,OCR予想PER信頼度,OCRPBR信頼度,OCRROE信頼度,OCRROA信頼度,OCR総利回り信頼度,OCR配当金ヒント,OCR業績表数値数,OCR業績表数値平均,売上系列点数,営業利益系列点数,純利益系列点数,EPS系列点数,配当系列点数,売上トレンド,営業利益トレンド,純利益トレンド,EPSトレンド,配当トレンド,theme_text_compact,特色事業スコア生値,記事スコア生値,財務スコア生値,チャートスコア生値,業績スコア生値,配当還元スコア生値,業績急伸型スコア生値,安定進捗型スコア生値,sector_adjusted_per_score_raw,theme_peer_count,theme_peer_median_quarter_return_pct,theme_peer_positive_ratio_pct,theme_peer_signal_raw,特色事業スコア,特色事業順位,記事スコア,記事順位,財務スコア,財務順位,チャートスコア,チャート順位,業績スコア,業績順位,配当還元スコア,配当還元順位,業績急伸型スコア,業績急伸型順位,安定進捗型スコア,安定進捗型順位,sector_adjusted_per_score,sector_adjusted_per_score_rank,theme_peer_signal,theme_peer_signal_rank,四季報総合スコア,四季報総合順位,OCR型分類,型内順位
6675.T,サクサ,65,0.8523227065712428,電気機器,104.0885860306644,23.357664233576635,0.9212794036952672,17.21139430284857,12.22568071551442,85.0,True,2.0,0.0,0.0,1.0,15.0,0.73,11.8,7.7,6.19,medium,medium,medium,medium,low,,10.0,827819.3,0.0,0.0,0.0,1.0,1.0,,,,,,.2o.リみ。本余負′,9.18083585860671,-0.3999999999999999,9.110289141143712,72.93523361868444,0.0,3.0,17.236672903030644,34.047719288612555,0.2857142857142857,10,51.45373176229677,100.0,55.87223905737806,0.9888888888888888,2,0.0555555555555555,86,0.7111111111111111,27,0.4444444444444444,51,0.2611111111111111,50,0.7,27,0.8333333333333334,16,0.7888888888888889,20,0.2722222222222222,66,0.9777777777777776,1,0.5273333333333334,35,中間型,4
7003.T,三井Ｅ＆Ｓ,26,0.8820169160702667,機械,222.31884057971016,54.6837193225026,0.8744063623189366,37.0293965961836,31.377896563215945,70.0,True,0.0,0.0,0.0,0.0,11.7,1.38,25.1,17.0,1.3,medium,medium,medium,medium,low,,2.0,183333.0,0.0,0.0,0.0,0.0,0.0,,,,,,グ避自命ルーマ渝旧井ー軋レ'本余負′,7.285690705485512,0.0,11.592857142857142,72.49388855288973,0.0,0.52,16.51751538827606,32.747206480332224,0.5714285714285714,10,39.285452283172354,100.0,48.57127136990341,0.8388888888888889,14,0.2555555555555555,52,0.9444444444444444,6,0.4,55,0.2611111111111111,50,0.1111111111111111,81,0.8111111111111111,18,0.7111111111111111,27,0.5388888888888889,42,0.9,8,0.5253888888888889,36,業績急伸型,19
9709.T,ＮＣＳ＆Ａ,92,0.8364606376057255,情報・通信業,93.4131736526946,49.43231441048035,0.8308177535840658,11.501597444089462,22.47730031760316,90.0,True,1.0,0.0,0.0,0.0,12.3,1.35,15.9,9.9,3.72,medium,medium,medium,medium,low,,12.0,48129573.25276616,0.0,0.0,0.0,0.0,2.0,,,,,0.0,"虹5.514.8東毅S98貶47【株式】&珥【株ド割ZE物l.(自ーい務く3>本14,Z自社安き比アイ・シス4【指等】>山田欣′",0.4,0.0,11.224840255591054,74.82677721608727,1.0,1.488,6.154585152838429,35.376399687065366,0.5,0,,,0.0,0.3277777777777778,55,0.2555555555555555,52,0.9222222222222224,8,0.6666666666666666,31,0.6555555555555556,17,0.3555555555555555,59,0.3444444444444444,60,0.8444444444444444,15,0.4777777777777778,47,0.2777777777777778,42,0.5252777777777778,37,安定進捗型,14
1942.T,関電工,25,0.8832335718932987,建設業,115.14762516046213,19.8581560283688,0.9418639763385472,10.557661072008662,10.993445943946806,95.0,True,0.0,0.0,0.0,0.0,13.2,1.65,12.1,1.0,2.0,medium,medium,medium,medium,low,,13.0,557181111747446.6,2.0,0.0,0.0,0.0,0.0,0.0,,,,,プス舩日ス0み世虍&く本余負′1,5.671861218779432,0.0,7.799233892799134,75.64097991819888,1.0,0.8,12.541754513568558,33.013854887009366,0.3,1,28.854013541993684,100.0,37.81240812519621,0.5888888888888889,38,0.2555555555555555,52,0.5333333333333333,43,0.7555555555555555,23,0.6555555555555556,17,0.1777777777777777,75,0.5555555555555556,41,0.7444444444444445,24,0.2888888888888888,65,0.6222222222222222,35,0.5225555555555557,38,安定進捗型,15
343A.T,ＩＡＣＥトラベル,16,0.8943070917371503,サービス業,81.76470588235294,48.08429118773947,0.8359102899450075,7.849829351535831,24.141883921705627,100.0,True,0.0,0.0,0.0,0.0,11.2,1.37,14.8,8.1,2.42,medium,medium,medium,medium,low,,1.0,53.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,ー貶→東⑤龕477載4【株式】&【株ド本24ーき比鵯割ビジネ冫【指等】>村,0.0,0.0,12.045017064846418,76.56224708822043,0.0,0.968,3.8467432950191576,38.68355750695861,1.0,0,,,0.0,0.1277777777777777,69,0.2555555555555555,52,1.0,1,0.8777777777777778,12,0.2611111111111111,50,0.2111111111111111,72,0.1666666666666666,76,1.0,1,0.9666666666666668,1,0.2777777777777778,42,0.5207222222222223,39,安定進捗型,16
8334.T,群馬銀行,79,0.8424788549121666,銀行業,62.51175917215428,36.09394313967862,0.8405686397158622,26.513726965024443,16.649037672731826,75.0,True,0.0,0.0,0.0,0.0,9.1,0.79,7.7,0.4,4.28,medium,medium,medium,medium,low,,12.0,21198.671528778592,1.0,0.0,0.0,0.0,1.0,,,,,,".5:8.5:・4完全信、東龕64一114864781.9(14【株ド日本マスタ—i日本カス務く3>己本,ステート・スラスト新ローは「第1",4.6694900473933645,2.0,6.913695652173913,70.81029170647523,2.0,1.7120000000000002,15.269998863496564,27.221851614549927,0.3043478260869565,2,16.883222748815164,100.0,31.1299336492891,0.5555555555555556,41,0.7388888888888889,17,0.3888888888888889,56,0.2777777777777778,66,0.8944444444444445,5,0.4333333333333333,52,0.7111111111111111,27,0.3,64,0.3,64,0.5555555555555556,41,0.5195555555555557,40,業績急伸型,20
8600.T,トモニホールディングス,28,0.878900455432661,銀行業,75.0,23.260073260073263,0.9355342055428688,23.1858407079646,13.745895787524269,95.0,True,0.0,0.0,0.0,0.0,6.3,5.0,5.7,0.3,4.83,medium,medium,medium,medium,low,,5.0,7.44867523304803e+19,0.0,0.0,1.0,0.0,0.0,,,,,,".4な貶な貶(OA54ー【株式】&23【株ド日本マスタ—i日本カス務く3>5.0@第翩0社己・本,ームラカミ・タ:資45ラスト新",0.0,1.0,5.550652173913043,76.17098615005264,1.0,1.932,4.160805860805861,27.773041452632743,0.8478260869565217,0,,,0.0,0.1277777777777777,69,0.5555555555555556,33,0.2666666666666666,67,0.8222222222222222,17,0.6555555555555556,17,0.5111111111111111,45,0.2111111111111111,72,0.3222222222222222,62,0.85,14,0.2777777777777778,42,0.5188333333333334,41,安定進捗型,17
9551.T,メタウォーター,41,0.868412491867274,電気・ガス業,88.72686483454852,37.26820443238354,0.7753169207420331,12.681704260651628,14.750207358288536,90.0,True,3.0,0.0,0.0,0.0,12.1,1.12,9.2,3.5,2.69,medium,medium,medium,medium,low,,0.0,,0.0,0.0,1.0,0.0,0.0,,,,,,ガスルクス(い富世、鼎勹本余負′。異O—.5,1.2000000000000002,5.0,8.012940685045947,71.96201913859126,1.0,1.076,10.581456354590683,30.89937939956737,0.3055555555555556,0,,,0.0,0.4944444444444444,45,0.9777777777777776,2,0.5777777777777777,39,0.3333333333333333,61,0.6555555555555556,17,0.2666666666666666,67,0.5111111111111111,45,0.5333333333333333,43,0.3166666666666666,62,0.2777777777777778,42,0.5165,42,中間型,5
2981.T,ランディックス,32,0.8770982433311646,不動産業,101.33963750985026,41.02564102564104,0.908190130993324,16.78929765886288,24.29289853774302,95.0,True,1.0,0.0,0.0,0.0,6.5,1.17,17.9,6.4,2.33,medium,medium,medium,medium,low,,3.0,122269.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,。和工利光第健光瞽ーシ英ー田田野ー【工蔭す本余負′18東ー,0.4,0.0,11.92273690078038,75.83982544726288,0.0,0.932,3.982051282051284,36.7805927257638,0.8333333333333334,0,,,0.0,0.3277777777777778,55,0.2555555555555555,52,0.9777777777777776,3,0.7666666666666667,22,0.2611111111111111,50,0.2,73,0.1777777777777777,75,0.9333333333333332,7,0.8277777777777777,16,0.2777777777777778,42,0.5133888888888889,43,安定進捗型,18
8544.T,京葉銀行,43,0.8673845152895252,銀行業,111.97452229299364,23.902439024390244,0.8451335902246415,30.623020063357977,14.987769136165884,95.0,True,1.0,0.0,0.0,1.0,8.5,5.0,4.0,0.2,3.8,medium,medium,medium,medium,low,,2.0,181818.0,0.0,0.0,1.0,0.0,0.0,,,,,,".5.55東書2→ー龕供6安材4【株式】&【株ド気リ本マスタイ務く3>・..乢710社職員、己本,一日本カスト余4ローは「第1",0.4,2.0,4.10304347826087,73.47691813055243,2.0,3.52,7.212195121951219,25.68768372833337,0.4565217391304347,0,,,0.0,0.3277777777777778,55,0.7388888888888889,17,0.1111111111111111,81,0.5,46,0.8944444444444445,5,0.7333333333333333,25,0.4111111111111111,54,0.1555555555555555,77,0.45,50,0.2777777777777778,42,0.5075000000000001,44,業績急伸型,21
8392.T,大分銀行,51,0.8626024723487312,銀行業,110.37277147487843,31.218274111675125,0.7365582532344606,27.38292011019283,16.16293272912471,75.0,True,0.0,0.0,0.0,0.0,5.8,5.0,3.5,0.2,4.36,medium,medium,medium,medium,low,,4.0,8353.0,0.0,0.0,1.0,0.0,1.0,,,,,,"(OA【株式】&6【株ド日マスターl,田牛務く3>日-カストデ・..繝,物社行員、己本7日本生命く企績ー貶JPモルガこ",6.708024012187456,1.0,5.161086956521739,67.47125686121811,1.0,1.7440000000000002,15.977501949246436,23.72181151785185,0.9130434782608696,14,32.86693346874951,100.0,44.7201600812497,0.7055555555555556,27,0.5555555555555556,33,0.2222222222222222,71,0.1333333333333333,79,0.6555555555555556,17,0.4611111111111111,49,0.7444444444444445,24,0.0777777777777777,84,0.9111111111111112,9,0.8,18,0.4989444444444445,45,業績急伸型,22
1965.T,テクノ菱和,76,0.844281067013663,建設業,145.92592592592592,30.52631578947369,0.8388076945138092,38.52071005917159,19.832335592171766,40.0,True,1.0,0.0,0.0,0.0,9.5,1.31,14.21,9.1,,medium,medium,medium,medium,missing,,2.0,331818.0,0.0,0.0,0.0,0.0,0.0,,,,,,-み名明藜・ー2本余「′1,0.4,3.0,10.5125,62.106098490772006,2.0,0.0,8.542105263157897,28.88557694513809,0.7,0,,,0.0,0.3277777777777778,55,0.8777777777777778,8,0.8444444444444444,15,0.0222222222222222,89,0.8944444444444445,5,0.0388888888888888,85,0.4777777777777778,48,0.4222222222222222,53,0.6888888888888889,29,0.2777777777777778,42,0.4976111111111111,46,中間型,6
6745.T,ホーチキ,98,0.8297267404033833,電気機器,74.11764705882354,25.039872408293466,0.8145366290756694,20.46142208774584,15.344905707486642,100.0,True,3.0,0.0,0.0,0.0,9.9,1.2,13.7,8.5,2.8,medium,medium,medium,medium,low,,2.0,277381818.0,0.0,0.0,0.0,0.0,0.0,,,,,,己一ア価-ノ-Oルタト業再イ物-愈従アテー本余負′1。異4・7冊53ー,1.2000000000000002,3.0,9.792142857142858,72.3528554349548,0.0,1.12,6.503189792663477,32.84350079115292,0.4285714285714285,0,,,0.0,0.4944444444444444,45,0.8777777777777778,8,0.7777777777777778,21,0.3777777777777777,57,0.2611111111111111,50,0.2888888888888888,65,0.3666666666666666,58,0.7333333333333333,25,0.4277777777777777,52,0.2777777777777778,42,0.4948333333333333,47,安定進捗型,19
6814.T,古野電気,72,0.8471502927781392,電気機器,207.277628032345,52.35531628532974,0.7089015828340703,35.55178268251274,24.42004428399217,75.0,True,0.0,0.0,0.0,0.0,9.7,1.21,17.23,9.31,3.98,medium,medium,medium,medium,low,,1.0,282823222222.0,0.0,0.0,2.0,1.0,0.0,,,0.0,,,ー野里Ⅲ本余負′1,7.285690705485512,0.0,11.132357142857142,67.91995123767738,0.0,1.592,16.33124314530223,31.55505868548356,0.5714285714285714,10,39.285452283172354,100.0,48.57127136990341,0.8388888888888889,14,0.2555555555555555,52,0.9111111111111112,9,0.1555555555555555,77,0.2611111111111111,50,0.3888888888888889,56,0.7888888888888889,20,0.5888888888888889,38,0.5388888888888889,42,0.9,8,0.4940555555555555,48,業績急伸型,23
3449.T,テクノフレックス,17,0.8926415094339623,金属製品,100.55197792088316,28.60465116279069,0.7885460107981577,9.745390693590872,11.858350971909852,100.0,True,0.0,0.0,0.0,0.0,12.1,1.02,5.7,3.7,4.18,medium,medium,medium,medium,low,,1.0,2626262222.0,0.0,0.0,0.0,0.0,0.0,,,,,,一ー會ト饕降錬、イ畍島スうト功島ノ野島劇前木甼前事へ奈本余負e.aR明ート月-異14.ー→,0.0,2.0,7.571572041752024,74.24618266020849,1.0,1.672,5.388372093023255,31.91909064158805,0.3055555555555556,0,,,0.0,0.1277777777777777,69,0.7388888888888889,17,0.4777777777777778,48,0.6222222222222222,35,0.6555555555555556,17,0.4,55,0.2666666666666666,67,0.6555555555555556,32,0.3166666666666666,62,0.2777777777777778,42,0.4825,49,安定進捗型,20
7245.T,大同メタル工業,64,0.8524365647364998,輸送用機器,90.11627906976744,50.99236641221374,0.7016479851757208,17.73584905660377,20.689972044892453,100.0,True,1.0,0.0,0.0,0.0,8.5,0.41,3.0,1.4,3.82,medium,medium,medium,medium,low,,16.0,522766.19375,0.0,0.0,2.0,0.0,1.0,,,0.0,,,株本聹)聹-.-本一本余「′76,0.4,1.0,7.36308176100629,73.44099839422702,1.0,1.528,7.079389312977099,28.311408153644003,0.6833333333333333,0,,,0.0,0.3277777777777778,55,0.5555555555555556,33,0.4444444444444444,51,0.4888888888888889,47,0.6555555555555556,17,0.3777777777777777,57,0.4,55,0.3888888888888889,56,0.6666666666666666,31,0.2777777777777778,42,0.4817222222222223,50,中間型,7
8366.T,滋賀銀行,53,0.8612817176317502,銀行業,82.69720101781171,13.758389261744972,0.942081151197268,22.363636363636363,12.06151268642639,70.0,True,2.0,0.0,0.0,2.0,13.9,2.0,4.0,0.2,,medium,medium,medium,medium,missing,,15.0,6241904.602,0.0,0.0,2.0,0.0,1.0,,,0.0,,,"・5東行、56800)骼→ー龕材42乢安【株式】&【株ド物I.(自己日マスター務く3>立7,7日己・本Ⅷ0第田生き比5日本カストステート・スく企績紐ラスト新ローは「第1",6.856896551724137,1.0,3.823913043478261,70.22091248382307,2.0,3.0,16.395498727146496,25.96332798101089,0.0869565217391304,3,31.46551724137932,100.0,40.37931034482759,0.7444444444444445,24,0.5555555555555556,33,0.0888888888888888,83,0.2222222222222222,71,0.8944444444444445,5,0.7,27,0.8,19,0.2111111111111111,72,0.0555555555555555,86,0.6666666666666666,31,0.4786666666666667,51,業績急伸型,24
5592.T,くすりの窓口,66,0.8522901756668836,情報・通信業,90.07142857142858,25.78796561604584,0.9487203539071356,15.377176015473893,28.072739514425905,60.0,True,2.0,0.0,0.0,0.0,13.0,3.44,27.5,16.7,,medium,medium,medium,medium,missing,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,な3→な冊東⑥07【株式】&【株ドNEヘル:イ澱資任務く3>NEPARKー久7SBIイノベ己・本民4ド}ー【指等】>Ⅷレ、木,7.381896551724138,1.0,9.91228239845261,67.75563256741177,0.0,0.0,15.232864835490563,32.40484054745305,0.375,15,31.46551724137932,100.0,43.87931034482759,0.8944444444444445,10,0.5555555555555556,33,0.7888888888888889,20,0.1444444444444444,78,0.2611111111111111,50,0.0388888888888888,85,0.7,28,0.6777777777777778,30,0.3555555555555555,59,0.7722222222222223,21,0.4734444444444445,52,中間型,8
4635.T,東京インキ,36,0.8707677293428757,化学,112.27810650887574,69.6969696969697,0.8204016725747794,19.532163742690056,27.36494555272564,75.0,True,0.0,0.0,0.0,0.0,7.8,5.0,4.4,2.3,5.02,medium,medium,medium,medium,low,,17.0,1432538.0594705883,0.0,0.0,0.0,0.0,0.0,,,,,,"′ー日公,自自大明共水(本余負′5貶5冊⑤ー",0.0,1.0,5.460116959064328,74.03919837151486,1.0,2.0,7.875757575757576,25.89239099475364,0.8166666666666667,0,,,0.0,0.1277777777777777,69,0.5555555555555556,33,0.2555555555555555,68,0.5888888888888889,38,0.6555555555555556,17,0.5611111111111111,37,0.4333333333333333,52,0.1888888888888888,74,0.8055555555555556,18,0.2777777777777778,42,0.4710555555555556,53,業績急伸型,25
7350.T,おきなわフィナンシャルグループ,87,0.8391346779440468,銀行業,84.97670807453417,25.6910569105691,0.7246584360883388,26.67649226234341,12.579124579124578,70.0,True,2.0,0.0,0.0,5.0,6.5,5.0,5.1,0.3,4.34,medium,medium,medium,medium,low,,2.0,16818.0,0.0,0.0,1.0,0.0,1.0,,,,,,一ー丿価タタ自トス安貶,0.8,2.0,5.250217391304348,65.57941721510029,1.0,10.736,6.555284552845528,30.41612349131817,0.782608695652174,0,,,0.0,0.4388888888888889,49,0.7388888888888889,17,0.2333333333333333,70,0.0777777777777777,84,0.6555555555555556,17,0.9888888888888888,2,0.3777777777777777,57,0.5222222222222223,44,0.7444444444444445,24,0.2777777777777778,42,0.4673888888888889,54,安定進捗型,21
5105.T,ＴＯＹＯ ＴＩＲＥ,47,0.8646909564085881,ゴム製品,79.39168218497828,27.216828478964405,0.897594629366311,21.51628403630539,12.968382176019642,95.0,True,0.0,0.0,0.0,0.0,8.7,0.94,17.23,2.587,4.43,medium,medium,medium,medium,low,,1.0,726262628222.0,0.0,1.0,1.0,1.0,0.0,,,,,,"14.7.2.(和)書2→ー4日本マスター2務く3>日本カス己・本,2CEPLUX7",0.0,0.0,10.314900000000002,74.98590035855085,0.0,1.7719999999999998,2.1773462783171524,34.35480850046147,0.65,0,,,0.0,0.1277777777777777,69,0.2555555555555555,52,0.8,19,0.7111111111111111,27,0.2611111111111111,50,0.4888888888888889,47,0.0555555555555555,86,0.8,19,0.6333333333333333,34,0.2777777777777778,42,0.4549444444444444,55,安定進捗型,22
5016.T,ＪＸ金属,67,0.8520104098893949,非鉄金属,124.25629290617849,138.21385176184688,0.5566769607459876,32.43523316062176,38.90874119598084,100.0,True,0.0,0.0,0.0,0.0,12.7,1.2,11.0,5.3,1.88,medium,medium,medium,medium,low,,17.0,179447170.29411766,0.0,0.0,1.0,1.0,0.0,,,,,,"8カ(OA)4完全「会ー3東②ENEOSHー7新ステート・ス}務く03>スト乢,Pクライア己・本5R7BNYM・乢景き比4Gに・プラ,利去会00,0、日本=タイー「1ー9ノムラt•4【指等】く07>",0.0,0.6000000000000001,7.873333333333333,82.26141394227976,0.0,0.752,11.537108140947751,25.89770294079321,0.2666666666666666,0,,,0.0,0.1277777777777777,69,0.4444444444444444,51,0.5666666666666667,40,1.0,1,0.2611111111111111,50,0.1555555555555555,77,0.5333333333333333,43,0.2,73,0.2555555555555555,68,0.2777777777777778,42,0.4496111111111111,56,業績急伸型,26
7235.T,東京ラヂエーター製造,45,0.866096291476903,輸送用機器,96.52173913043478,41.30434782608696,0.7878366364536977,27.979797979797983,17.42142432664932,100.0,True,2.0,1.0,0.0,0.0,6.7,5.0,6.8,4.3,5.11,medium,medium,medium,medium,low,,1.0,33333.0,1.0,0.0,0.0,0.0,0.0,,,,,,43東⑤6ト【株式】&【株ド物社(自ー務く3>いす自安き比リ色降74【指等】>みすほ,0.4,0.0,6.634444444444445,74.84234017814262,0.0,2.0,4.004347826086957,27.04325525342587,0.8722222222222222,0,,,0.0,0.3277777777777778,55,0.2555555555555555,52,0.3666666666666666,58,0.6888888888888889,29,0.2611111111111111,50,0.5611111111111111,37,0.1888888888888888,74,0.2888888888888888,65,0.8888888888888888,11,0.2777777777777778,42,0.4460555555555555,57,安定進捗型,23
7110.T,クラシコム,20,0.8866232921275212,小売業,99.48805460750852,40.56603773584906,0.8578949014984563,12.023898431665426,20.055000981577923,100.0,True,1.0,1.0,0.0,2.0,20.6,2.07,16.6,14.0,1.79,medium,medium,medium,medium,low,,1.0,7777777.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,".8な貶(14mOA務くI>日本カストア5町8ゴールドマン本4,ー)アカウ龕・安き比ゴールマ:,。唖,~ザ外ラ144ⅱ43【指等】のsBー梦",0.0,0.0,9.039832379055678,76.10297035940823,0.0,4.716,3.2452830188679247,36.4098792946294,0.1111111111111111,0,,,0.0,0.1277777777777777,69,0.2555555555555555,52,0.6888888888888889,29,0.8111111111111111,18,0.2611111111111111,50,0.8333333333333334,16,0.1222222222222222,80,0.9222222222222224,8,0.1,82,0.2777777777777778,42,0.4442777777777778,58,安定進捗型,24
1803.T,清水建設,33,0.8757254391672089,建設業,114.68222043443284,28.6421280544386,0.9371194935192564,18.25262444971216,16.153660643505727,90.0,True,0.0,0.0,0.0,0.0,14.3,1.25,7.6,13.0,5.0,medium,medium,medium,medium,low,,14.0,17167990.5,0.0,1.0,1.0,0.0,0.0,,,,,,"な冊東6ト龕【株式】&【株ドドスタイ務く3>・..2,,行一日本カズー己本,076利去会04【指等】>富生命価ローは「第1凱8安74",0.0,0.0,7.794737555028784,74.82894265740559,1.0,2.0,3.791370244355088,32.34502177795134,0.2,0,,,0.0,0.1277777777777777,69,0.2555555555555555,52,0.5222222222222223,44,0.6777777777777778,30,0.6555555555555556,17,0.5611111111111111,37,0.1555555555555555,77,0.6666666666666666,31,0.2166666666666666,71,0.2777777777777778,42,0.4370555555555555,59,安定進捗型,25
5352.T,黒崎播磨,85,0.8401691607026675,ガラス・土石製品,65.4075546719682,24.471299093655595,0.7700330375287775,25.92190889370932,10.533523678561371,95.0,True,0.0,0.0,0.0,1.0,9.4,5.0,13.0,6.7,,medium,medium,medium,medium,missing,,1.0,30303.0,0.0,0.0,2.0,1.0,1.0,,,0.0,,,".5.4東44龕【株式】&4【株ド)7,務く3>日マスターー,日・カストディ本,7日本カスー7岡銀ー4【指等】<*3>カストデ",5.745865151286655,0.0,7.716666666666667,72.03761073048926,0.0,2.0,11.53414584630354,28.400330375287776,0.5333333333333333,2,28.842946125407288,100.0,38.30576767524437,0.6,37,0.2555555555555555,52,0.5111111111111111,45,0.3444444444444444,60,0.2611111111111111,50,0.5611111111111111,37,0.5222222222222223,44,0.4,55,0.5111111111111111,45,0.6444444444444445,33,0.4336666666666666,60,業績急伸型,27
8515.T,アイフル,70,0.8485426154847104,その他金融業,73.6024844720497,18.24644549763033,0.8440125884723928,18.69918699186992,9.637488051901151,85.0,True,2.0,1.0,0.0,1.0,7.8,5.0,10.8,1.6,,medium,medium,medium,medium,missing,,4.0,14682.5,0.0,1.0,0.0,1.0,0.0,,,,,,"ー冊→4完全信、東龕97、444割AM(ー新田光務く3>体マスタヨ乢8,4己・本7,叨世モルガこMSIP4ラ利去会0久00リティー8有ー「1,6日本カスー",6.077770748372152,0.8,7.003414634146342,71.24774587125468,-1.0,2.0,12.262666887097346,29.53905271399222,0.8166666666666667,2,28.086341648579477,100.0,37.85180498914768,0.6111111111111112,36,0.4555555555555555,50,0.4222222222222222,53,0.3,64,0.0333333333333333,86,0.5611111111111111,37,0.5444444444444444,42,0.4666666666666667,49,0.8055555555555556,18,0.6333333333333333,34,0.4328888888888889,61,中間型,9
8359.T,八十二銀行,39,0.8692192582953805,銀行業,69.90291677311622,31.016949152542384,0.8340158185776251,26.40967956843904,15.165533164545,95.0,True,1.0,0.0,0.0,0.0,10.5,5.0,4.6,0.4,4.38,medium,medium,medium,medium,low,,6.0,5537.666666666667,0.0,0.0,1.0,0.0,0.0,,,,,,"【株式】&【株ドリ本マスタ5務く3>日-カスー己本,日本生命価安東龕7ト8724く企績&一世モルガこ",7.108024012187456,0.0,3.571304347826086,74.22734727554835,0.0,1.752,14.361395952515815,23.574192968384946,0.1956521739130435,14,32.86693346874951,100.0,44.7201600812497,0.8,19,0.2555555555555555,52,0.0444444444444444,87,0.6111111111111112,36,0.2611111111111111,50,0.4777777777777778,48,0.6555555555555556,32,0.0555555555555555,86,0.1944444444444444,73,0.8,18,0.4305555555555555,62,業績急伸型,28
8360.T,山梨中央銀行,22,0.884281067013663,銀行業,115.9273115980759,27.995207667731627,0.8678182210514259,31.71861836562764,14.879584274222966,75.0,True,2.0,0.0,0.0,2.0,8.9,5.0,3.5,0.2,,medium,medium,medium,medium,missing,,2.0,31818.0,0.0,1.0,1.0,2.0,0.0,,,,0.0,,.ス職スドウ牛株体Ⅲ社村会ル日野ノ07,0.8,2.0,3.720652173913044,70.74892745825576,1.0,3.0,6.73961661341853,24.361732935151934,0.3478260869565217,0,,,0.0,0.4388888888888889,49,0.7388888888888889,17,0.0666666666666666,85,0.2444444444444444,69,0.6555555555555556,17,0.7,27,0.3888888888888889,56,0.0888888888888888,83,0.3444444444444444,60,0.2777777777777778,42,0.4222777777777778,63,業績急伸型,29
7030.T,スプリックス,75,0.8454456733897201,サービス業,54.42477876106195,29.31985294117647,0.8738621880512494,18.17279046673287,13.469854075116702,100.0,True,1.0,0.0,0.0,0.0,22.9,1.96,5.2,1.0,3.45,medium,medium,medium,medium,low,,2.0,11.5,0.0,0.0,1.0,0.0,0.0,,,,,,・ツーー野石従(【常中獰本余負′安呱術ー37e.aRー8,0.4,2.0,3.832720953326713,75.85932392862694,0.0,1.38,4.645588235294118,25.517328931157977,0.2,0,,,0.0,0.3277777777777778,55,0.7388888888888889,17,0.1,82,0.7777777777777778,21,0.2611111111111111,50,0.3333333333333333,61,0.2333333333333333,70,0.1444444444444444,78,0.2166666666666666,71,0.2777777777777778,42,0.4221666666666667,64,業績急伸型,30
8002.T,丸紅,100,0.8280026024723488,卸売業,83.51602023608768,27.958477508650525,0.7220947142215399,24.357736140621977,12.471380720205534,100.0,True,0.0,0.0,0.0,0.0,9.2,1.31,14.21,13.374,3.5,medium,medium,medium,medium,low,,23.0,64569.74043478261,1.0,1.0,1.0,1.0,1.0,,,,,,"27.82冊東47齎龕日本マスろパーセン7第件0安(84務く03>BNYM・0,乢4本3,日本カスーを本比鵯【指等】く07>ステートストj好ー2,,例0みすほ銀ー2,42世モル野ン",0.0,0.0,10.489166666666666,71.58657320702861,1.0,1.4,3.736678200692042,31.658054636903444,0.5833333333333334,0,,,0.0,0.1277777777777777,69,0.2555555555555555,52,0.8333333333333334,16,0.3222222222222222,62,0.6555555555555556,17,0.3444444444444444,60,0.1444444444444444,78,0.6111111111111112,36,0.5611111111111111,40,0.2777777777777778,42,0.4197222222222222,65,安定進捗型,26
8345.T,岩手銀行,59,0.8587898503578398,銀行業,87.25243068059056,27.33224222585924,0.7729692422225367,27.00305810397553,14.377929673189325,70.0,True,0.0,0.0,0.0,3.0,6.7,5.0,3.6,0.2,4.62,medium,medium,medium,medium,low,,2.0,31818.0,0.0,2.0,1.0,0.0,1.0,,0.0,,,,"【株式】&4【株ド)7,日本マスター務く3>日-カストア・.3,皿7QR7アン安東龕3ー4",6.834151472650772,0.0,4.661304347826087,67.15979410262382,0.0,6.848,13.576831832486691,27.3498605381674,0.6956521739130435,15,34.26834969611969,100.0,45.56100981767182,0.7277777777777777,25,0.2555555555555555,52,0.1666666666666666,76,0.1111111111111111,81,0.2611111111111111,50,0.9777777777777776,3,0.6,37,0.3111111111111111,63,0.6777777777777778,30,0.8333333333333334,15,0.4178333333333333,66,業績急伸型,31
