ティッカー,銘柄名,元ランキング順位,元ランキングスコア,sector,年間上昇率,四半期上昇率,上昇トレンド滑らかさ,最大下落率,月間高安騰落率平均,20日移動平均維持率,画像有無,OCR好材料語数,OCR悪材料語数,OCRテーマ語数,OCR株主還元語数,OCR予想PER,OCRPBR,OCRROE,OCRROA,OCR総利回り,OCR予想PER信頼度,OCRPBR信頼度,OCRROE信頼度,OCRROA信頼度,OCR総利回り信頼度,OCR配当金ヒント,OCR業績表数値数,OCR業績表数値平均,売上系列点数,営業利益系列点数,純利益系列点数,EPS系列点数,配当系列点数,売上トレンド,営業利益トレンド,純利益トレンド,EPSトレンド,配当トレンド,theme_text_compact,特色事業スコア生値,記事スコア生値,財務スコア生値,チャートスコア生値,業績スコア生値,配当還元スコア生値,業績急伸型スコア生値,安定進捗型スコア生値,sector_adjusted_per_score_raw,theme_peer_count,theme_peer_median_quarter_return_pct,theme_peer_positive_ratio_pct,theme_peer_signal_raw,特色事業スコア,特色事業順位,記事スコア,記事順位,財務スコア,財務順位,チャートスコア,チャート順位,業績スコア,業績順位,配当還元スコア,配当還元順位,業績急伸型スコア,業績急伸型順位,安定進捗型スコア,安定進捗型順位,sector_adjusted_per_score,sector_adjusted_per_score_rank,theme_peer_signal,theme_peer_signal_rank,四季報総合スコア,四季報総合順位,OCR型分類,型内順位
7932.T,ニッピ,81,0.842153545868575,その他製品,139.40972222222223,18.32061068702291,0.7368083468082753,19.855305466237937,11.012648477049463,70.0,True,3.0,0.0,0.0,3.0,10.8,0.7,6.3,2.5,1.0,medium,medium,medium,medium,low,,1.0,33333.0,1.0,0.0,0.0,0.0,1.0,,,,,,"【リ大出石内""みみ家(本余負′りよ←ー東7",8.364320388349514,3.0,7.109469453376206,64.56480264979284,1.0,5.4,19.40618283554436,30.02738571888661,0.4,1,45.436893203883486,100.0,47.76213592233009,0.9444444444444444,6,0.8777777777777778,8,0.4333333333333333,52,0.0666666666666666,85,0.6555555555555556,17,0.9111111111111112,9,0.8888888888888888,11,0.5111111111111111,45,0.4,54,0.8666666666666667,13,0.5958888888888889,25,業績急伸型,11
8367.T,南都銀行,61,0.8566297983083931,銀行業,85.09316770186335,22.65060240963857,0.9170529749943696,28.807556080283348,14.40997924345561,70.0,True,2.0,0.0,0.0,1.0,8.4,0.45,4.6,0.2,4.779,medium,medium,medium,medium,low,,2.0,4781818.0,1.0,0.0,0.0,0.0,1.0,,,,,,".7(314OA【株式】&0【株ド日本マスター物社(自務く3>日本カスト..6,日本生命己本m,ß5第田生ローは「第14",7.634151472650772,2.0,6.943478260869566,70.77324991305215,1.0,2.9116,17.70230064718904,28.60763583690021,0.5217391304347826,15,34.26834969611969,100.0,45.56100981767182,0.9111111111111112,9,0.7388888888888889,17,0.4111111111111111,54,0.2666666666666666,67,0.6555555555555556,17,0.6555555555555556,32,0.8444444444444444,15,0.4111111111111111,54,0.5,46,0.8333333333333334,15,0.5935555555555556,26,業績急伸型,12
7013.T,ＩＨＩ,52,0.8619518542615485,機械,119.08304962724588,22.82263381983436,0.9089719222611136,25.338411802633697,24.59505240662795,15.0,True,0.0,0.0,0.0,0.0,17.7,4.4,26.31,5.0,1.0,medium,medium,medium,medium,low,,16.0,15214926.5,0.0,1.0,2.0,1.0,0.0,,,0.0,,,ロヤに・ー・&本余負′紙安,8.380835858606709,4.0,7.801428571428572,58.188124586801806,3.0,0.4,23.493870469931267,25.110290651182567,0.2857142857142857,10,51.45373176229677,100.0,55.87223905737806,0.9666666666666668,3,0.9444444444444444,5,0.5444444444444444,42,0.0111111111111111,90,0.9888888888888888,1,0.0944444444444444,82,0.9777777777777776,3,0.1222222222222222,80,0.2722222222222222,66,0.9777777777777776,1,0.5918888888888889,27,業績急伸型,13
9691.T,両毛システムズ,8,0.9060442420299284,情報・通信業,78.44660194174757,44.16,0.8956124739009153,15.46762589928058,20.57663679323439,75.0,True,1.0,0.0,0.0,2.0,7.1,0.79,11.0,6.31,4.8826,medium,medium,medium,medium,low,,3.0,7487879.666666667,0.0,1.0,0.0,0.0,0.0,,,,,,".5東⑤→ー公70カ54【株式】&冊【株ド)7本,光通信安き比脇セム鬟1084【指等】>カセイスパ:",0.4,2.0,10.965237410071945,73.57913066899505,0.0,5.95304,5.8328,38.469049784572704,1.0,0,,,0.0,0.3277777777777778,55,0.7388888888888889,17,0.8777777777777778,12,0.5222222222222223,44,0.2611111111111111,50,0.9444444444444444,6,0.3111111111111111,63,0.9888888888888888,2,0.9666666666666668,1,0.2777777777777778,42,0.5888333333333334,28,安定進捗型,12
8346.T,東邦銀行,9,0.9045478204294078,銀行業,84.64163822525596,43.51851851851851,0.8823547534759935,20.38043478260869,16.87915456029816,100.0,True,1.0,0.0,0.0,2.0,10.5,0.43,3.7,0.1,2.97,medium,medium,medium,medium,low,,4.0,1685170.25,0.0,0.0,1.0,2.0,2.0,,,,0.0,0.0,:スカ.(0ー,0.4,2.0,5.856304347826087,78.54454747921925,1.0,5.188000000000001,7.281481481481481,31.086904056499066,0.1956521739130435,0,,,0.0,0.3277777777777778,55,0.7388888888888889,17,0.3111111111111111,63,0.9444444444444444,6,0.6555555555555556,17,0.8888888888888888,11,0.4222222222222222,53,0.5666666666666667,40,0.1944444444444444,73,0.2777777777777778,42,0.5829444444444445,29,安定進捗型,13
7173.T,東京きらぼしフィナンシャルグループ,69,0.8490370852309695,銀行業,92.05298013245032,15.52,0.9253159571260786,29.49346405228757,13.066064571715604,85.0,True,0.0,0.0,0.0,1.0,4.9,5.0,8.5,0.4,,medium,medium,medium,medium,missing,,5.0,6739.0,1.0,2.0,1.0,0.0,1.0,,0.0,,,,"【株式】&6【株ドー日マスター日・カストー務く3>リ7,繝魯.本ー町9安き比5世モルガこ東龕14、位344く企績ー9ラスト新ローは「第1",6.834151472650772,1.0,6.715,72.57427737101189,1.0,1.0,14.931852454417951,27.97082623792745,1.0,15,34.26834969611969,100.0,45.56100981767182,0.7277777777777777,25,0.5555555555555556,33,0.3777777777777777,57,0.4111111111111111,54,0.6555555555555556,17,0.2444444444444444,69,0.6777777777777778,30,0.3666666666666666,58,0.9666666666666668,1,0.8333333333333334,15,0.5690555555555556,30,業績急伸型,14
8377.T,ほくほくフィナンシャルグループ,1,0.928562134027326,銀行業,137.8238341968912,39.92052023121386,0.9615796914540388,29.432960364119097,19.74389296954533,85.0,True,1.0,0.0,0.0,2.0,8.1,5.0,6.1,0.2,2.57,medium,medium,medium,medium,low,,7.0,4862.0,0.0,0.0,1.0,0.0,0.0,,,,,,"(OA)4【株式】&ー4【株ド日マスタイ日・カストデーーノーン・ト己・本ンイデ少資14,ー自社職勢ローは「第1",6.950585046889788,0.0,4.928913043478261,77.20711489320398,0.0,5.0280000000000005,14.811283363313422,28.96983459569981,0.5869565217391305,16,31.117611632108755,100.0,43.67056697926525,0.7722222222222223,21,0.2555555555555555,52,0.1888888888888888,74,0.9,10,0.2611111111111111,50,0.8777777777777778,12,0.6666666666666666,31,0.4444444444444444,51,0.5833333333333334,38,0.6944444444444444,28,0.5601111111111112,31,業績急伸型,15
8522.T,名古屋銀行,71,0.8474690956408588,銀行業,102.55813953488372,34.65909090909092,0.825870454367422,32.57211340602327,15.577558311003449,70.0,True,1.0,0.0,0.0,2.0,8.5,0.47,5.1,0.3,3.82,medium,medium,medium,medium,low,,3.0,121236.66666666669,1.0,1.0,0.0,0.0,0.0,,,,,,"虹2.8東6ト10→ー→龕6383安4【株式】&ー4【株ド気日本マスター日-生命↑務く3>Ⅳ本6,き比みすほ日-カストアく企績59ド・カン・ローは「第1",6.251070252469814,2.0,6.92804347826087,69.81217941947922,2.0,3.528,17.82451102684363,27.873119036427845,0.4565217391304347,1,30.845225027442385,100.0,39.00713501646543,0.6222222222222222,35,0.7388888888888889,17,0.4,55,0.2,73,0.8944444444444445,5,0.7444444444444445,24,0.8555555555555555,14,0.3555555555555555,59,0.45,50,0.6555555555555556,32,0.5594444444444445,32,業績急伸型,16
8524.T,北洋銀行,15,0.8946779440468445,銀行業,86.784140969163,29.238754325259507,0.8586928948690175,33.81294964028777,12.901799335495854,100.0,True,2.0,0.0,0.0,2.0,88.0,5.0,5.0,0.2,,medium,medium,medium,medium,missing,,1.0,50303.0,0.0,0.0,0.0,0.0,0.0,,,,,,"6(6597訂324【株式】&【株ド日本マスタイ一本生命務く3>第,,日-カスー己・本,繝くを物社職員ローは「第1",0.8,3.0,1.3769565217391304,76.32299760141682,2.0,2.0,9.13910034602076,21.28858112260322,0.0434782608695652,0,,,0.0,0.4388888888888889,49,0.8777777777777778,8,0.0222222222222222,89,0.8444444444444444,15,0.8944444444444445,5,0.5611111111111111,37,0.4888888888888889,47,0.0222222222222222,89,0.0333333333333333,88,0.2777777777777778,42,0.5529444444444446,33,業績急伸型,17
4838.T,スペースシャワーＳＫＩＹＡＫＩホールディングス,49,0.8636564736499674,情報・通信業,95.73934837092732,77.66990291262137,0.7918398039288413,22.088353413654616,30.98822271041039,70.0,True,1.0,0.0,0.0,0.0,12.0,1.13,4.8,1.8,2.92,medium,medium,medium,medium,low,,3.0,11118.333333333334,0.0,0.0,0.0,0.0,0.0,,,,,,導「自嚮草大裕「本余負′244⑤ー.5(4,7.685690705485512,1.0,6.48,73.23380455475844,0.0,1.168,19.856410075485563,26.10722775816392,0.625,10,39.285452283172354,100.0,48.57127136990341,0.9222222222222224,8,0.5555555555555556,33,0.3555555555555555,59,0.4666666666666667,49,0.2611111111111111,50,0.3,64,0.9111111111111112,9,0.2333333333333333,70,0.6222222222222222,35,0.9,8,0.5325555555555557,34,業績急伸型,18
