group_name,code4,n_tickers,fast_ma,slow_ma,train_return_pct,train_sharpe,train_max_dd_pct,train_win_rate_pct,train_num_trades,test_return_pct,test_sharpe,test_max_dd_pct,test_win_rate_pct,test_num_trades
卸売/産業機械,40516,22,5,25,115.51,0.262,-56.21,44.27,131.0,1.02,0.087,-17.46,38.46,26
卸売/紙・パルプ製品・他素材,40517,7,20,100,-52.09,-0.219,-65.25,27.66,47.0,-10.56,-0.597,-12.15,14.29,7
卸売/総合商社,40518,8,5,25,35.11,0.169,-70.45,40.58,138.0,60.52,0.499,-26.1,50.0,28
卸売/自動車部品,40519,5,5,25,195.75,0.3,-54.62,43.36,143.0,51.58,0.526,-36.69,39.29,28
卸売/トイレタリー・化粧品,4052,4,10,25,95.98,0.248,-33.32,42.02,119.0,-29.48,-0.624,-41.23,32.0,25
卸売/設備機器・部品,40520,14,20,25,50.72,0.192,-48.36,40.45,178.0,5.94,0.2,-43.73,44.0,25
卸売/鉄鋼,40521,7,25,75,1434.09,0.486,-42.83,56.25,32.0,68.88,0.625,-10.2,66.67,6
卸売/電子部品・産業用電子機器,40522,36,5,75,-33.41,0.023,-53.55,37.5,64.0,55.61,0.523,-14.52,43.75,16
卸売/非鉄金属・金属製品,40523,4,25,100,198.8,0.277,-48.13,58.62,29.0,27.9,0.307,-26.78,30.0,10
卸売/食品,40524,33,25,75,20.81,0.13,-33.67,51.35,37.0,62.37,0.53,-10.18,37.5,8
卸売/ヘルスケア製品・サービス,4053,18,25,100,-36.17,-0.044,-45.42,39.39,33.0,13.61,0.305,-14.1,75.0,4
卸売/事務機器,4054,7,10,100,60.66,0.18,-64.16,33.33,45.0,80.33,0.849,-0.53,66.67,6
卸売/他個人サービス・製品,4055,7,20,100,160.82,0.23,-33.02,40.48,42.0,102.54,0.615,-10.02,75.0,4
卸売/他消費財小売り,4056,3,20,25,120.51,0.275,-42.4,40.8,201.0,-5.24,0.004,-30.71,56.67,30
卸売/他産業サービス・製品,4057,9,10,75,399.47,0.21,-93.4,27.54,69.0,-52.09,-0.535,-63.33,28.57,7
卸売/住宅設備・機器,4058,11,5,25,-63.6,-0.087,-83.98,36.6,153.0,22.01,0.391,-23.49,53.85,26
卸売/倉庫・運輸サービス,4059,3,25,75,-5.62,0.058,-49.19,42.86,42.0,60.76,0.46,-8.3,50.0,6
小売業,4100,55,5,50,-0.99,0.211,-97.68,36.49,74.0,-25.27,-0.074,-46.39,20.0,15
小売/アパレル・アクセサリー,4101,4,10,25,283.05,0.26,-72.92,36.13,119.0,352.02,0.728,-27.13,44.0,25
小売/燃料・資源,41010,4,10,100,-4.47,0.077,-71.78,30.91,55.0,15.99,0.304,-14.52,44.44,9
