ticker,trades_cond1,pnl_cond1,avg_ret_cond1,trades_cond2,pnl_cond2,avg_ret_cond2,present_cond1,present_cond2,status,pnl_diff_cond2_minus_cond1
5714.T,0.0,0.0,0.0,1.0,48800.0,2.4870043828356003,False,True,only_condition2,48800.0
5697.T,0.0,0.0,0.0,1.0,48600.0,10.742705570291776,False,True,only_condition2,48600.0
7246.T,0.0,0.0,0.0,1.0,40200.0,8.121212121212128,False,True,only_condition2,40200.0
8393.T,0.0,0.0,0.0,2.0,39000.0,1.9040325575032657,False,True,only_condition2,39000.0
1938.T,0.0,0.0,0.0,1.0,19800.0,8.505154639175249,False,True,only_condition2,19800.0
8344.T,0.0,0.0,0.0,1.0,16699.000000000022,8.506833892848231,False,True,only_condition2,16699.000000000022
8600.T,0.0,0.0,0.0,1.0,7224.000000000013,9.078114004222405,False,True,only_condition2,7224.000000000013
5105.T,0.0,0.0,0.0,2.0,-16019.499999999789,-1.9850804776732067,False,True,only_condition2,-16019.499999999789
7456.T,0.0,0.0,0.0,1.0,-21000.0,-2.589395807644878,False,True,only_condition2,-21000.0
4619.T,0.0,0.0,0.0,1.0,-74382.49999999994,-5.979865461568911,False,True,only_condition2,-74382.49999999994
