"macro_confirm_min","macro_score_weight","final_capital","total_return_pct","win_rate_pct","num_roundtrips","avg_roundtrip_return_pct","max_drawdown_pct","output_dir"
"-0.1","0","2985440.0000000005","-0.4853333333333154","58.333333333333336","24","0.8864311841817805","-3.1343819667668527","projects\shikiho_text_parser\output\macro_gate_search_v2\mn0p10_w0p00"
"-0.1","0.06","2985440.0000000005","-0.4853333333333154","58.333333333333336","24","0.8864311841817805","-3.1343819667668527","projects\shikiho_text_parser\output\macro_gate_search_v2\mn0p10_w0p06"
"-0.1","0.12","2985440.0000000005","-0.4853333333333154","58.333333333333336","24","0.8864311841817805","-3.1343819667668527","projects\shikiho_text_parser\output\macro_gate_search_v2\mn0p10_w0p12"
"-0.1","0.2","2985440.0000000005","-0.4853333333333154","58.333333333333336","24","0.8864311841817805","-3.1343819667668527","projects\shikiho_text_parser\output\macro_gate_search_v2\mn0p10_w0p20"
"-0.2","0","2983090.0000000005","-0.5636666666666512","56.00000000000001","25","0.7480730063273721","-3.13677369789781","projects\shikiho_text_parser\output\macro_gate_search_v2\mn0p20_w0p00"
"-0.2","0.06","2983090.0000000005","-0.5636666666666512","56.00000000000001","25","0.7480730063273721","-3.13677369789781","projects\shikiho_text_parser\output\macro_gate_search_v2\mn0p20_w0p06"
"-0.2","0.12","2983090.0000000005","-0.5636666666666512","56.00000000000001","25","0.7480730063273721","-3.13677369789781","projects\shikiho_text_parser\output\macro_gate_search_v2\mn0p20_w0p12"
"-0.2","0.2","2983090.0000000005","-0.5636666666666512","56.00000000000001","25","0.7480730063273721","-3.13677369789781","projects\shikiho_text_parser\output\macro_gate_search_v2\mn0p20_w0p20"
"0","0","2934174.5000000005","-2.1941833333333216","50","24","0.8023985767701424","-3.8039757019490694","projects\shikiho_text_parser\output\macro_gate_search_v2\m0p00_w0p00"
"0","0.06","2934174.5000000005","-2.1941833333333216","50","24","0.8023985767701424","-3.8039757019490694","projects\shikiho_text_parser\output\macro_gate_search_v2\m0p00_w0p06"
"0","0.12","2934174.5000000005","-2.1941833333333216","50","24","0.8023985767701424","-3.8039757019490694","projects\shikiho_text_parser\output\macro_gate_search_v2\m0p00_w0p12"
"0","0.2","2934174.5000000005","-2.1941833333333216","50","24","0.8023985767701424","-3.8039757019490694","projects\shikiho_text_parser\output\macro_gate_search_v2\m0p00_w0p20"
"0.05","0","2934174.5000000005","-2.1941833333333216","50","24","0.8023985767701424","-3.8039757019490694","projects\shikiho_text_parser\output\macro_gate_search_v2\m0p05_w0p00"
"0.05","0.06","2934174.5000000005","-2.1941833333333216","50","24","0.8023985767701424","-3.8039757019490694","projects\shikiho_text_parser\output\macro_gate_search_v2\m0p05_w0p06"
"0.05","0.12","2934174.5000000005","-2.1941833333333216","50","24","0.8023985767701424","-3.8039757019490694","projects\shikiho_text_parser\output\macro_gate_search_v2\m0p05_w0p12"
"0.05","0.2","2934174.5000000005","-2.1941833333333216","50","24","0.8023985767701424","-3.8039757019490694","projects\shikiho_text_parser\output\macro_gate_search_v2\m0p05_w0p20"
