date,nikkei_phase,table_key,equity
2024-07-01,stable,standard,2999757.5
2024-07-02,uptrend,standard,2999754.5
2024-07-03,uptrend,standard,3035254.5
2024-07-04,uptrend,standard,3012154.5
2024-07-05,uptrend,standard,2959554.5
2024-07-08,uptrend,standard,3087654.5
2024-07-09,uptrend,standard,3076454.5
2024-07-10,uptrend,standard,3078154.5
2024-07-11,uptrend,standard,3056804.5
2024-07-12,normal,standard,3036737.751953125
2024-07-16,overheated_range,standard,3012904.5
2024-07-17,normal,standard,3040571.248046875
2024-07-18,high_vol,high_vol,3037737.751953125
2024-07-19,normal,standard,3016137.8740234375
2024-07-22,high_vol,high_vol,2960101.8740234375
2024-07-23,high_vol,high_vol,2969901.8740234375
2024-07-24,normal,standard,2944064.3740234375
2024-07-25,normal,standard,2941164.3740234375
2024-07-26,normal,standard,2953164.3740234375
2024-07-29,crash,high_vol,2948164.3740234375
2024-07-30,crash,high_vol,2948164.3740234375
2024-07-31,high_vol,high_vol,2991553.3740234375
2024-08-01,crash,high_vol,2933289.3740234375
2024-08-02,crash,high_vol,2933289.3740234375
2024-08-05,crash,high_vol,2933289.3740234375
2024-08-06,crash,high_vol,2933289.3740234375
2024-08-07,crash,high_vol,2933289.3740234375
2024-08-08,crash,high_vol,2933289.3740234375
2024-08-09,crash,high_vol,2933289.3740234375
2024-08-13,capitulation_end,intermediate,2933289.3740234375
2024-08-14,capitulation_end,intermediate,2933289.3740234375
2024-08-15,crash,high_vol,2933289.3740234375
2024-08-16,high_vol,high_vol,2933289.3740234375
2024-08-19,high_vol,high_vol,2933289.3740234375
2024-08-20,high_vol,high_vol,2933289.3740234375
2024-08-21,high_vol,high_vol,2933289.3740234375
2024-08-22,high_vol,high_vol,2933289.3740234375
2024-08-23,high_vol,high_vol,2933289.3740234375
2024-08-26,high_vol,high_vol,2933289.3740234375
2024-08-27,high_vol,high_vol,2933289.3740234375
2024-08-28,high_vol,high_vol,2933289.3740234375
2024-08-29,high_vol,high_vol,2933289.3740234375
2024-08-30,normal,standard,2933289.3740234375
2024-09-02,normal,standard,2914923.3740234375
2024-09-03,normal,standard,2926723.3740234375
2024-09-04,high_vol,high_vol,2897506.8740234375
2024-09-05,high_vol,high_vol,2901806.8740234375
2024-09-06,crash,high_vol,2931706.8740234375
2024-09-09,crash,high_vol,2931706.8740234375
2024-09-10,crash,high_vol,2931706.8740234375
2024-09-11,high_vol,high_vol,2909306.8740234375
2024-09-12,high_vol,high_vol,2915706.8740234375
2024-09-13,high_vol,high_vol,2912506.8740234375
2024-09-17,high_vol,high_vol,2930106.8740234375
2024-09-18,high_vol,high_vol,2930106.8740234375
2024-09-19,high_vol,high_vol,2905306.8740234375
2024-09-20,high_vol,high_vol,2910906.8740234375
2024-09-24,high_vol,high_vol,2894106.8740234375
2024-09-25,high_vol,high_vol,2872739.3740234375
2024-09-26,surge,standard,2874839.3740234375
2024-09-27,surge,standard,2874839.3740234375
2024-09-30,high_vol,high_vol,2967911.3740234375
