Date,phase_name,ret5,dd20,vol10,major_crash,post_major_crash_mode
2021-03-17,normal,,,,False,False
2021-03-18,normal,,,,False,False
2021-03-19,normal,,,,False,False
2021-03-22,normal,,,,False,False
2021-03-23,normal,-0.0309203283271531,,,False,False
2021-03-24,normal,-0.0504377180747338,,,False,False
2021-03-25,normal,-0.0492067856610985,,,False,False
2021-03-26,normal,-0.0206548910317808,,,False,False
2021-03-29,normal,0.0072108060666129,,,False,False
2021-03-30,normal,0.015063474380252,,0.0132626543435768,False,False
2021-03-31,normal,0.0272229222616147,,0.0134333643225423,False,False
2021-04-01,normal,0.0229373830151113,,0.0131608887813863,False,False
2021-04-02,normal,0.0232137561611061,,0.0136774321727055,False,False
2021-04-05,settling,0.0239830523007371,,0.0116282078916637,False,False
2021-04-06,normal,0.0089672931002149,,0.0124223782600868,False,False
2021-04-07,normal,0.0189174423372704,,0.0095652339640018,False,False
2021-04-08,normal,0.0108922642308308,,0.0093743363639423,False,False
2021-04-09,normal,-0.0028786579059757,,0.0083447685387642,False,False
2021-04-12,normal,-0.0182962197877979,-0.0224385326433187,0.0086528023242017,False,False
2021-04-13,normal,0.0018513384863536,-0.0153934696815507,0.0089055813206838,False,False
2021-04-14,normal,-0.003693101716681,-0.0197162092423903,0.0084814337682627,False,False
2021-04-15,normal,-0.0022313460300238,-0.0148411989954884,0.0082450161302689,False,False
2021-04-16,normal,-0.0028450427973512,-0.0134892315154083,0.0063951404596306,False,False
2021-04-19,stable,0.0049642848405464,-0.0134227625937835,0.0056884019891561,False,False
2021-04-20,stable,-0.021888850025445,-0.0328645327027093,0.0073565981858501,False,False
2021-04-21,reversal_down,-0.0375557820424929,-0.0525336862417641,0.0092326434841143,False,False
2021-04-22,normal,-0.0153332757464111,-0.0299469105452944,0.0128172291498991,False,False
2021-04-23,normal,-0.0223269224632243,-0.0355149809524996,0.0128035619895509,False,False
2021-04-26,normal,-0.0188354966793997,-0.0320054348729197,0.0127903935628926,False,False
2021-04-27,normal,-0.0037281379545948,-0.0364701471455752,0.0124554096594686,False,False
2021-04-28,normal,0.0191318010536587,-0.0344069492218981,0.0125171665628956,False,False
