ticker,company_name,market,simple_sector,sector,feature_summary,segment_summary,flags,headline_positive_count,headline_negative_count,headline_score_raw,shikiho_score_overall,score_growth,score_profitability,score_safety,score_undervalued,score_momentum,forecast_per,actual_pbr,forecast_yield,ytd_return_text_pct,ma200_gap_pct,equity_ratio_pct,sales_growth_pct,op_growth_pct,np_growth_pct,eps_growth_pct,div_growth_pct,annual_return_pct,quarter_return_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,persistence_20d_pct,year_end_close,sector_33,sector_adjusted_per_score,fundamental_score,price_score,valuation_score,promising_score,selected,selection_reason,source_quarter,learning_date,training_cutoff_date,ocr_style_label,image_file,realized_return_pct
7131.T,のむら産業,,卸売業,卸売業,,,,0,0,0.0,3.0,3.9071789300715642,1.7956857822410148,1.7956857822410148,3.9186851211072664,3.6929335491473463,8.0,8.0,8.0,36.757425742574256,,,,,,,,36.757425742574256,15.828092243186576,0.6009538129327078,-22.550467749876912,58.333333333333336,60.0,2210.0,卸売業,0.7837370242214533,0.359137156448203,0.7814357860143128,0.7837370242214533,0.7385867098294693,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,中間型,2714.png,59.85130111524164
1909.T,日本ドライケミカル,,機械,機械,,,,0,0,0.0,3.0,4.695560445858484,3.118657505285412,3.118657505285412,4.593023255813954,4.626774051001574,7.9,7.9,7.9,97.5497702909648,,,,,,,,97.5497702909648,27.881040892193298,0.8121091406078782,-26.37768817204301,66.66666666666666,100.0,5160.0,機械,0.9186046511627908,0.6237315010570824,0.9391120891716968,0.9186046511627908,0.9253548102003148,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,業績急伸型,205.png,55.078125
2216.T,カンロ,,食料品,食料品,,,,0,0,0.0,3.0,4.722096862935928,2.0942785412262155,2.0942785412262155,2.4380165289256195,4.548586857966354,17.3,17.3,17.3,93.2010184932662,,,,,,,,93.2010184932662,36.16071428571428,0.7596541201097964,-20.879487712817845,75.0,100.0,1525.0,食料品,0.4876033057851239,0.4188557082452431,0.9444193725871854,0.4876033057851239,0.9097173715932708,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,業績急伸型,328.png,53.05989583333333
6332.T,月島ホールディングス,,機械,機械,,,,0,0,0.0,3.0,4.323223241307719,3.0246432346723044,3.0246432346723044,3.0697674418604652,4.358110787942888,11.6,11.6,11.6,51.42247510668562,,,,,,,,51.42247510668562,24.50292397660818,0.7075887662168134,-26.315789473684216,66.66666666666666,75.0,2129.0,機械,0.6139534883720931,0.6049286469344609,0.8646446482615437,0.6139534883720931,0.8716221575885775,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,業績急伸型,2252.png,42.4345295829292
2981.T,ランディックス,,不動産業,不動産業,,,,0,0,0.0,3.0,4.197880272974354,2.9534553382663846,2.9534553382663846,4.041353383458647,4.313172639285008,6.5,6.5,6.5,45.63526361279171,,,,,,,,45.63526361279171,16.811091854419402,0.753938076305749,-26.279447603574337,75.0,60.0,1685.0,不動産業,0.8082706766917294,0.590691067653277,0.8395760545948707,0.8082706766917294,0.8626345278570016,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,中間型,636.png,41.02564102564104
1980.T,ダイダン,,建設業,建設業,,,,0,0,0.0,3.0,4.250284359931265,2.9870507399577164,2.9870507399577164,3.235294117647059,4.375602064636875,10.2,10.2,10.2,44.31818357465407,,,,,,,,44.31818357465407,19.81132140656987,0.7790712780724647,-25.63077014607985,66.66666666666666,65.0,1481.6666259765625,建設業,0.6470588235294118,0.5974101479915432,0.850056871986253,0.6470588235294118,0.8751204129273751,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,中間型,247.png,37.55555013020832
6644.T,大崎電気工業,,電気機器,電気機器,,,,0,0,0.0,3.0,4.4057427185130855,3.078356236786469,3.078356236786469,3.4140969162995596,4.370955024523642,11.3,11.3,11.3,40.40995607613469,,,,,,,,40.40995607613469,19.27860696517413,0.7096273649517937,-27.160493827160494,66.66666666666666,100.0,959.0,電気機器,0.6828193832599119,0.6156712473572938,0.8811485437026171,0.6828193832599119,0.8741910049047283,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,中間型,2445.png,31.352459016393453
1885.T,東亜建設工業,,建設業,建設業,,,,0,0,0.0,3.0,4.4235706782042,3.037691596194503,3.037691596194503,3.7058823529411766,4.5162107590981195,9.4,9.4,9.4,50.69721115537848,,,,,,,,50.69721115537848,16.653816499614503,0.8419830045002864,-23.394055608820707,75.0,85.0,1513.0,建設業,0.7411764705882353,0.6075383192389006,0.88471413564084,0.7411764705882353,0.903242151819624,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,安定進捗型,193.png,30.01864512119328
5482.T,愛知製鋼,,鉄鋼,鉄鋼,,,,0,0,0.0,3.0,4.537822194231494,2.8115750528541223,2.8115750528541223,1.794871794871795,4.541119431310884,12.4,12.4,12.4,133.55191256830602,,,,,,,,133.55191256830602,21.94008559201141,0.9275265256782568,-26.440217391304344,66.66666666666666,75.0,2137.0,鉄鋼,0.358974358974359,0.5623150105708244,0.9075644388462988,0.358974358974359,0.9082238862621768,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,業績急伸型,1886.png,29.08481073310973
4221.T,大倉工業,,化学,化学,,,,0,0,0.0,3.0,4.332252603715385,2.0280457188160677,2.0280457188160677,3.914634146341464,4.466281235920008,9.2,9.2,9.2,52.56637168141594,,,,,,,,52.56637168141594,10.796915167095111,0.8059167123262334,-22.48756218905472,83.33333333333334,90.0,4310.0,化学,0.7829268292682927,0.4056091437632135,0.8664505207430769,0.7829268292682927,0.8932562471840017,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,中間型,1313.png,28.018757327080905
1975.T,朝日工業社,,建設業,建設業,,,,0,0,0.0,3.0,4.45398524207244,3.055595930232558,3.055595930232558,3.985294117647059,4.336846884038446,8.7,8.7,8.7,81.59240321402483,,,,,,,,81.59240321402483,28.012358393408853,0.7398076897809718,-27.37068965517241,50.0,100.0,2486.0,建設業,0.7970588235294118,0.6111191860465116,0.890797048414488,0.7970588235294118,0.8673693768076892,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,業績急伸型,243.png,26.008064516129025
7419.T,ノジマ,,小売業,小売業,,,,0,0,0.0,3.0,4.67596658269448,3.11155523255814,3.11155523255814,4.662576687116564,4.728960830930534,7.5,7.5,7.5,99.61977186311788,,,,,,,,99.61977186311788,24.50593185740673,0.9092345291440052,-12.704915849152007,91.66666666666666,90.0,1050.0,小売業,0.9325153374233128,0.6223110465116279,0.935193316538896,0.9325153374233128,0.9457921661861068,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,業績急伸型,2864.png,25.9316684535561
1934.T,ユアテック,,建設業,建設業,,,,0,0,0.0,3.0,4.345169633503756,2.9414970930232553,2.9414970930232553,2.8382352941176467,4.34990362717356,10.9,10.9,10.9,36.64516129032258,,,,,,,,36.64516129032258,24.95575221238937,0.6601819368396323,-20.59012187299552,66.66666666666666,95.0,2118.0,建設業,0.5676470588235294,0.5882994186046511,0.8690339267007512,0.5676470588235294,0.8699807254347119,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,業績急伸型,216.png,25.67567567567568
3280.T,エストラスト,,不動産業,不動産業,,,,0,0,0.0,3.0,3.95362574809127,2.5189944503171247,2.5189944503171247,4.943609022556391,4.005170158970443,4.4,4.4,4.4,32.049518569463544,,,,,,,,32.049518569463544,13.475177304964546,0.6031394546933004,-27.137546468401485,75.0,65.0,960.0,不動産業,0.9887218045112782,0.5037988900634249,0.790725149618254,0.9887218045112782,0.8010340317940886,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,中間型,806.png,24.9208025343189
1810.T,松井建設,,建設業,建設業,,,,0,0,0.0,3.0,3.910192642236565,2.9625726744186047,2.9625726744186047,3.0294117647058822,3.935192460559253,10.5,10.5,10.5,27.67441860465116,,,,,,,,27.67441860465116,23.370786516853936,0.6857625816431829,-20.20785219399538,50.0,60.0,1098.0,建設業,0.6058823529411764,0.592514534883721,0.782038528447313,0.6058823529411764,0.7870384921118506,True,,2025Q3_PRE_ALIGNED,2025-06-30,2025-06-30,中間型,156.png,24.603174603174605
