ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason,buy_phase,sell_phase,buy_rule_name
1938.T,建設業,建設業,2025-07-01,2025-07-02,100,1869.6299999999999,1860.0,-962.9999999999882,-0.5150751753020599,sell_signal,uptrend,settling,condition2
6644.T,電気機器,電気機器,2025-07-01,2025-07-02,200,973.3849999999999,969.0,-876.9999999999754,-0.45048978564492526,sell_signal,uptrend,settling,condition2
1980.T,建設業,建設業,2025-07-01,2025-07-02,200,1503.8916253662107,1495.0,-1778.3250732421493,-0.5912410985097094,sell_signal,uptrend,settling,condition2
5576.T,情報・通信業,情報・通信業,2025-07-01,2025-07-02,100,2929.0,2835.0,-9400.0,-3.2092864458859727,sell_signal,uptrend,settling,condition2
2981.T,不動産業,不動産業,2025-07-01,2025-07-02,200,1710.2749999999999,1656.0,-10854.999999999973,-3.173466255426749,sell_signal,uptrend,settling,condition2
9409.T,情報・通信業,情報・通信業,2025-07-01,2025-07-02,100,2835.91,2800.0,-3590.9999999999854,-1.2662602127712086,sell_signal,uptrend,settling,condition2
3184.T,小売業,小売業,2025-07-03,2025-07-11,100,3950.0,4295.0,34500.0,8.734177215189876,take_profit,uptrend,uptrend,condition2
9768.T,サービス業,サービス業,2025-07-03,2025-07-29,800,3136.35,3205.0,54920.00000000007,2.1888500964496904,sell_signal,uptrend,high_vol,condition2
6554.T,サービス業,サービス業,2025-08-08,2025-08-12,200,1187.55,1119.0,-13709.99999999999,-5.77238853100922,stop_loss,uptrend,uptrend,condition2
1950.T,建設業,建設業,2025-08-07,2025-08-15,100,2943.4999999999995,2751.0,-19249.999999999956,-6.539833531510098,stop_loss,uptrend,overheated_range,condition2
9768.T,サービス業,サービス業,2025-08-07,2025-08-18,100,3156.6499999999996,3190.0,3335.0000000000364,1.056499770326158,sell_signal,uptrend,overheated_range,condition2
7419.T,小売業,小売業,2025-08-07,2025-08-19,100,1150.333374633789,1116.6666259765625,-3366.6748657226435,-2.9266949390166386,sell_signal,uptrend,settling,condition2
6644.T,電気機器,電気機器,2025-08-07,2025-08-19,100,1130.7099999999998,1242.0,11129.000000000018,9.842488348029143,take_profit,uptrend,settling,condition2
7914.T,その他製品,その他製品,2025-08-07,2025-08-19,100,1465.6599999999999,1534.0,6834.000000000015,4.662745793703871,sell_signal,uptrend,settling,condition2
6540.T,サービス業,サービス業,2025-08-07,2025-08-19,100,1866.5849999999998,1871.0,441.5000000000191,0.23652820525184026,sell_signal,uptrend,settling,condition2
1948.T,建設業,建設業,2025-08-07,2025-08-19,100,2435.9999999999995,2357.0,-7899.9999999999545,-3.243021346469599,sell_signal,uptrend,settling,condition2
1997.T,建設業,建設業,2025-08-07,2025-08-19,200,2839.97,3100.0,52006.000000000044,9.156082634675734,take_profit,uptrend,settling,condition2
9068.T,陸運業,陸運業,2025-08-07,2025-08-19,100,7450.099999999999,7370.0,-8009.999999999945,-1.075153353646252,sell_signal,uptrend,settling,condition2
4507.T,医薬品,医薬品,2025-08-12,2025-08-19,100,2678.5849999999996,2631.0,-4758.499999999958,-1.776497665745147,sell_signal,uptrend,settling,condition2
1948.T,建設業,建設業,2025-08-20,2025-08-21,200,2392.3549999999996,2481.0,17729.000000000087,3.7053447335366307,sell_signal,normal,normal,condition2
3683.T,情報・通信業,情報・通信業,2025-08-20,2025-08-22,100,1433.1799999999998,1772.0,33882.000000000015,23.641133702675177,take_profit,normal,normal,condition2
2805.T,食料品,食料品,2025-08-20,2025-08-22,400,3182.0249999999996,3165.0,-6809.9999999998545,-0.5350366511890914,sell_signal,normal,normal,condition2
4507.T,医薬品,医薬品,2025-08-20,2025-08-25,200,2681.0,2571.0,-22000.0,-4.102946661693396,sell_signal,normal,normal,condition2
7419.T,小売業,小売業,2025-08-20,2025-08-26,100,1133.4166253662108,1113.3333740234375,-2008.3251342773337,-1.7719213653041632,sell_signal,normal,settling,condition2
1808.T,建設業,建設業,2025-08-20,2025-08-26,100,2480.66,2427.0,-5365.999999999985,-2.163134004660039,sell_signal,normal,settling,condition2
2805.T,食料品,食料品,2025-08-25,2025-08-26,800,3212.475,3235.0,18020.000000000073,0.7011727717725513,sell_signal,normal,settling,condition2
2805.T,食料品,食料品,2025-08-28,2025-09-08,800,3313.9749999999995,3430.0,92820.00000000044,3.501082536832678,sell_signal,uptrend,uptrend,condition2
1810.T,建設業,建設業,2025-09-08,2025-09-22,2000,1443.33,1443.0,-659.9999999998545,-0.022863794142702343,sell_signal,uptrend,uptrend,condition2
4619.T,化学,化学,2025-08-28,2025-09-30,100,2138.605,2108.0,-3060.500000000002,-1.4310730593073528,sell_signal,uptrend,uptrend,condition2
7131.T,卸売業,卸売業,2025-09-25,2025-09-30,800,3496.6749999999997,3440.0,-45339.99999999978,-1.620825498509293,end_of_backtest,uptrend,uptrend,condition2
