date,cash,market_value,equity,positions,nikkei_phase,rule_name,pnl_day,prev_phase,segment_id
2025-07-01,1399035.6749267578,1591500.0,2990535.674926758,6,uptrend,condition2,-9464.325073242188,,1
2025-07-02,2972535.674926758,0.0,2972535.674926758,0,settling,no_trade,-18000.0,uptrend,2
2025-07-03,68455.67492675781,2895000.0,2963455.674926758,2,uptrend,condition2,-9080.0,settling,3
2025-07-04,68455.67492675781,2930000.0,2998455.674926758,2,uptrend,condition2,35000.0,uptrend,3
2025-07-07,68455.67492675781,2930500.0,2998955.674926758,2,uptrend,condition2,500.0,uptrend,3
2025-07-08,68455.67492675781,2946500.0,3014955.674926758,2,uptrend,condition2,16000.0,uptrend,3
2025-07-09,68455.67492675781,2996500.0,3064955.674926758,2,uptrend,condition2,50000.0,uptrend,3
2025-07-10,68455.67492675781,2966000.0,3034455.674926758,2,uptrend,condition2,-30500.0,uptrend,3
2025-07-11,497955.6749267578,2584000.0,3081955.674926758,1,uptrend,condition2,47500.0,uptrend,3
2025-07-14,497955.6749267578,2600000.0,3097955.674926758,1,stable,breakout_1p5,16000.0,uptrend,4
2025-07-15,497955.6749267578,2580000.0,3077955.674926758,1,stable,breakout_1p5,-20000.0,stable,4
2025-07-16,497955.6749267578,2572000.0,3069955.674926758,1,stable,breakout_1p5,-8000.0,stable,4
2025-07-17,497955.6749267578,2612000.0,3109955.674926758,1,uptrend,condition2,40000.0,stable,5
2025-07-18,497955.6749267578,2528000.0,3025955.674926758,1,uptrend,condition2,-84000.0,uptrend,5
2025-07-22,497955.6749267578,2580000.0,3077955.674926758,1,uptrend,condition2,52000.0,uptrend,5
2025-07-23,497955.6749267578,2572000.0,3069955.674926758,1,uptrend,condition2,-8000.0,uptrend,5
2025-07-24,497955.6749267578,2572000.0,3069955.674926758,1,normal,condition2,0.0,uptrend,6
2025-07-25,497955.6749267578,2572000.0,3069955.674926758,1,normal,condition2,0.0,normal,6
2025-07-28,497955.6749267578,2600000.0,3097955.674926758,1,normal,condition2,28000.0,normal,6
2025-07-29,3061955.674926758,0.0,3061955.674926758,0,high_vol,no_trade,-36000.0,normal,7
2025-07-30,3061955.674926758,0.0,3061955.674926758,0,high_vol,no_trade,0.0,high_vol,7
2025-07-31,3061955.674926758,0.0,3061955.674926758,0,high_vol,no_trade,0.0,high_vol,7
2025-08-01,3061955.674926758,0.0,3061955.674926758,0,high_vol,no_trade,0.0,high_vol,7
2025-08-04,3061955.674926758,0.0,3061955.674926758,0,high_vol,no_trade,0.0,high_vol,7
2025-08-05,3061955.674926758,0.0,3061955.674926758,0,high_vol,no_trade,0.0,high_vol,7
2025-08-06,3061955.674926758,0.0,3061955.674926758,0,settling,no_trade,0.0,high_vol,8
2025-08-07,334007.8374633789,2741933.3374023438,3075941.1748657227,9,uptrend,condition2,13985.499938964844,settling,9
2025-08-08,96497.8374633789,2980366.6625976562,3076864.500061035,10,uptrend,condition2,923.3251953125,uptrend,9
2025-08-12,52439.337463378964,3006133.3374023438,3058572.6748657227,10,uptrend,condition2,-18291.8251953125,uptrend,9
