date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason,nikkei_phase,rule_name
2025-07-01,1938.T,建設業,建設業,BUY,1869.6299999999999,100,2813037.0,0.41139948838035445,2025-06-30,buy_breakout_up,uptrend,condition2
2025-07-01,6644.T,電気機器,電気機器,BUY,973.3849999999999,200,2618360.0,0.39480033643526363,2025-06-30,buy_breakout_up,uptrend,condition2
2025-07-01,1980.T,建設業,建設業,BUY,1503.8916253662107,200,2317581.674926758,0.3813357595849503,2025-06-30,buy_breakout_up,uptrend,condition2
2025-07-01,5576.T,情報・通信業,情報・通信業,BUY,2929.0,100,2024681.6749267578,0.37799183384967544,2025-06-30,buy_breakout_up,uptrend,condition2
2025-07-01,2981.T,不動産業,不動産業,BUY,1710.2749999999999,200,1682626.6749267578,0.3637629607302152,2025-06-30,buy_breakout_up,uptrend,condition2
2025-07-01,9409.T,情報・通信業,情報・通信業,BUY,2835.91,100,1399035.6749267578,0.3320357055901132,2025-06-30,buy_breakout_up,uptrend,condition2
2025-07-02,1938.T,建設業,建設業,SELL,1860.0,100,1585035.6749267578,0.0,2025-07-01,sell_signal,settling,no_trade
2025-07-02,6644.T,電気機器,電気機器,SELL,969.0,200,1778835.6749267578,0.0,2025-07-01,sell_signal,settling,no_trade
2025-07-02,1980.T,建設業,建設業,SELL,1495.0,200,2077835.6749267578,0.0,2025-07-01,sell_signal,settling,no_trade
2025-07-02,5576.T,情報・通信業,情報・通信業,SELL,2835.0,100,2361335.674926758,0.0,2025-07-01,sell_signal,settling,no_trade
2025-07-02,2981.T,不動産業,不動産業,SELL,1656.0,200,2692535.674926758,0.0,2025-07-01,sell_signal,settling,no_trade
2025-07-02,9409.T,情報・通信業,情報・通信業,SELL,2800.0,100,2972535.674926758,0.0,2025-07-01,sell_signal,settling,no_trade
2025-07-03,3184.T,小売業,小売業,BUY,3950.0,100,2577535.674926758,0.37361773595787384,2025-07-02,buy_breakout_up,uptrend,condition2
2025-07-03,9768.T,サービス業,サービス業,BUY,3136.35,800,68455.67492675781,0.32500610976549305,2025-07-02,buy_breakout_up,uptrend,condition2
2025-07-11,3184.T,小売業,小売業,SELL,4295.0,100,497955.6749267578,0.41710806179852555,2025-07-10,take_profit,uptrend,condition2
2025-07-29,9768.T,サービス業,サービス業,SELL,3205.0,800,3061955.674926758,0.0,2025-07-28,sell_signal,high_vol,no_trade
2025-08-07,7419.T,小売業,小売業,BUY,1150.333374633789,100,2946922.337463379,0.5519538518711427,2025-08-06,buy_breakout_up,uptrend,condition2
2025-08-07,6644.T,電気機器,電気機器,BUY,1130.7099999999998,100,2833851.337463379,0.5232215506425798,2025-08-06,buy_breakout_up,uptrend,condition2
2025-08-07,7914.T,その他製品,その他製品,BUY,1465.6599999999999,100,2687285.337463379,0.5031079250346385,2025-08-06,buy_breakout_up,uptrend,condition2
2025-08-07,6540.T,サービス業,サービス業,BUY,1866.5849999999998,100,2500626.837463379,0.4774456016400741,2025-08-06,buy_breakout_up,uptrend,condition2
2025-08-07,1950.T,建設業,建設業,BUY,2943.4999999999995,100,2206276.837463379,0.449141340282679,2025-08-06,buy_breakout_up,uptrend,condition2
2025-08-07,9768.T,サービス業,サービス業,BUY,3156.6499999999996,100,1890611.837463379,0.4257264656797167,2025-08-06,buy_breakout_up,uptrend,condition2
2025-08-07,1948.T,建設業,建設業,BUY,2435.9999999999995,100,1647011.837463379,0.4242198924720482,2025-08-06,buy_breakout_up,uptrend,condition2
2025-08-07,1997.T,建設業,建設業,BUY,2839.97,200,1079017.837463379,0.39479064536165076,2025-08-06,buy_breakout_up,uptrend,condition2
2025-08-07,9068.T,陸運業,陸運業,BUY,7450.099999999999,100,334007.8374633789,0.39099908272302375,2025-08-06,buy_breakout_up,uptrend,condition2
2025-08-08,6554.T,サービス業,サービス業,BUY,1187.55,200,96497.8374633789,0.43064096548145175,2025-08-07,buy_breakout_up,uptrend,condition2
2025-08-12,6554.T,サービス業,サービス業,SELL,1119.0,200,320297.8374633789,0.4217220482406435,2025-08-08,stop_loss,uptrend,condition2
2025-08-12,4507.T,医薬品,医薬品,BUY,2678.5849999999996,100,52439.337463378964,0.38128365245825346,2025-08-08,buy_breakout_up,uptrend,condition2
2025-08-15,1950.T,建設業,建設業,SELL,2751.0,100,327539.33746337896,0.49032354148230395,2025-08-14,stop_loss,overheated_range,breakout_1p5
2025-08-18,9768.T,サービス業,サービス業,SELL,3190.0,100,646539.3374633789,0.4152323202529948,2025-08-15,sell_signal,overheated_range,breakout_1p5
2025-08-19,7419.T,小売業,小売業,SELL,1116.6666259765625,100,758206.0000610352,0.0,2025-08-18,sell_signal,settling,no_trade
2025-08-19,6644.T,電気機器,電気機器,SELL,1242.0,100,882406.0000610352,0.0,2025-08-18,take_profit,settling,no_trade
2025-08-19,7914.T,その他製品,その他製品,SELL,1534.0,100,1035806.0000610352,0.0,2025-08-18,sell_signal,settling,no_trade
2025-08-19,6540.T,サービス業,サービス業,SELL,1871.0,100,1222906.0000610352,0.0,2025-08-18,sell_signal,settling,no_trade
2025-08-19,1948.T,建設業,建設業,SELL,2357.0,100,1458606.0000610352,0.0,2025-08-18,sell_signal,settling,no_trade
2025-08-19,1997.T,建設業,建設業,SELL,3100.0,200,2078606.0000610352,0.0,2025-08-18,take_profit,settling,no_trade
2025-08-19,9068.T,陸運業,陸運業,SELL,7370.0,100,2815606.000061035,0.0,2025-08-18,sell_signal,settling,no_trade
2025-08-19,4507.T,医薬品,医薬品,SELL,2631.0,100,3078706.000061035,0.0,2025-08-18,sell_signal,settling,no_trade
2025-08-20,7419.T,小売業,小売業,BUY,1133.4166253662108,100,2965364.337524414,0.5851964934564036,2025-08-19,buy_breakout_up,normal,condition2
2025-08-20,3683.T,情報・通信業,情報・通信業,BUY,1433.1799999999998,100,2822046.337524414,0.5442566343691105,2025-08-19,buy_breakout_up,normal,condition2
2025-08-20,1808.T,建設業,建設業,BUY,2480.66,100,2573980.337524414,0.4682116779436174,2025-08-19,buy_breakout_up,normal,condition2
2025-08-20,1948.T,建設業,建設業,BUY,2392.3549999999996,200,2095509.337524414,0.4432926520603027,2025-08-19,buy_breakout_up,normal,condition2
2025-08-20,4507.T,医薬品,医薬品,BUY,2681.0,200,1559309.337524414,0.40236214933340425,2025-08-19,buy_breakout_up,normal,condition2
2025-08-20,2805.T,食料品,食料品,BUY,3182.0249999999996,400,286499.3375244143,0.3543788765783244,2025-08-19,buy_breakout_up,normal,condition2
2025-08-21,1948.T,建設業,建設業,SELL,2481.0,200,782699.3375244143,0.4482732596858526,2025-08-20,sell_signal,normal,condition2
2025-08-22,3683.T,情報・通信業,情報・通信業,SELL,1772.0,100,959899.3375244143,0.5539911739835061,2025-08-21,take_profit,normal,condition2
2025-08-22,2805.T,食料品,食料品,SELL,3165.0,400,2225899.337524414,0.357471271547642,2025-08-21,sell_signal,normal,condition2
2025-08-25,4507.T,医薬品,医薬品,SELL,2571.0,200,2740099.337524414,0.38804391007872246,2025-08-22,sell_signal,normal,condition2
2025-08-25,2805.T,食料品,食料品,BUY,3212.475,800,170119.33752441406,0.349809041388634,2025-08-22,buy_breakout_up,normal,condition2
2025-08-26,7419.T,小売業,小売業,SELL,1113.3333740234375,100,281452.6749267578,0.0,2025-08-25,sell_signal,settling,no_trade
2025-08-26,1808.T,建設業,建設業,SELL,2427.0,100,524152.6749267578,0.0,2025-08-25,sell_signal,settling,no_trade
2025-08-26,2805.T,食料品,食料品,SELL,3235.0,800,3112152.674926758,0.0,2025-08-25,sell_signal,settling,no_trade
2025-08-28,4619.T,化学,化学,BUY,2138.605,100,2898292.174926758,0.535902348788832,2025-08-27,buy_breakout_up,uptrend,condition2
2025-08-28,2805.T,食料品,食料品,BUY,3313.9749999999995,800,247112.17492675828,0.37350797997711066,2025-08-27,buy_breakout_up,uptrend,condition2
2025-09-08,2805.T,食料品,食料品,SELL,3430.0,800,2991112.1749267583,0.38162765388028425,2025-09-05,sell_signal,uptrend,condition2
2025-09-08,1810.T,建設業,建設業,BUY,1443.33,2000,104452.17492675828,0.5298170894488013,2025-09-05,buy_breakout_up,uptrend,condition2
2025-09-22,1810.T,建設業,建設業,SELL,1443.0,2000,2990452.1749267583,0.5323785216953104,2025-09-19,sell_signal,uptrend,condition2
2025-09-25,7131.T,卸売業,卸売業,BUY,3496.6749999999997,800,193112.17492675828,0.6764122861344307,2025-09-24,buy_breakout_up,uptrend,condition2
2025-09-30,4619.T,化学,化学,SELL,2108.0,100,403912.1749267583,0.5032790307416384,2025-09-29,sell_signal,uptrend,condition2
2025-09-30,7131.T,卸売業,卸売業,SELL_END,3440.0,800,3155912.1749267583,,,end_of_backtest,uptrend,condition2
