nikkei_phase,days,pnl_total,avg_day_pnl
uptrend,34,196915.50006103562,5791.632354736342
normal,9,85196.67486572266,9466.297207302518
settling,5,22083.33740234375,4416.66748046875
overheated_range,2,10416.66259765625,5208.331298828125
high_vol,6,-36000.0,-6000.0
stable,6,-122700.0,-20450.0
