Date,Adj Close,Close,High,Low,Open,Volume
2000-01-04,367.8813781738281,380.0,380.0,380.0,380.0,3000
2000-01-05,367.8813781738281,380.0,380.0,380.0,380.0,4000
2000-01-06,367.8813781738281,380.0,381.0,380.0,380.0,6000
2000-01-07,358.2003173828125,370.0,380.0,370.0,380.0,2000
2000-01-10,358.2003173828125,370.0,370.0,370.0,370.0,0
2000-01-11,358.2003173828125,370.0,370.0,370.0,370.0,3000
2000-01-12,338.838134765625,350.0,360.0,350.0,360.0,2000
2000-01-13,324.3164978027344,335.0,350.0,331.0,350.0,10000
2000-01-14,313.66729736328125,324.0,335.0,320.0,335.0,6000
2000-01-17,324.3164978027344,335.0,335.0,324.0,324.0,13000
2000-01-18,336.90191650390625,348.0,350.0,335.0,335.0,10000
2000-01-19,338.838134765625,350.0,360.0,350.0,350.0,15000
2000-01-20,338.838134765625,350.0,355.0,350.0,350.0,9000
2000-01-21,343.6786804199219,355.0,360.0,350.0,350.0,8000
2000-01-24,348.51922607421875,360.0,360.0,360.0,360.0,4000
2000-01-25,348.51922607421875,360.0,360.0,360.0,360.0,2000
2000-01-26,338.838134765625,350.0,360.0,350.0,360.0,7000
2000-01-27,348.51922607421875,360.0,360.0,351.0,351.0,7000
2000-01-28,363.04083251953125,375.0,380.0,360.0,360.0,9000
2000-01-31,363.04083251953125,375.0,375.0,370.0,374.0,7000
2000-02-01,387.2435607910156,400.0,400.0,375.0,375.0,7000
2000-02-02,387.2435607910156,400.0,400.0,400.0,400.0,12000
2000-02-03,387.2435607910156,400.0,400.0,400.0,400.0,1000
2000-02-04,372.721923828125,385.0,399.0,385.0,385.0,0
2000-02-07,379.49871826171875,392.0,392.0,392.0,392.0,2000
2000-02-08,374.6581726074219,387.0,387.0,387.0,387.0,1000
2000-02-09,369.817626953125,382.0,387.0,382.0,387.0,8000
2000-02-10,387.2435607910156,400.0,400.0,380.0,380.0,21000
2000-02-11,387.2435607910156,400.0,400.0,400.0,400.0,0
2000-02-14,387.2435607910156,400.0,415.0,400.0,401.0,15000
2000-02-15,367.8813781738281,380.0,400.0,380.0,400.0,7000
2000-02-16,370.7857360839844,383.0,383.0,381.0,381.0,4000
2000-02-17,396.9246826171875,410.0,410.0,383.0,383.0,16000
2000-02-18,474.3734130859375,490.0,490.0,425.0,425.0,31000
2000-02-21,551.8221435546875,570.0,570.0,570.0,570.0,102000
2000-02-22,493.7355651855469,510.0,650.0,470.0,650.0,89000
2000-02-23,445.3301086425781,460.0,511.0,430.0,511.0,23000
2000-02-24,475.34149169921875,491.0,500.0,481.0,481.0,9000
2000-02-25,484.05450439453125,500.0,527.0,500.0,500.0,26000
2000-02-28,450.170654296875,465.0,500.0,450.0,497.0,8000
2000-02-29,453.0749816894531,468.0,475.0,468.0,470.0,15000
2000-03-01,437.5852355957031,452.0,470.0,452.0,470.0,11000
2000-03-02,442.42578125,457.0,457.0,452.0,452.0,7000
2000-03-03,440.48956298828125,455.0,457.0,455.0,457.0,4000
2000-03-06,430.8084716796875,445.0,450.0,430.0,450.0,10000
2000-03-07,424.03173828125,438.0,438.0,420.0,430.0,11000
2000-03-08,406.60577392578125,420.0,420.0,420.0,420.0,2000
2000-03-09,421.1274108886719,435.0,440.0,420.0,420.0,4000
2000-03-10,407.5738525390625,421.0,450.0,421.0,450.0,4000
2000-03-13,396.9246826171875,410.0,425.0,410.0,420.0,20000
2000-03-14,387.2435607910156,400.0,400.0,400.0,400.0,2000
2000-03-15,401.7652282714844,415.0,425.0,399.0,399.0,9000
2000-03-16,394.02032470703125,407.0,425.0,405.0,425.0,7000
2000-03-17,382.40301513671875,395.0,420.0,395.0,420.0,9000
2000-03-20,382.40301513671875,395.0,395.0,395.0,395.0,0
2000-03-21,396.9246826171875,410.0,410.0,397.0,397.0,7000
2000-03-22,387.2435607910156,400.0,411.0,395.0,411.0,13000
2000-03-23,396.9246826171875,410.0,410.0,400.0,401.0,20000
2000-03-24,396.9246826171875,410.0,410.0,410.0,410.0,6000
